Location,Cat_B,NumPMI_SKU,NumComp_SKU,PMI_Volume,Comp_Volume
Porto Alegre,10,16,10,288.000000,202.000000
Beirut - Rafik Hariri,,36,,539030.400000,0.000000
Alexandria,,30,,14908.792000,0.000000
Yancheng Nanyang,,1,,0.400000,2.450000
Athens,10,30,13,38601.600000,52283.661000
Nanning Wuxu,8.194462246,18,19,7450.800000,40512.156000
Berlin Brandenburg,10,13,8,32332.000000,26448.800000
Port Louis,,6,,106209.200000,0.000000
Jinan Xiaoqiang,2.262903426,12,20,1366.320000,8600.948000
Okayama,8.421052632,11,16,843.200000,340.800000
Paramaribo,,17,,20854.970000,0.000000
Podgorica,,3,,5660.000000,0.000000
Nantes,9.918914562,12,11,32400.000000,40128.000000
Barcelona,10,9,19,4688047.200000,4271917.200000
Santorini,10,12,10,2879.200000,4849.600000
Marka,10,4,4,14.400000,21.600000
Ioannina,10,8,2,17.600000,4.000000
Kingston,,15,,3599.970000,0.000000
Piarco,,,,0.000000,2519.060000
Bari,10,10,2,1586.000000,359.200000
Nador,9.813879039,26,13,70640.000000,8821.000000
Marrakech,8.31372972,29,28,2398689.000000,1835466.355000
Sao Paulo - Guarulhos,9.986978804,21,18,404268.000000,263117.000000
Gran Canaria,10,8,16,214910.800000,330176.400000
Luanda,,6,,6000.000000,0.000000
Daegu,7.491418448,20,56,67886.400000,233582.400000
Wenzhou Longwan,,9,20,1747.200000,11027.464000
Soekarno Hatta,10,11,5,55290.000000,38.400000
Aomori,,4,,42.800000,0.000000
Queretaro,,5,,80.000000,0.000000
Ho Chi Minh,10,11,7,55760.520000,90490.648000
Astrakhan,10,10,8,846.400000,132.800000
Vientiane,10,10,4,31182.400000,128284.800000
Cork,10,4,5,2105.200000,11310.400000
Kaohsiung,10,15,8,70477.600000,853269.130000
Southampton,10,6,11,864.000000,4002.000000
Amman,9.328551139,39,30,2092606.400000,1356669.600000
Corfu,10,19,11,9375.600000,25129.200000
Min Vody,10,9,9,286.200000,383.400000
Ibaraki,,7,,45.200000,0.000000
Pamandzi,,8,,22539.006000,0.000000
Cardiff,10,6,10,428.400000,4258.400000
Kralendijk (Bonaire),,11,,8554.995000,0.000000
Verona,10,13,7,3326.000000,2654.400000
Baghdad,,22,,120960.000000,0.000000
Sendai,,13,,1169.600000,0.000000
Edinburgh,10,6,13,9886.000000,56706.800000
Sanya Fenghuang,10,5,20,193.300000,1214.880000
Guernsey,,2,,421.000000,0.000000
Asuncion Silvio Petterossi,,9,,2783.976000,0.000000
Sharjah,6.052241209,33,18,1575032.000000,1466603.200000
Jerba,7.843628503,24,34,127468.800000,131912.000000
Beauvais,8.54653424e-26,8,6,17829.600000,9190.800000
Oita,10,3,1,35.200000,16.400000
Muscat,,34,,224143.000000,0.000000
St. Maarten Princess Juliana,,22,,17950.520000,0.000000
Taichung,10,15,8,7693.020000,84340.105000
Wuxi Shuofang,10,9,20,996.600000,6087.420000
Ouarzazate,10,11,16,1720.000000,1297.850000
Chania,10,13,12,4078.000000,6319.200000
Changchun Longjia,10,5,20,457.800000,2895.780000
Abuja,10,7,11,1012.800000,870.000000
Bourgas,10,4,9,2274.800000,13390.400000
Pointe-a-Pitre,10,12,8,28088.400000,44955.000000
Kavala,10,7,8,291.200000,387.600000
Santander,,4,4,13046.400000,9783.600000
Brisbane,,10,,2734.184000,0.000000
Samana El Catey,10,11,10,739.200000,534.400000
Salvador,10,15,11,4338.400000,3586.400000
Recife,8.117423295,18,13,2679.000000,1784.000000
Bremen,10,4,5,424.400000,1036.800000
Shenyang Taoxian,2.262903426,14,20,7621.600000,48136.572000
Zhengzhou Xinzheng,5.437783561,14,20,3896.800000,49734.864000
Hurgada,,31,,323466.440000,0.000000
Lulea,,4,,22.600000,0.000000
Fukushima,,1,,1.400000,0.000000
Naha,,25,,9121.600000,0.000000
Basseterre (Saint Kitts),9.825581395,16,9,568.000000,583.000000
Volgograd,10,10,14,472.400000,484.400000
Makhachkala,,6,6,88.000000,125.200000
Guayaquil,10,11,9,41983.200000,4866.400000
Szczecin,10,10,6,34881.760000,1388.000000
Roland Garros,10,8,6,71842.200000,49104.600000
Cozumel,9.937378512,20,13,2413.000000,1379.000000
Sarajevo,,14,,20044.152000,0.000000
Lublin,,12,,45886.680000,0.000000
Rhodes,10,24,12,16210.200000,30413.400000
Ciampino Airport,10,15,7,5711.200000,3947.600000
Santo Domingo Las Americas,9.966510928,22,16,172034.000000,148081.000000
Kuala Lumpur,8.192041716,11,12,1592992.800000,2569518.000000
Ohrid,10,8,11,1236.800000,1254.800000
Amsterdam - Schiphol,10,7,5,304080.800000,214264.400000
Luxor,,30,,5072.696000,0.000000
Banjul,,7,9,2308.000000,1524.800000
San Jose,,4,,14839.200000,0.000000
Krasnoyarsk,10,11,13,1610.400000,741.600000
Accra,9.663692521,9,14,12200.000000,17908.000000
Grenoble,7.208104484,6,7,2572.800000,3643.200000
Beijing,4.529947201,16,20,651547.200000,3580867.488000
Hamburg,10,12,8,15648.400000,12378.400000
Fukuoka,7.009610677,27,59,74057.600000,264804.240000
Cochin,,14,,6231.006000,0.000000
Naples,10,16,9,19502.000000,13546.800000
Hiroshima,,13,,1129.600000,0.000000
Gaborone,,1,,10.000000,0.000000
Guadalajara,9.722382889,20,13,97918.000000,14163.000000
Buenos Aires Aeroparque,,9,,13972.800000,0.000000
Mykonos,10,7,10,1852.400000,2137.600000
Hebei,,11,,1485.200000,0.000000
Jersey,10,5,2,3674.800000,13538.800000
Liberia,,4,,1460.800000,0.000000
Katowice,,13,,84174.400000,0.000000
Harbin Taiping,,2,20,10.000000,62.520000
Orebro,,1,,20.000000,0.000000
Macau,,7,10,83004.000000,338572.700000
Moscow - Domodedovo,10,13,11,3884.800000,4197.600000
Dubai,0.8656469957,39,26,64791264.000000,63439654.400000
Shannon,,5,,2931.998000,0.000000
St. George's Point Saline,9.913621501,15,11,1962.000000,2112.000000
San Salvador Comalapa,9.885007181,27,10,80375.000000,2955.000000
Enfidha,9.099577336,30,20,60747.000000,4684.000000
Cali,9.707418231,29,10,27115.590000,1081.000000
Kutahya Airport,10,36,7,859.200000,153.600000
Queenstown,,1,,10.000000,0.000000
Kota Kinabalu,0.2469136315,7,7,11707.200000,11180.000000
Duesseldorf,10,12,9,44476.800000,36060.400000
Punta Cana - Higuey,9.984301291,29,25,896911.000000,288803.000000
Kagoshima,,4,,175.200000,10.800000
Samara,,5,,13.200000,0.000000
Aktio,10,6,9,957.600000,1927.600000
Granada,,2,3,2462.400000,1329.600000
Gabon,,9,16,2485.600000,2842.400000
London Southend Airport,10,6,10,181.600000,586.000000
Medina,10,15,16,37480.800000,37559.400000
Tunis,8.577810144,26,36,314980.000000,269098.400000
Minsk,,2,,131.800000,0.000000
Bridgetown,,23,,49449.100000,0.000000
Erbil International Airport,,18,,50384.000000,0.000000
Bogota,9.865444103,29,20,262867.440000,133575.000000
Tbilisi,10,14,8,35639.200000,11996.000000
Qingdao Liuting,7.255154978,15,20,8147.200000,51390.196000
Konya Airport,9.95494052,37,21,3981.000000,1276.000000
Cam Ranh,10,13,6,12768.800000,56405.600000
Pengsheng,,15,,12799.360000,0.000000
London City,,4,10,854.600000,1122.400000
Alicante,10,9,19,697370.400000,1514478.000000
Murcia,10,6,9,23889.600000,75265.200000
Xian Xianyang,4.529947201,16,20,7439.756000,138148.852000
London Heathrow,10,6,13,409348.800000,841385.600000
Lusaka,,7,,1653.600000,0.000000
Helsinki-Vantaa,,4,,20966.000000,0.000000
Riga,,6,5,172961.200000,106735.200000
Antalya Airport,0.3423202805,90,31,4587576.800000,4767586.400000
Aqaba,9.029204877,28,16,1835.200000,1951.200000
Santiago Arturo Merino Benitez,10,12,12,64180.800000,240256.000000
Palma De Mallorca,10,9,18,2815998.000000,2967657.600000
Takamatsu,,9,,495.200000,0.000000
Gothenburg,,,,0.000000,0.400000
Windhoek,,8,,3074.400000,0.000000
DAMMAM,10,15,16,104881.200000,219841.200000
Adana Airport,9.688975851,28,17,3723.600000,1611.600000
Sandefjord-Torp,,20,,11046.333000,0.000000
Zagreb,,2,3,3716.800000,322.800000
Sierra Leone,,8,,12284.000000,0.000000
Jomo Kenyatta,9.670982057,20,16,175242.790000,31681.000000
Praia,8.775303625,12,9,27262.000000,2328.000000
Elblag,10,9,6,1271.200000,3740.000000
Vaxjo,,2,,22.000000,0.000000
Sydney,,9,,1215.948000,0.000000
Split,,2,,4226.000000,0.000000
Pisa,10,13,4,3290.800000,1319.200000
Fort-de-France,10,12,8,19749.000000,15729.600000
Manas,10,12,22,5432.400000,9062.800000
Ras El Khaymah,,30,,105823.200000,0.000000
Genoa,10,6,2,684.000000,292.800000
Marsa Aalam,,30,,86008.688000,0.000000
Changsha Huanghua,2.262903426,15,20,4805.360000,30363.708000
Nanchang Changbei,,4,20,38.000000,478.408000
Sfax,10,11,5,7657.200000,3854.400000
Bariloche,,3,,58.000000,0.000000
Tenerife,10,8,16,509300.000000,1144944.000000
Thessaloniki,10,24,12,9207.200000,14756.816000
Moscow - Vnukovo,10,11,12,23570.400000,30718.800000
Miyazaki,,2,,16.400000,33.200000
Trondheim,10,18,11,4601.600000,7077.600000
Aarhus,,8,,212.002000,0.000000
Kaunas,10,3,5,43209.200000,9548.400000
Johor Bahru,9.993321457,10,7,20040.000000,33750.000000
Los Cabos,9.760985049,22,20,39591.000000,39834.000000
Warsaw-Modlin,10,12,2,39491.400000,391.200000
Rotterdam,10,3,3,576.800000,339.200000
Paris Orly,9.976275208,14,11,3538906.000000,2623600.000000
Aswan,,29,,9077.756000,0.000000
Dresden,10,5,4,674.000000,330.000000
Varna,10,4,9,1192.400000,4176.812000
Marseille,9.500828729,14,10,567910.000000,219784.000000
Bordeaux,9.560575449,12,8,75728.000000,64262.000000
Jeddah,10,25,14,1008967.200000,278630.400000
Asturias,,5,4,8726.400000,6728.400000
Bodrum Airport,9.338280016,70,35,67300.800000,119305.600000
