Location,DF_Market,TMO,Flavor,Taste,Thickness,Length,PMI SKU,Cluster SKU
Dresden,Germany,PMI,Regular,Full Flavor,STD,KS,1,6
Curacao,Curazao,PMI,Regular,Full Flavor,SLI,KS,1,0
Santiago Arturo Merino Benitez,Chile,PMI,Menthol Caps,Full Flavor,STD,KS,1,0
Kota Kinabalu,Malaysia,PMI,Menthol,Full Flavor,STD,KS,1,1
Lima,Peru,PMI,Menthol Caps,Full Flavor,STD,KS,1,0
Cologne,Germany,PMI,Regular,Full Flavor,STD,KS,1,5
Rome Fiumicino,Italy,PMI,Regular,Full Flavor,STD,KS,1,8
Zurich,Switzerland,PMI,Menthol Caps,Full Flavor,STD,KS,1,1
Jeju,South Korea,PMI,NTD Caps,Full Flavor,STD,KS,1,5
Lulea,Sweden,PMI,Regular,Full Flavor,STD,KS,1,3
Kilimanjaro,Tanzania,PMI,Regular,Full Flavor,STD,KS,1,2
Amman,Jordan,PMI,Regular,Full Flavor,STD,KS,1,2
St. Petersburg Pulkovo,Russia,PMI,Regular,Full Flavor,STD,KS,1,7
Tunis,Tunisia,PMI,Menthol Caps,Full Flavor,STD,KS,1,2
Dubai,United Arab Emirates,PMI,NTD Caps,Full Flavor,STD,KS,1,3
Accra,Ghana,PMI,Menthol Caps,Full Flavor,STD,KS,1,0
Basseterre (Saint Kitts),Caribbean Other,PMI,Menthol Caps,Full Flavor,STD,KS,1,1
Cairo,Egypt,PMI,Regular,Full Flavor,SLI,KS,1,1
Moscow - Domodedovo,Russia,PMI,Regular,Full Flavor,STD,KS,1,7
Cam Ranh,Vietnam,PMI,Regular,Full Flavor,STD,KS,1,1
Johor Bahru,Malaysia,PMI,Regular,Full Flavor,STD,KS,1,2
Jomo Kenyatta,Kenya,PMI,Menthol,Full Flavor,STD,KS,1,0
Bologna,Italy,PMI,Regular,Full Flavor,STD,KS,1,8
Grenoble,France,PMI,Regular,Full Flavor,SLI,KS,1,2
Sevilla,Spain,PMI,Regular,Full Flavor,STD,KS,1,6
Gabon,Gabon,PMI,Regular,Full Flavor,STD,KS,1,0
Kos,Greece,PMI,Regular,Full Flavor,STD,KS,1,9
Bari,Italy,PMI,Regular,Full Flavor,SLI,KS,1,3
Natal,Brazil,PMI,Menthol Caps,Full Flavor,STD,KS,1,2
Agadir,Morocco,PMI,Menthol,Full Flavor,STD,KS,1,1
Vientiane,Laos,PMI,NTD Caps,Full Flavor,STD,KS,1,0
Denizli Cardak Airport,Turkey,PMI,Menthol Caps,Full Flavor,STD,KS,1,5
Sihanoukville,Cambodia,PMI,Menthol Caps,Full Flavor,STD,KS,1,1
Asyut,Egypt,PMI,NTD Caps,Full Flavor,STD,KS,1,1
Kralendijk (Bonaire),Caribbean Other,PMI,Menthol Caps,Full Flavor,STD,KS,1,1
Geneva,Switzerland,PMI,Regular,Full Flavor,STD,KS,1,2
Beauvais,France,PMI,Regular,Full Flavor,SLI,KS,1,2
Ho Chi Minh,Vietnam,PMI,NTD Caps,Full Flavor,STD,KS,1,1
Shanghai Hongqiao,China,PMI,Regular,Full Flavor,STD,KS,1,7
Gerona,Spain DP,PMI,Regular,Full Flavor,SLI,KS,1,2
Leeds Bradford,Great Britain,PMI,Regular,Full Flavor,STD,KS,1,5
Managua,Nicaragua,PMI,NTD Caps,Full Flavor,STD,KS,1,0
Humberside,Great Britain,PMI,Regular,Full Flavor,SLI,KS,1,3
Shannon,Ireland,PMI,Regular,Full Flavor,STD,KS,1,1
Sharjah,United Arab Emirates,PMI,Regular,1mg,STD,KS,1,2
Medellin Jose Maria Cordova,Colombia,PMI,Menthol Caps,Full Flavor,STD,KS,1,2
Yantai Penglai,China,PMI,Menthol,Full Flavor,STD,KS,1,3
Aomori,Japan,PMI,NTD Caps,Full Flavor,STD,KS,1,6
Valencia,Spain,PMI,Regular,Full Flavor,SLI,KS,1,2
Bamako,Mali,PMI,Regular,Full Flavor,SLI,KS,1,0
Brisbane,Australia,PMI,Menthol Caps,Full Flavor,STD,KS,1,2
Rio de Janeiro,Brazil,PMI,NTD Caps,Full Flavor,STD,KS,1,3
Belize City,Belize,PMI,Menthol,Full Flavor,STD,KS,1,0
Helsinki-Vantaa,Finland,PMI,Regular,Full Flavor,SLI,KS,1,0
Essaouira,Morocco,PMI,Menthol Caps,Full Flavor,STD,KS,1,1
Marseille,France,PMI,Regular,Full Flavor,STD,KS,1,7
Stockholm Arlanda,Sweden,PMI,Regular,Full Flavor,STD,KS,1,3
Quanzhou,China,PMI,NTD Caps,Full Flavor,STD,KS,1,6
PRISTINA,Kosovo,PMI,Regular,Full Flavor,SLI,KS,1,0
Santiago Arturo Merino Benitez,Chile,PMI,Regular,Full Flavor,SLI,KS,1,0
Madrid Barajas,Spain DP,PMI,Regular,Full Flavor,SLI,KS,1,2
Macau,Macau,PMI,NTD Caps,Full Flavor,STD,KS,1,0
Tokyo - Narita,Japan,PMI,NTD Caps,Full Flavor,STD,KS,1,6
Salvador,Brazil,PMI,Regular,Full Flavor,SLI,KS,1,2
Asuncion Silvio Petterossi,Paraguay,PMI,Menthol Caps,Full Flavor,STD,KS,1,0
Entebbe,Uganda,PMI,Regular,Full Flavor,STD,KS,1,0
Chengdu Tianfu,China,PMI,Regular,Full Flavor,STD,KS,1,7
Sharm El Sheikh,Egypt,PMI,Menthol Caps,Full Flavor,STD,KS,1,1
Cheongju,South Korea,PMI,Regular,Full Flavor,SLI,KS,1,2
Luanda,Angola,PMI,Menthol Caps,Full Flavor,STD,KS,1,0
Birmingham,Great Britain,PMI,Regular,Full Flavor,STD,KS,1,5
Curacao,Curazao,PMI,NTD Caps,Full Flavor,STD,KS,1,0
Istanbul Airport,Turkey,PMI,NTD Caps,Full Flavor,STD,KS,1,11
Brasilia,Brazil,PMI,Menthol Caps,Full Flavor,STD,KS,1,2
East Midlands,Great Britain,PMI,Regular,Full Flavor,STD,KS,1,5
Soekarno Hatta,Indonesia,PMI,NTD Caps,Full Flavor,STD,KS,1,1
Norwich,Great Britain,PMI,Regular,Full Flavor,STD,KS,1,5
Kaunas,Lithuania,PMI,Regular,Full Flavor,SLI,KS,1,1
Paris Charles De Gaulle,France,PMI,Regular,Lights,STD,KS,1,2
Praia,Cape Verde,PMI,Menthol,Full Flavor,STD,KS,1,1
Jerez De La Frontera,Spain DP,PMI,Regular,Full Flavor,STD,KS,1,7
Lyon Saint Exupery,France,PMI,Regular,Full Flavor,STD,KS,1,7
Pengsheng,China,PMI,Menthol,Full Flavor,STD,KS,1,3
Oslo,Norway,PMI,Regular,Full Flavor,SLI,KS,1,1
Ngurah Rai,Indonesia,PMI,NTD Caps,Full Flavor,STD,KS,1,1
Salvador,Brazil,PMI,Regular,Full Flavor,STD,KS,1,5
London Heathrow,Great Britain,PMI,Regular,Full Flavor,STD,KS,1,5
Singapore - Changi,Singapore,PMI,Menthol Caps,Full Flavor,STD,KS,1,0
