DF_Market,Location,CR_BrandId,$theyearbefore NOR,$previous_year NOR,$current_year NOR,$theyearbefore MC,$previous_year MC,$current_year MC
Switzerland,Zurich,124707,292071.113281699,608179.069659221,1863140.98561524,273380.444281699,520195.896659221,1584809.92561524
Malaysia,Kuala Lumpur,103615,0,234903.264,2864875.673,0,198693.735,2435083.396
United Arab Emirates,Sharjah,125594,0,26836.418,1049428.79,0,21971.215,923701.092
Greece,Rhodes,125450,0,286.890651548,177419.924629847,0,237.005651548,145025.797629847
Germany,Berlin Brandenburg,123064,120259.839052328,310843.582562408,807684.697410944,107896.819052328,277213.123562408,722690.143410944
Netherlands,Amsterdam - Schiphol,123482,551963.643726834,1543239.34277708,5674425.3766623,499094.605726834,1395390.39977708,5200095.6666623
France DP,Marseille,121221,-1259.680093297,435.336312295,1503.924248418,-1307.860093297,298.543312295,1136.976248418
Switzerland,Zurich,139002,0,249534.398941356,540637.805249254,0,221724.494941356,476902.270249254
Serbia,Belgrade,121950,561253.289432108,627685.933379465,1055552.24611507,513269.605432108,503954.700379465,852467.24211507
Germany,Hannover,123064,5575.881052775,18154.737957899,56808.755867228,4991.309052775,16216.658957899,50850.568867228
Hong Kong,Hong Kong,114264,31436.924,1093481.884,2177297.12,22567.422,816678.682,1606408.851
Spain,Madrid Barajas,122499,220284.14672812,768228.046566081,2833897.80525767,205899.48072812,656945.630566081,2454846.96525767
Tunisia,Tunis,139305,0,169423.18435803,2602276.1307747,0,142475.31535803,2182573.5127747
Japan,Tokyo - Narita,96046,247564.011703388,1815524.01808655,3314805.83646415,222528.279703388,1600795.77508655,2876131.58746415
Russia,Moscow - Vnukovo,122528,0,2286.24512386,488.496073635,0,1368.45312386,305.655073635
Spain,Almeria,125679,0,3341.559139735,45949.317046784,0,2866.913139735,39804.141046784
Brazil,Rio de Janeiro,95487,13099.785,53378.241,146016.447,10322.294,41125.451,112382.845
Ecuador,Quito,125084,0,5631.575,113732.327,0,2341.083,97084.552
Morocco,Agadir,113631,110316.837985286,621416.835410242,844415.939456565,93366.932985286,518889.943410242,707222.924456565
Greece,Corfu,125456,0,384.967626027,30549.797064775,0,318.028626027,24363.986064775
Jordan,Amman,98121,12204.296,157749.912,0,10150.432,133537.618,0
Dominican Republic,Puerto Plata,142119,0,2833.639,124762.946,0,2304.652,101027.345
Switzerland,Zurich,125081,0,602173.467341984,1603584.54344488,0,533841.591341984,1410327.79944488
Iraq,Erbil International Airport,123380,1246.4,9278.054,25391.685,1029.982,7196.852,20130.41
Russia,Rostov Don,121988,0,0,2099.221753597,0,0,1344.375753597
Mexico,Monterrey,139307,0,2769.039,47244.674,0,2025.318,35051.714
Egypt,Cairo,123025,0,41473.202,549144.441,0,24214.412,366342.407
Colombia,Bogota,125835,0,1932.85,58383.588,0,1627.128,48944.974
Germany,Munich,125052,116536.404891256,164696.810145607,21640.794998513,102579.730891256,143600.797145607,19066.953998513
Colombia,Medellin Jose Maria Cordova,104357,7155.41,27418.504,1341.215,5697.68,21248.658,1023.056
Germany,Bremen,123063,0,64997.513220778,217194.272801008,0,58031.638220778,195364.952801008
Greece,Thessaloniki,124225,0,9708.39959026,54700.787593258,0,6239.95159026,36425.807593258
Curazao,Curacao,139322,0,49863.19,467456.633,0,41058.032,421535.916
India,Bangalore,123409,33328.880802473,50864.773,266679.5,31569.939802473,44247.946,231933.749
Egypt,Luxor,123513,578.982,5614.399,29892.501,502.434,4778.829,25565.002
Egypt,Cairo,95582,873612.512,1933075.62,1174192.164,742207.532,1617854.907,981105.427
China,Chongqing Jiangbei,110716,366.304,65548.586,143579.934,297.706,51638.207,113038.903
Sri Lanka,Bandaranaike,123412,9825.088,17007.599,91622.99,8694.65,14586.282,77661.245
Great Britain,East Midlands,125037,3528.667259826,4803.61481207,10612.066068869,3340.768259826,4222.64681207,9359.347068869
Spain,A Coruna,122496,5666.247192131,22154.983174987,110850.648001741,5288.710192131,18997.598174987,96088.551001741
Egypt,Alexandria,122961,0,10232.601,29895.536,0,8537.436,25428.429
Argentina,Cordoba,91756,4811.191,5987.991,0,3307.854,4085.849,0
Singapore,Singapore - Changi,146376,0,0,643735.801,0,0,538958.706
Jordan,Amman,86984,0,27323.347,0,0,21999.259,0
Colombia,Cali,95487,141.12,4717.778,21947.902,120.242,3964.471,18416.648
Great Britain,Bournemouth,125037,884.087451104,1948.823311499,2274.315783356,837.112451104,1713.661311499,2006.149783356
Malaysia,Johor Bahru,123655,0,965.173,46201.417,0,435.713,22113.21
Tunisia,Monastir,139305,0,37180.500224913,369431.481148668,0,29458.502224913,310036.610148668
Turkey,Adana Airport,125713,0,5024.692767252,305069.244646162,0,3892.424767252,234538.790646162
Turkey,Ankara Airport,144715,0,0,15321.982416343,0,0,13345.360416343
Greece,Corfu,120915,11760.590633408,4876.256256104,1048.261994581,10718.450633408,4050.641256104,870.848994581
Great Britain,East Midlands,122749,20883.17187227,62346.066302661,235007.006261216,19515.68887227,52934.984302661,202124.527261216
Germany,Cologne,125536,0,16935.895591556,275834.749869423,0,14973.230591556,242088.294869423
Albania,Tirana,114553,812113.908956668,2871070.83987746,1621773.72190452,705133.604956668,2478742.48287746,1403522.81990452
Turkey,Gaziantep Airport,124504,0,662.017184728,38888.862680375,0,550.920184728,31447.498680375
United Arab Emirates,Ras El Khaymah,138527,0,0,267123.707,0,0,231581.273
Turkey,Kayseri Airport,98125,3391.906760591,4456.134321979,0,3102.093760591,3650.216321979,0
Mexico,Guadalajara,125084,0,15679.752,256781.104,0,10625.445,207467.896
Spain,Gerona,125679,0,7933.27228902,91901.271704027,0,6808.74028902,79790.900704027
Turkey,Izmir Airport,122591,0,24630.84009995,314917.424606601,0,18591.70709995,248262.608606601
Poland,Lublin,125817,6583.677820277,655.895302977,0,5790.418820277,540.468302977,0
Australia,Perth,93157,0,13069.72820486,0,0,12149.57020486,0
Germany,Munster-Osnabruck,124240,3230.339944104,19901.990654202,40212.985175561,2840.045944104,17206.067654202,35479.392175561
