DF_Market,Location,TMO,Flavor,Taste,Thickness,Length,SKU,$current_year_Volume,Total_TMO,SoM
Turkey,Trabzon Airport,IMPERIAL BRANDS,Regular,Full Flavor,STD,LONGER THAN KS,1,10.800000,13,7.692308
Turkey,Diyarbakir Airport,BAT,Regular,Full Flavor,STD,KS,16,129.600000,32,50.000000
Mexico,Guadalajara,PMI,Regular,Full Flavor,STD,KS,11,6976.800000,20,55.000000
Bulgaria,Varna,KARELIA TOBACCO,Regular,Lights,STD,KS,2,843.200000,7,28.571429
South Africa,Durban,BAT,Regular,Full Flavor,STD,KS,7,387.400000,9,77.777778
Switzerland,Zurich,BAT,Regular,Full Flavor,STD,KS,14,182044.960000,24,58.333333
South Korea,Seoul,KT & G,Regular,Full Flavor,STD,KS,15,25823.400000,56,26.785714
Brazil,Porto Alegre,JTI,Menthol,Full Flavor,SSL,100,1,0.400000,8,12.500000
Spain,Almeria,JTI,Regular,Full Flavor,STD,KS,6,486.800000,7,85.714286
China,Nanjing Lukou,PMI,Menthol Caps,Full Flavor,STD,KS,2,286.800000,8,25.000000
France DP,Toulouse,BAT,Regular,Full Flavor,SSL,100,1,12.000000,7,14.285714
France DP,Toulouse,JTI,Regular,Full Flavor,STD,KS,8,105.000000,12,66.666667
Turkey,Gaziantep Airport,PMI,Regular,Full Flavor,STD,KS,58,4114.000000,84,69.047619
Egypt,Cairo,PMI,Regular,Full Flavor,STD,KS,23,411578.841000,35,65.714286
Brazil,Porto Alegre,JTI,Regular,Full Flavor,STD,KS,5,14.800000,8,62.500000
Mexico,Cancun,BAT,Menthol,Full Flavor,STD,KS,3,19567.200000,21,14.285714
Lithuania,Kaunas,PMI,Regular,Full Flavor,SLI,KS,1,249.400000,3,33.333333
Ethiopia,Addis Ababa,JTI,NTD Caps,Full Flavor,STD,KS,2,62.600000,15,13.333333
Switzerland,Basel,IMPERIAL BRANDS,Regular,Lights,STD,KS,1,355.200000,11,9.090909
South Korea,Busan - Kimhae,PMI,NTD Caps,Full Flavor,STD,KS,7,7808.800000,23,30.434783
Great Britain,London Stansted,JTI,Regular,Lights,STD,KS,2,553.600000,13,15.384615
Macau,Macau,BAT,Regular,Full Flavor,STD,KS,4,10276.635000,10,40.000000
Italy,Ciampino Airport,PMI,Regular,Full Flavor,STD,KS,12,2401.800000,15,80.000000
China,Fuzhou Changle,NANYANG BROTHERS,Regular,Full Flavor,STD,KS,5,47.730000,5,100.000000
Switzerland,Zurich,PMI,NTD Caps,Full Flavor,STD,KS,4,30594.400000,19,21.052632
Saudi Arabia,RIYADH,PMI,Regular,Full Flavor,SLI,KS,8,330312.200000,17,47.058824
Albania,Tirana,IMPERIAL BRANDS,Menthol Caps,Full Flavor,STD,KS,1,157.400000,19,5.263158
India,Cochin,PMI,Regular,Full Flavor,SLI,KS,5,818.779000,14,35.714286
Brazil,Brasilia,BAT,Regular,Full Flavor,STD,KS,8,56.200000,14,57.142857
Israel,Tel-Aviv,PMI,Regular,Full Flavor,STD,KS,14,1211163.200000,20,70.000000
China,Hangzhou Xiaoshan,PMI,Regular,Full Flavor,STD,KS,6,2239.400000,17,35.294118
Peru,Lima,BAT,Regular,Full Flavor,STD,KS,12,20639.400000,22,54.545455
South Korea,Muan,KT & G,NTD Caps,Full Flavor,STD,KS,7,58.800000,43,16.279070
Great Britain,Edinburgh,PMI,Regular,Full Flavor,SLI,KS,2,1823.200000,6,33.333333
Ireland,Dublin,JTI,Regular,Full Flavor,STD,KS,2,98948.800000,3,66.666667
Austria,Graz,PMI,Regular,Full Flavor,STD,KS,4,149.000000,6,66.666667
France DP,Paris Charles De Gaulle,BAT,Regular,Full Flavor,SSL,100,2,7419.400000,6,33.333333
Reunion,Roland Garros,BAT,Regular,Full Flavor,SSL,100,2,2866.000000,6,33.333333
Albania,Tirana,IMPERIAL BRANDS,Regular,Full Flavor,SLI,100,2,165.400000,19,10.526316
Greece,Kos,KARELIA TOBACCO,Regular,Full Flavor,STD,KS,3,63.600000,9,33.333333
Canary Islands,Fuerteventura,JTI,Regular,Full Flavor,STD,KS,11,17746.800000,15,73.333333
Malaysia,Johor Bahru,BAT,Menthol Caps,Full Flavor,STD,KS,1,10.000000,7,14.285714
Turkey,Gaziantep Airport,JTI,Regular,Full Flavor,STD,KS,7,357.200000,13,53.846154
Morocco,Fes,PMI,Regular,Full Flavor,STD,KS,15,57322.800000,27,55.555556
Nicaragua,Managua,PMI,Regular,Full Flavor,STD,KS,10,1485.800000,18,55.555556
South Korea,Seoul,KT & G,Regular,Lights,SSL,100,1,4813.200000,56,1.785714
Turkey,Kayseri Airport,KARELIA TOBACCO,Regular,Lights,STD,KS,1,35.600000,5,20.000000
South Korea,Muan,KT & G,Regular,Full Flavor,SSL,100,12,413.200000,43,27.906977
China,Ningbo Lishe,CHINA NATIONAL,Regular,Full Flavor,STD,KS,14,622.000000,14,100.000000
France,Marseille,PMI,Regular,Full Flavor,STD,KS,10,37513.800000,14,71.428571
Russia,Krasnoyarsk,JTI,Regular,Full Flavor,STD,KS,10,149.800000,13,76.923077
Japan,Fukuoka,JTI,Regular,Full Flavor,STD,KS,42,46899.800000,59,71.186441
China,Harbin Taiping,JTI,Regular,Full Flavor,STD,KS,16,6.210000,20,80.000000
Morocco,Casablanca,IMPERIAL BRANDS,Regular,Full Flavor,SLI,KS,1,373.000000,29,3.448276
Kuwait,Kuwait,PMI,Regular,Full Flavor,STD,KS,19,547785.600000,44,43.181818
China,Zhengzhou Xinzheng,PMI,NTD Caps,Full Flavor,STD,KS,4,278.600000,14,28.571429
Ghana,Accra,BAT,Regular,Full Flavor,STD,KS,6,462.400000,14,42.857143
United Arab Emirates,Dubai,GULBAHAR TOBACCO,NTD Caps,Full Flavor,STD,KS,1,5545.600000,6,16.666667
Turkey,Izmir Airport,JTI,Regular,Full Flavor,STD,KS,18,17797.000000,29,62.068966
Great Britain,London City,IMPERIAL BRANDS,Regular,Full Flavor,STD,100,1,32.600000,5,20.000000
Mexico,Mexico City,PMI,Menthol Caps,Full Flavor,STD,KS,3,7002.800000,22,13.636364
United Arab Emirates,Dubai,GULBAHAR TOBACCO,NTD Caps,Full Flavor,SSL,100,1,6193.800000,6,16.666667
China,Changsha Huanghua,BAT,Regular,Full Flavor,STD,KS,16,659.025000,20,80.000000
Spain DP,Reus,PMI,Regular,Full Flavor,STD,KS,5,2015.600000,6,83.333333
Tunisia,Monastir,BAT,Regular,Full Flavor,SSL,100,5,2013.200000,27,18.518519
France DP,Nantes,PMI,Regular,Full Flavor,SLI,KS,2,26.400000,11,18.181818
Russia,Samara,PMI,Regular,Full Flavor,STD,KS,5,13.200000,5,100.000000
Oman,Salalah,PMI,NTD Caps,Full Flavor,STD,KS,5,678.400000,32,15.625000
Panama,Panama Tocumen,BAT,Regular,Full Flavor,STD,KS,7,359.400000,13,53.846154
Greece,Zakynthos,KARELIA TOBACCO,Regular,Full Flavor,SSL,100,4,233.000000,10,40.000000
Morocco,Agadir,BAT,Menthol,Full Flavor,SSL,100,4,2635.881000,25,16.000000
Myanmar,Yangon,BAT,Regular,Full Flavor,STD,KS,4,45.503000,4,100.000000
Norway,Trondheim,BAT,Regular,Full Flavor,SSL,KS,1,24.300000,11,9.090909
Greece,Santorini,KARELIA TOBACCO,Regular,Full Flavor,STD,KS,3,62.000000,8,37.500000
Japan,Fukuoka,PMI,Regular,Full Flavor,STD,KS,11,11434.800000,27,40.740741
Turkey,Bodrum Airport,PMI,NTD Caps,Full Flavor,STD,KS,16,2801.200000,70,22.857143
Tanzania,Zanzibar,PMI,Regular,Full Flavor,STD,KS,4,3075.200000,10,40.000000
China,Shenyang Taoxian,BAT,Regular,Lights,STD,KS,2,428.730000,20,10.000000
Greece,Thessaloniki,JTI,Regular,Full Flavor,STD,KS,8,1181.600000,12,66.666667
Russia,Min Vody,PMI,Regular,Full Flavor,STD,KS,7,69.800000,9,77.777778
Spain DP,Santiago De Compostela,PMI,Regular,Full Flavor,STD,KS,5,1868.000000,7,71.428571
Sweden,Lulea,PMI,Regular,Full Flavor,STD,KS,4,22.600000,4,100.000000
Italy,Bari,PMI,Regular,Full Flavor,STD,KS,7,607.000000,10,70.000000
Saudi Arabia,Medina,IMPERIAL BRANDS,Regular,Full Flavor,STD,KS,5,1445.200000,10,50.000000
Japan,Ibaraki,PMI,Regular,Full Flavor,STD,KS,4,12.200000,7,57.142857
Kazakhstan,Almaty,PMI,Regular,Full Flavor,STD,KS,11,9942.660000,11,100.000000
Greece,Zakynthos,PMI,Regular,Full Flavor,SLI,KS,7,544.000000,12,58.333333
Mexico,Guadalajara,PMI,Regular,Full Flavor,SLI,KS,4,9234.200000,20,20.000000
