DF_Market,Location,Flavor,Taste,Thickness,Length,Comp_Seg_SKU,Comp_Total,SoM_Comp,PMI_Seg_SKU,PMI Total,SoM_PMI,$current_year_Volume,SKU_Delta
South Africa,Cape Town,Regular,Full Flavor,SSL,100,1,11,9.090909000000,0,0,0.000000000000,324.200000,-9.090909000000
Brazil,Florianopolis,Regular,Lights,STD,KS,1,11,9.090909000000,0,0,0.000000000000,27.200000,-9.090909000000
United Arab Emirates,Abu Dhabi,Regular,Full Flavor,STD,KS,5,18,59.108429666667,1,33,33.333333000000,388333.000000,-25.775096666667
Tunisia,Tunis,Regular,Lights,STD,KS,1,36,11.111111333333,0,0,0.000000000000,719.200000,-11.111111333333
South Korea,Seoul,Regular,Lights,SSL,100,1,56,1.785714000000,0,0,0.000000000000,4813.200000,-1.785714000000
Turkey,Gaziantep Airport,Regular,Full Flavor,SLI,KS,1,2,50.000000000000,1,84,7.142857000000,292.000000,-42.857143000000
Georgia,Kutaisi,Regular,Full Flavor,SLI,KS,0,0,0.000000000000,1,13,23.076923000000,1477.200000,23.076923000000
Morocco,Nador,Regular,Full Flavor,STD,KS,2,13,59.487179333333,1,26,53.846154000000,14963.200000,-5.641025333333
South Korea,Cheongju,Regular,Full Flavor,STD,KS,4,55,64.002525250000,1,19,42.105263000000,15043.900000,-21.897262250000
China,Nanning Wuxu,NTD Caps,Full Flavor,SSL,100,1,3,33.333333000000,0,0,0.000000000000,22.306000,-33.333333000000
Great Britain,Bristol,Regular,Lights,STD,100,1,11,9.090909000000,0,0,0.000000000000,103.800000,-9.090909000000
Namibia,Windhoek,Regular,Full Flavor,STD,KS,0,0,0.000000000000,1,8,50.000000000000,345.200000,50.000000000000
China,Yanji Zhaoyangchuan,Menthol,Full Flavor,SSL,100,1,3,33.333333000000,0,0,0.000000000000,15.110000,-33.333333000000
South Korea,Busan - Kimhae,Regular,Lights,SLI,KS,0,0,0.000000000000,1,23,4.347826000000,7179.200000,4.347826000000
Japan,Kagoshima,NTD Caps,Full Flavor,SSL,100,1,1,100.000000000000,0,0,0.000000000000,3.600000,-100.000000000000
Morocco,Tangier,Regular,Full Flavor,SLI,KS,1,27,3.703704000000,1,29,3.448276000000,289.800000,-0.255428000000
Turkey,Antalya Gazipasa Airport,Menthol Caps,Full Flavor,STD,KS,1,13,7.692308000000,1,56,1.785714000000,178.000000,-5.906594000000
Switzerland,Zurich,NTD Caps,Full Flavor,STD,KS,2,24,10.416666500000,1,19,21.052632000000,58530.600000,10.635965500000
Mongolia,Ulaanbaatar,NTD Caps,Full Flavor,STD,KS,2,12,16.666666500000,0,0,0.000000000000,160.400000,-16.666666500000
China,Xuzhou Guanyin,Menthol,Full Flavor,SLI,100,1,2,50.000000000000,0,0,0.000000000000,0.010000,-50.000000000000
Germany,Hamburg,Regular,Lights,STD,KS,1,8,25.000000000000,0,0,0.000000000000,353.800000,-25.000000000000
Aruba,Oranjestad,NTD Caps,Full Flavor,STD,KS,2,18,17.777777500000,1,23,13.043478000000,3027.600000,-4.734299500000
Morocco,Essaouira,Regular,Lights,STD,KS,1,16,6.527778000000,0,0,0.000000000000,163.336000,-6.527778000000
France DP,Nantes,Regular,Lights,STD,100,1,11,14.545454500000,0,0,0.000000000000,3.600000,-14.545454500000
Egypt,Aswan,Regular,Full Flavor,STD,KS,0,0,0.000000000000,1,29,58.620690000000,1423.151000,58.620690000000
Spain DP,Barcelona,Regular,Ultralights,STD,KS,1,10,10.000000000000,0,0,0.000000000000,1220.600000,-10.000000000000
China,Chongqing Jiangbei,NTD Caps,Full Flavor,SSL,100,1,3,33.333333000000,0,0,0.000000000000,106.200000,-33.333333000000
Mexico,Mazatlan,NTD Caps,Full Flavor,STD,KS,1,11,9.090909000000,1,17,17.647059000000,41.200000,8.556150000000
Colombia,Bogota,Regular,Full Flavor,STD,KS,3,20,61.666666666667,1,29,55.172414000000,37934.856000,-6.494252666667
Canary Islands,Gran Canaria,Menthol,Full Flavor,SSL,100,1,6,16.666667000000,0,0,0.000000000000,226.000000,-16.666667000000
Norway,Stavanger,NTD Caps,Full Flavor,STD,KS,1,11,9.090909000000,1,20,10.000000000000,1243.600000,0.909091000000
South Africa,Johannesburg,NTD Caps,Full Flavor,STD,KS,1,8,12.500000000000,1,9,11.111111000000,1971.400000,-1.388889000000
Spain,Jerez De La Frontera,Regular,Full Flavor,STD,KS,3,14,72.023809666667,1,7,85.714286000000,368.400000,13.690476333333
South Korea,Busan - Kimhae,Regular,Lights,STD,KS,1,15,6.666667000000,0,0,0.000000000000,244.200000,-6.666667000000
