DF_Market,Location,Flavor,Taste,Thickness,Length,Comp_Seg_SKU,Comp_Total,SoM_Comp
France DP,Nantes,Regular,Full Flavor,STD,KS,2,11,54.848485000000
Mongolia,Ulaanbaatar,Regular,Lights,SSL,100,1,12,8.333333000000
China,Nanning Wuxu,NTD Caps,Full Flavor,SSL,100,1,3,33.333333000000
Morocco,Rabat,Regular,Full Flavor,SSL,KS,1,24,4.166667000000
Armenia,Yerevan,Regular,Full Flavor,STD,KS,4,19,50.877193000000
South Korea,Seoul,Regular,Full Flavor,STD,KS,5,56,69.459707000000
China,Shanghai Pudong,Regular,Full Flavor,STD,KS,4,20,84.000000000000
Spain,Mahon Airport,Regular,Lights,STD,KS,2,16,12.797619000000
South Korea,Cheongju,Regular,Full Flavor,STD,KS,4,55,64.002525250000
Bosnia-Herzegovinia,Banja Luka,Regular,Full Flavor,STD,LONGER THAN KS,1,10,10.000000000000
France DP,Beauvais,Regular,Full Flavor,STD,KS,3,6,66.666666666667
Canary Islands,Tenerife,Regular,Full Flavor,STD,KS,4,16,62.812500000000
Morocco,Essaouira,Regular,Lights,STD,KS,1,16,6.527778000000
Turkey,Denizli Cardak Airport,NTD Caps,Full Flavor,STD,KS,1,6,50.000000000000
Portugal,Faro Airport,Regular,Full Flavor,STD,KS,2,9,53.333333500000
Turkey,Bodrum Airport,Menthol Caps,Full Flavor,STD,KS,1,26,7.692308000000
Macedonia,Ohrid,Regular,Full Flavor,STD,KS,2,11,48.484848333333
Spain,Alicante,Regular,Lights,STD,KS,2,19,23.768797000000
China,Beijing,Menthol,Full Flavor,STD,LONGER THAN KS,1,10,10.000000000000
Ghana,Accra,Regular,Full Flavor,STD,KS,3,14,66.623376750000
United Arab Emirates,Abu Dhabi,Regular,Full Flavor,STD,100,1,18,5.555556000000
France DP,Paris Charles De Gaulle,Regular,Full Flavor,STD,KS,4,12,70.833333250000
Great Britain,Bristol,Regular,Lights,STD,100,1,11,9.090909000000
Greece,Thessaloniki,Regular,Full Flavor,SSL,100,2,11,23.181818000000
Turkey,Antalya Airport,NTD Caps,Full Flavor,SSL,100,2,31,29.390681000000
Japan,Chubu,Regular,Full Flavor,STD,KS,3,62,66.708023000000
Uzbekistan,Tashkent,Menthol,Full Flavor,SSL,100,1,2,50.000000000000
India,Bangalore,NTD Caps,Full Flavor,SSL,100,1,5,20.000000000000
Spain DP,Barcelona,Regular,Ultralights,STD,KS,1,10,10.000000000000
China,Wuxi Shuofang,Menthol,Full Flavor,SLI,100,1,2,50.000000000000
Spain DP,Almeria,Regular,Lights,STD,KS,2,15,22.222222000000
South Korea,Yangyang,NTD Caps,Full Flavor,STD,KS,2,30,20.000000000000
Morocco,Essaouira,NTD Caps,Full Flavor,SSL,100,1,15,6.666667000000
Dominican Republic,Santiago Cibao,Regular,Lights,STD,KS,1,7,14.285714000000
Morocco,Tangier,Menthol Caps,Full Flavor,STD,KS,1,27,3.851852000000
Netherlands,Amsterdam - Schiphol,NTD Caps,Full Flavor,STD,KS,1,5,20.000000000000
Dominican Republic,Punta Cana - Higuey,Menthol,Full Flavor,SSL,100,1,25,4.083333500000
Norway,Stavanger,NTD Caps,Full Flavor,STD,KS,1,11,9.090909000000
France DP,Nantes,Regular,Lights,STD,100,1,11,14.545454500000
China,Zhengzhou Xinzheng,Regular,Full Flavor,STD,100,1,20,5.000000000000
Morocco,Oujda,Regular,Full Flavor,STD,KS,3,21,57.142857000000
Caribbean Other,Basseterre (Saint Kitts),Regular,Full Flavor,SSL,100,1,9,22.222222000000
China,Xian Xianyang,Regular,Full Flavor,STD,KS,4,20,84.000000000000
Greece,Alexandoupolis,Regular,Full Flavor,STD,100,1,10,10.000000000000
France DP,Toulouse,Regular,Full Flavor,STD,KS,4,12,55.059523750000
Spain,Jerez De La Frontera,Regular,Full Flavor,STD,KS,3,14,72.023809666667
Turkey,Bodrum Airport,Menthol,Full Flavor,STD,KS,2,35,4.751051666667
Brazil,Salvador,Menthol,Full Flavor,SSL,100,1,11,9.090909000000
