DF_Market,Location,Flavor,Taste,Thickness,Length,PMI_Seg_SKU,PMI Total,SoM_PMI
Sweden,Lulea,Regular,Full Flavor,STD,KS,1,4,100.000000000000
China,Changsha Huanghua,Menthol Caps,Full Flavor,STD,KS,1,15,20.000000000000
Dominican Republic,Santo Domingo Las Americas,Regular,Full Flavor,SLI,KS,1,22,18.181818000000
United Arab Emirates,Ras El Khaymah,NTD Caps,Full Flavor,STD,KS,1,30,16.666667000000
France DP,Strasbourg,Regular,Full Flavor,STD,KS,1,1,100.000000000000
China,Shanghai Pudong,Menthol,Full Flavor,STD,KS,1,16,12.500000000000
"Congo, Rep. Dem.",Kinshasa,Regular,Full Flavor,SLI,KS,1,5,40.000000000000
Mexico,Puerto Vallarta,Regular,Full Flavor,STD,KS,1,21,47.619048000000
Great Britain,Norwich,Regular,Full Flavor,SLI,KS,1,6,33.333333000000
Spain,Madrid Barajas,Regular,Full Flavor,SLI,KS,1,9,11.111111000000
Italy,Genoa,Regular,Full Flavor,SLI,KS,1,6,33.333333000000
Poland,Olsztyn,Regular,Full Flavor,SLI,KS,1,10,20.000000000000
Ethiopia,Addis Ababa,Regular,Full Flavor,STD,KS,1,19,57.894737000000
Dominican Republic,Puerto Plata,Regular,Full Flavor,SLI,KS,1,19,21.052632000000
Taiwan,Everrich Downtown Kinmen,Menthol Caps,Full Flavor,SLI,KS,1,15,6.666667000000
Turkey,Istanbul Airport,Menthol Caps,Full Flavor,STD,KS,1,77,6.493506000000
Bosnia-Herzegovinia,Tuzla,Regular,Full Flavor,STD,KS,1,12,83.333333000000
Great Britain,Bristol,Regular,Full Flavor,STD,KS,1,6,66.666667000000
South Africa,Cape Town,Menthol Caps,Full Flavor,STD,KS,1,8,12.500000000000
United Arab Emirates,Dubai,Regular,Ultralights,STD,KS,1,39,10.256410000000
Cape Verde,Rabil,Menthol,Full Flavor,STD,KS,1,12,8.333333000000
Italy,Pisa,Regular,Full Flavor,STD,KS,1,13,76.923077000000
Sweden,Vaxjo,Regular,Full Flavor,STD,KS,1,2,50.000000000000
El Salvador,San Salvador Comalapa,Regular,Full Flavor,STD,KS,1,27,59.259259000000
Brazil,Viracopos,Menthol,Full Flavor,STD,KS,1,18,5.555556000000
Mexico,Mazatlan,Menthol,Full Flavor,STD,KS,1,17,5.882353000000
