Location,DF_Market,Flavor,Taste,Thickness,Length,DF_Vol,Real_So_Segment,Ideal_So_Segment,Delta_SoS
Santorini,Greece,Regular,Lights,STD,100,78.800000,0.020391263844,0.061318730457,0.040927466613
Santorini,Greece,Regular,Full Flavor,SLI,KS,892.400000,0.230928475313,0.003158412036,-0.227770063277
Santorini,Greece,Regular,Full Flavor,SLI,EXTRA LONG,0.000000,0.000000000000,0.000093694773,0.000093694773
Santorini,Greece,Menthol,Full Flavor,STD,KS,0.000000,0.000000000000,0.000977905869,0.000977905869
Santorini,Greece,Regular,Full Flavor,STD,LONGER THAN KS,0.000000,0.000000000000,0.007242696493,0.007242696493
Santorini,Greece,NTD Caps,Ultralights,STD,KS,0.000000,0.000000000000,0.250000000000,0.250000000000
Santorini,Greece,Regular,Ultralights,STD,KS,0.000000,0.000000000000,0.067991413834,0.067991413834
Santorini,Greece,Menthol,Full Flavor,STD,100,0.000000,0.000000000000,0.000328702781,0.000328702781
Santorini,Greece,NTD Caps,Full Flavor,SLI,100,0.000000,0.000000000000,0.400000000000,0.400000000000
Santorini,Greece,Regular,Lights,STD,LONGER THAN KS,0.000000,0.000000000000,0.009156769625,0.009156769625
Santorini,Greece,Menthol Caps,Full Flavor,SSL,100,0.000000,0.000000000000,0.000167151476,0.000167151476
Santorini,Greece,Regular,Full Flavor,SSL,100,151.800000,0.039281647863,0.083724251611,0.044442603748
Santorini,Greece,NTD Caps,Full Flavor,SSL,KS,0.000000,0.000000000000,0.400000000000,0.400000000000
Santorini,Greece,Regular,Lights,SLI,KS,0.000000,0.000000000000,0.014056078042,0.014056078042
Santorini,Greece,Regular,Full Flavor,STD,KS,2004.200000,0.518631611634,0.320431741161,-0.198199870473
Santorini,Greece,Regular,Ultralights,SLI,KS,0.000000,0.000000000000,0.001073147154,0.001073147154
Santorini,Greece,Menthol,Full Flavor,SSL,100,49.800000,0.012886864714,0.001030118399,-0.011856746315
Santorini,Greece,Regular,1mg,STD,KS,0.000000,0.000000000000,0.001226648653,0.001226648653
Santorini,Greece,Regular,Lights,SSL,100,0.000000,0.000000000000,0.017653305840,0.017653305840
Santorini,Greece,Regular,Full Flavor,SSL,KS,0.000000,0.000000000000,0.000310942956,0.000310942956
Santorini,Greece,Regular,Full Flavor,STD,100,115.200000,0.029810578615,0.091440714176,0.061630135561
Santorini,Greece,NTD Caps,Full Flavor,STD,KS,45.000000,0.011644757272,0.400000000000,0.388355242728
Santorini,Greece,Menthol Caps,Full Flavor,STD,100,0.000000,0.000000000000,0.000022763150,0.000022763150
Santorini,Greece,Menthol Caps,Full Flavor,SLI,KS,0.000000,0.000000000000,0.000542753508,0.000542753508
Santorini,Greece,NTD Caps,Full Flavor,SSL,100,0.000000,0.000000000000,0.400000000000,0.400000000000
Santorini,Greece,Menthol,Full Flavor,SLI,EXTRA LONG,0.000000,0.000000000000,0.300000000000,0.300000000000
Santorini,Greece,Menthol,Full Flavor,SLI,100,0.000000,0.000000000000,0.000041230403,0.000041230403
Santorini,Greece,Regular,Full Flavor,SLI,100,0.000000,0.000000000000,0.000739850526,0.000739850526
Santorini,Greece,Menthol,Full Flavor,SLI,KS,0.000000,0.000000000000,0.000007779721,0.000007779721
Santorini,Greece,Menthol Caps,Full Flavor,SSL,KS,0.000000,0.000000000000,0.000009571484,0.000009571484
Santorini,Greece,Regular,Lights,STD,KS,527.200000,0.136424800745,0.227300940306,0.090876139561
Santorini,Greece,NTD Caps,Full Flavor,STD,100,0.000000,0.000000000000,0.400000000000,0.400000000000
Santorini,Greece,Menthol Caps,Full Flavor,STD,KS,0.000000,0.000000000000,0.008581628426,0.008581628426
Santorini,Greece,Menthol,Full Flavor,SSL,KS,0.000000,0.000000000000,0.000004951831,0.000004951831
Santorini,Greece,Menthol,Full Flavor,STD,LONGER THAN KS,0.000000,0.000000000000,0.000007890477,0.000007890477
Hohhot Baita,China,Regular,Lights,STD,100,0.000000,0.000000000000,0.000020371643,0.000020371643
Hohhot Baita,China,Regular,Full Flavor,SLI,KS,0.000000,0.000000000000,0.186477033635,0.186477033635
Hohhot Baita,China,Regular,Full Flavor,SLI,EXTRA LONG,0.000000,0.000000000000,0.400000000000,0.400000000000
Hohhot Baita,China,Menthol,Full Flavor,STD,KS,10.242000,0.007395848302,0.009278437668,0.001882589366
Hohhot Baita,China,Regular,Full Flavor,STD,LONGER THAN KS,6.316000,0.004560845331,0.000122475626,-0.004438369705
Hohhot Baita,China,NTD Caps,Ultralights,STD,KS,0.000000,0.000000000000,0.250000000000,0.250000000000
Hohhot Baita,China,Regular,Ultralights,STD,KS,0.000000,0.000000000000,0.012322485571,0.012322485571
Hohhot Baita,China,Menthol,Full Flavor,STD,100,0.000000,0.000000000000,0.000338273479,0.000338273479
Hohhot Baita,China,NTD Caps,Full Flavor,SLI,100,0.000000,0.000000000000,0.400000000000,0.400000000000
Hohhot Baita,China,Regular,Lights,STD,LONGER THAN KS,0.000000,0.000000000000,0.000018183699,0.000018183699
Hohhot Baita,China,Menthol Caps,Full Flavor,SSL,100,0.000000,0.000000000000,0.222117794632,0.222117794632
Hohhot Baita,China,Regular,Full Flavor,SSL,100,46.791000,0.033788238420,0.136800829203,0.103012590783
Hohhot Baita,China,NTD Caps,Full Flavor,SSL,KS,0.000000,0.000000000000,0.400000000000,0.400000000000
Hohhot Baita,China,Regular,Lights,SLI,KS,0.000000,0.000000000000,0.015239044041,0.015239044041
Hohhot Baita,China,Regular,Full Flavor,STD,KS,1155.571000,0.834449113285,0.158260251341,-0.676188861944
Hohhot Baita,China,Regular,Ultralights,SLI,KS,0.000000,0.000000000000,0.000691467051,0.000691467051
Hohhot Baita,China,Menthol,Full Flavor,SSL,100,16.514000,0.011924920803,0.000458944408,-0.011465976395
Hohhot Baita,China,Regular,1mg,STD,KS,0.000000,0.000000000000,0.000429314060,0.000429314060
Hohhot Baita,China,Regular,Lights,SSL,100,0.000000,0.000000000000,0.071557601654,0.071557601654
Hohhot Baita,China,Regular,Full Flavor,SSL,KS,0.000000,0.000000000000,0.070916895912,0.070916895912
Hohhot Baita,China,Regular,Full Flavor,STD,100,6.400000,0.004621502552,0.000430766608,-0.004190735944
Hohhot Baita,China,NTD Caps,Full Flavor,STD,KS,24.047000,0.017364573728,0.400000000000,0.382635426272
Hohhot Baita,China,Menthol Caps,Full Flavor,STD,100,0.000000,0.000000000000,0.000046173782,0.000046173782
Hohhot Baita,China,Menthol Caps,Full Flavor,SLI,KS,0.000000,0.000000000000,0.017776039351,0.017776039351
Hohhot Baita,China,NTD Caps,Full Flavor,SSL,100,5.946000,0.004293664714,0.400000000000,0.395706335286
Hohhot Baita,China,Menthol,Full Flavor,SLI,EXTRA LONG,0.000000,0.000000000000,0.300000000000,0.300000000000
Hohhot Baita,China,Menthol,Full Flavor,SLI,100,0.142000,0.000102539588,0.000071746858,-0.000030792730
Hohhot Baita,China,Regular,Full Flavor,SLI,100,0.000000,0.000000000000,0.000036178187,0.000036178187
Hohhot Baita,China,Menthol,Full Flavor,SLI,KS,0.000000,0.000000000000,0.000429772231,0.000429772231
Hohhot Baita,China,Menthol Caps,Full Flavor,SSL,KS,0.000000,0.000000000000,0.000570806632,0.000570806632
Hohhot Baita,China,Regular,Lights,STD,KS,41.657000,0.030080926842,0.034503405520,0.004422478678
Hohhot Baita,China,NTD Caps,Full Flavor,STD,100,0.000000,0.000000000000,0.400000000000,0.400000000000
Hohhot Baita,China,Menthol Caps,Full Flavor,STD,KS,40.000000,0.028884390947,0.013307901472,-0.015576489475
Hohhot Baita,China,Menthol,Full Flavor,SSL,KS,0.000000,0.000000000000,0.300000000000,0.300000000000
