Location,PMI_Volume
San Jose,1236600
Luxor,1242580
Rhodes,5403400
Szczecin,4368000
Katowice,16856800
Harbin Taiping,5000
Hiroshima,282400
Cozumel,482600
Sarajevo,6681384
Liberia,365200
Krasnoyarsk,536800
Sardar Vallabh Bhai Patel,0
Banjul,1856800
Dubai,348356600
Guadalajara,4664800
Hamburg,3240800
Beijing,54295600
Ciampino Airport,2855600
Mykonos,926200
Naples,5758200
Grenoble,161600
Yaounde,0
Fukuoka,8787600
Gaborone,10000
Roland Garros,23947400
Jersey,1837400
Moscow - Domodedovo,336600
Macau,8818400
Memmingen,0
Karlsruhe Baden-Baden,0
Cochin,2077002
Buenos Aires Aeroparque,2328800
Accra,1872000
Shannon,1465999
Kuala Lumpur,28723000
Harare,0
Lublin,7235580
Santo Domingo Las Americas,7616400
St. George's Point Saline,212400
Amsterdam - Schiphol,14177400
Ohrid,618400
Hebei,371300
Orebro,20000
Southampton,432000
Guernsey,421000
Sanya Fenghuang,96650
Min Vody,95400
Astrakhan,211600
Queretaro,20000
Soekarno Hatta,10591400
Santa Cruz Viru Viru,0
Sendai,292400
Verona,1663000
Ho Chi Minh,5075986
Marrakech,129038000
Katima Mulilo,250000
Kralendijk (Bonaire),1710999
Ibaraki,19200
Sao Paulo - Guarulhos,11209800
Amman,143952400
Trichy,0
Luanda,1749600
Wenzhou Longwan,436800
Kaohsiung,7047760
Vientiane,2748000
Providenciales (Turks and Caicos),0
Baghdad,40320000
Edinburgh,2734600
Daegu,5679600
Gran Canaria,36438600
Cork,1052600
Aomori,21400
Cardiff,214200
Corfu,3125200
Pamandzi,7513002
Zia,1959006
Mexico City,17261400
Izmir Airport,34624600
Xiamen Gaoqi,3157940
Graz,206000
Stavanger,4046100
Curacao,9261810
Yangyang,5200
Kutaisi,2786400
Vienna,6257400
Brasilia,171800
Suleymania Airport,5380000
Skiathos,437200
Shanghai Hongqiao,7701697
Guatemala City,4225600
Brno,1510000
Heraklion Airport,3433400
Dortmund,383400
Cape Town,6920000
Kyiv - Zhulyany,0
Asyut,1137775
Tozeur,323800
Taiyuan Wusu,247800
Addis Ababa,36299000
Mahon Airport,1631200
Rostov Don,0
Eskisehir Airport,351400
Adelaide,13000
Novosibirsk,10200
Natal,224600
Hurgada,30596906
Muscat,44828600
Recife,315600
Volgograd,236200
Bourgas,1137400
Asuncion Silvio Petterossi,695994
Lulea,22600
Samana El Catey,184800
Ouarzazate,860000
Pointe-a-Pitre,8056400
Makhachkala,88000
Brisbane,375001
Kavala,145600
Salvador,633200
Chania,2039000
Bremen,212200
Santander,315400
Basseterre (Saint Kitts),111200
Zhengzhou Xinzheng,974200
Guayaquil,4328600
Abuja,269200
Beauvais,810800
Sharjah,40164600
Jerba,21215400
Taichung,1538604
Shenyang Taoxian,1905400
St. Maarten Princess Juliana,3590104
Changchun Longjia,152600
Wuxi Shuofang,332200
Oita,17600
Naha,2069600
Hatay Airport,0
Fukushima,1400
Takamatsu,123800
Santiago Arturo Merino Benitez,4021400
Jomo Kenyatta,7229949
Moscow - Vnukovo,1170800
Thessaloniki,2306600
Pisa,1645400
Windhoek,1064800
Riga,35538800
DAMMAM,17480200
Kyiv,0
Ras El Khaymah,15117600
Adana Airport,620600
Elblag,635600
Sierra Leone,7984000
Nanchang Changbei,19000
Palma De Mallorca,11318800
Marsa Aalam,11378619
Sydney,228001
Sfax,1875000
Changsha Huanghua,1201340
Praia,3180600
Sandefjord-Torp,3682111
Bariloche,29000
Split,2113000
Tenerife,50061000
Fort-de-France,6583000
Alesund,0
Genoa,342000
Antalya Airport,115104600
Lucknow,0
Vaxjo,11000
Gothenburg,0
Manas,1406600
Acapulco,0
Zagreb,1858400
Aqaba,383400
Erfurt,0
Miyazaki,16400
Christchurch,218000
Nanjing Lukou,1082800
Frankfurt,16232600
Kharkiv,0
Bandaranaike,0
Copenhagen,4387400
Malmo,92200
Nis,1153200
Mangalore,0
Istanbul Asia Airport,94793000
Monterrey,710600
Zurich,26318600
Chattrapati Shivaji,19981002
Torino,648800
Oslo,13610200
Hannover,1471000
Shymkent,0
Rabil,7837200
Indira Gandhi,34237993
Baku,15026400
Karpathos,17800
Lviv,0
Nantes,1559000
Pula,0
Belgorod,0
Athens,12867200
Coolangatta,0
Nador,7283000
Yancheng Nanyang,400
Beirut - Rafik Hariri,67378800
Kristiansand,0
Nanning Wuxu,1862700
Berlin Brandenburg,5466400
Siem Reap,0
Podgorica,5660000
La Paz El Alto,0
Jinan Xiaoqiang,341580
Kingston,719994
Ioannina,8800
Barcelona,13610200
Port Louis,31278800
Alexandria,3641559
Paramaribo,4170994
Piarco,0
Porto Alegre,50000
Bari,793000
Okayama,210800
Santorini,1439600
Moi,0
Marka,5200
Cordoba,510000
Bordeaux,1287600
Los Cabos,3937200
Trondheim,1150400
Varna,596200
Prague,8504800
Aswan,2207188
Rotterdam,288400
Billund,1489357
Tegucigalpa,0
Kaunas,10927000
Johor Bahru,1614000
Newcastle,801400
Zaporizhya,0
Lyon Saint Exupery,6543000
Jeddah,59654200
Bodrum Airport,8412600
Warsaw-Modlin,10027060
Marseille,6324400
Port-au-Prince (Haiti),428400
Paris Orly,31140000
Togo,4988997
Asturias,153600
Aarhus,106001
Dresden,337000
Tokyo - Narita,64817600
Montpellier,2580400
Phnom Penh,2187000
La Romana,692800
Chongqing Jiangbei,1131400
Shandong,0
Auckland,270000
Zanzibar,6172000
Batumi,4585800
Buenos Aires - Ezeiza,17008000
Doha,182890280
Manama,38666400
Charleroi,905000
Warsaw,36336980
Belize City,1594013
London Gatwick,11327600
Hong Kong,83231540
Bangui,300000
Nykoping,20000
Iwate,1000
Lima,7548400
Fortaleza,1848000
Chubu,8496600
Male,7422146
Krakow Balice,43256200
Jerez De La Frontera,113400
Mandalay,286200
Phu Quok,1076200
Munster-Osnabruck,1250003
Sofia,12162800
Khabarovsk,0
La Paz Manuel Marquez de Leon,459800
Viracopos,823600
Juba,670000
Karipur,0
Zakynthos,1592000
Hohhot Baita,185800
Muan,74000
Belgrade,22215200
Lodz,3573920
Dushanbe,0
Maputo,0
Fuzhou Changle,135000
Jeju,47559400
Aberdeen,462600
Djibouti,189933
Samos,16800
Essaouira,4252800
Glasgow,1219800
Umea,8000
Bergamo,3691200
Olsztyn,1382260
Yanji Zhaoyangchuan,168600
Tokyo - Haneda,41318200
Bournemouth,157200
Salzburg,817600
Perth,260575
Guangzhou Baiyun,31383040
Managua,1499400
Sochi,368600
Chambery,120600
Ekaterinburg,44000
Cairns,13000
Budapest,0
Medellin Jose Maria Cordova,2227006
Lanzarote,18622400
Nice,4080000
Dalian Zhoushuizi,454410
Valencia,2081600
Panama Tocumen,6485200
Tel-Aviv,236571800
Basel,15029400
Poznan-Lawica,12207600
Venice,4264800
Dar Es Salaam,1071200
Exeter,96600
Guiyang Longdongbao,2800
Wuhan Tianhe,1352500
Agadir,49136000
Yerevan,27800
Anna,0
Yangon,231840
Ramon,0
Beira,0
Strasbourg,103200
Osaka - Kansai,45448000
Cayenne,3358400
Puerto Plata,1854200
Denizli Cardak Airport,41200
Mazatlan,189800
Bristol,1694200
Eindhoven,403800
Bilbao,863800
Hangzhou Xiaoshan,7254200
Goa,0
Gaziantep Airport,2421000
Puerto Vallarta,5647400
Seoul,5932200
Everrich Downtown Kinmen,7693060
Mitilini,107800
Zadar,0
Ixtapa Zihuatanejo,85400
Norwich,82600
Porto,8477800
Lagos,782400
Aktau,0
Ngurah Rai,14867000
Ankara Airport,11600000
Hyderabad,6514000
Birmingham,2720200
Florence,813600
Singapore - Changi,63494800
Ibiza,3785200
Paderborn,250900
Nuernberg,252045
Hanoi,10236000
Stuttgart,2037200
Vigo,84000
Rome Fiumicino,18672200
Kilimanjaro,307800
Urumchi Diwobao,2704000
Quanzhou,241600
Durban,288000
Mendoza,546000
Kos,1816600
Colombo,11467197
Casablanca,51024000
Cukurova Airport,976000
Conakry,0
Kayseri Airport,3659400
Florianopolis,375600
Cancun,36889800
Busan - Kimhae,11891600
Tuzla,3553800
Humberside,51600
Milan - Malpensa,14005600
Brussels,7919000
Belo Horizonte,261000
Chisinau,0
Yinchuan Hedong,109800
Haiphong,268600
Shizuoka,141800
Rio de Janeiro,7813800
Leeds Bradford,795800
Bologna,1648000
Munich,7511600
Abu Dhabi,38233200
Incheon,123409600
Tashkent,4459040
