SKU,Item per Bundle,CR_BrandId,DF_Market,Location,TMO
PALL MALL - (RED) KS BOX,200,53263,Spain DP,Sevilla,BAT
MURATTI - ROSSO KS RCB 600 WHITE - TURKEY DF,600,97289,Turkey,Samsun Airport,PMI
CAMEL - KS BOX,400,43011,Poland,Warsaw,JTI
STERLING - (RED) KS BOX,200,61078,Spain,Malaga,JTI
STERLING - MENTHOL MENTHOL KS BOX,200,58605,Spain,Mahon Airport,JTI
CAMEL - (BLUE) KS BOX,600,45351,Mexico,Mexico City,JTI
L&M - RED LABEL (5.0 CWB) KS RCB - GENERIC DF-ENG TXT - ALTERNATIVE 1,200,139322,Cape Verde,Espargos,PMI
CAMEL - BLUE KS BOX,600,52735,Italy,Milan - Linate,JTI
SILK CUT - PURPLE KS BOX,200,45375,Greece,Athens,JTI
MARLBORO - GOLD (3.5) KS RCB - GENERIC DF-ENG TXT - ALTERNATIVE,200,139305,Tunisia,Monastir,PMI
KENT - SPARK NAVY BLUE KS RCB,600,106878,Turkey,Izmir Airport,BAT
ESSE - (GREEN) MENTHOL 100's BOX SUPERSLIMS,200,52454,China,Yinchuan Hedong,KT & G
MAYFAIR - KS BOX,400,44279,Great Britain,Bristol,JTI
MERIT - (ORANGE) KS BOX - ITALY DF - IDM ITALY,200,120994,Italy,Milan - Linate,PMI
MARLBORO - TOUCH GRAY KS DSP SLIMS WHITE - TURKEY DF,200,124776,Turkey,Ankara Airport,PMI
GAULOISES - ROUGE KS BOX,200,60339,Spain DP,Ibiza,IMPERIAL BRANDS
MAYFAIR - KS BOX,600,44279,Great Britain,Norwich,JTI
RAISON - KS BOX,200,46893,South Korea,Cheongju,KT & G
MILD SEVEN - INTERNATIONAL KS BOX,200,45709,China,Shanghai Hongqiao,JTI
LUCKY STRIKE - (PURPLE) KS BOX,200,97914,China,Shanghai Pudong,BAT
MARLBORO - TOUCH ONE KS DSP 600 SLIMS TRANSPARENT BUNDLE WHITE - TURKEY DF,600,124798,Turkey,Cukurova Airport,PMI
MARLBORO - RED 3.5 KS BOX 400 TRANSPARENT BUNDLE - ENGLISH GHW TPD2 DF - IDM POLAND,400,125465,Poland,Szczecin,PMI
MARLBORO - GOLD (3.5) KS RCB WHITE - KOREA DF,200,122718,South Korea,Daegu (downtown),PMI
MARLBORO - ICE BLAST MICRO MENTHOL 100's BOX C SUPERSLIMS WHITE - HK DF DEPARTURE - IDM HONG KONG,200,149165,Hong Kong,Hong Kong,PMI
