DF_Market,Location,TMO,Brand Family,CR_BrandId,SKU,Item per Bundle,$theyearbefore Volume,$previous_year Volume,$current_year Volume,$theyearbefore Month,$previous_year Month,$current_year Month,$theyearbefore Revenue,$previous_year Revenue,$current_year Revenue
United Arab Emirates,Abu Dhabi,BAT,BENSON & HEDGES,51862,BENSON & HEDGES - CLASSIC KS BOX,400,0,0,509200,0,0,12,0,0,215052.52
Turkey,Antalya Gazipasa Airport,PMI,MARLBORO,123074,MARLBORO - GOLD (3.5) 100's SOFT 400 TRANSPARENT BUNDLE - TURKEY DF,400,0,0,48800,0,0,9,0,0,10357.8
Turkey,Istanbul Airport,BAT,VOGUE,51102,VOGUE - MENTHE MENTHOL 100's BOX SUPERSLIMS,400,1650800,1271600,0,12,9,0,268128.45,219031.32,0
Mexico,Monterrey,PMI,L&M,123648,L&M - DOUBLE FORWARD MENTHOL KS RCB WHITE - GENERIC DF-ENG TXT,200,0,4600,0,0,8,0,0,713,0
Turkey,Istanbul Airport,JTI,CAMEL,43011,CAMEL - KS BOX,600,2764200,2515800,0,12,9,0,374229,352212,0
Turkey,Istanbul Airport,PMI,MARLBORO,125381,MARLBORO - WINTER SHUFFLE MENTHOL KS RCB (PROMO) C MUL WHITE - TURKEY DF,200,129400,905600,0,1,5,0,24521.3,171611.2,0
Turkey,Istanbul Airport,PMI,MARLBORO,137515,MARLBORO - SILVER BLUE (3.5) KS RCS WHITE - TURKEY DF,200,0,857000,992600,0,10,12,0,161615.9,196541.1
Turkey,Dalaman Airport,PMI,MARLBORO,109801,MARLBORO - DOUBLE FUSION PURPLE KS RCB C JUMBO RC WHITE - TURKEY DF,200,637800,487400,0,11,11,0,142076.1,114237.3,0
Taiwan,Taipei - Taoyuan,BAT,VOGUE,48721,VOGUE - SUPERSLIMS (PINK) 100's BOX SUPERSLIMS,200,358674,1895418,2682498,12,12,12,1255359,6633963,10637947.5
France,Beauvais,PMI,MARLBORO,123635,MARLBORO - GOLD (2.0 ORIGINAL) KS BOX 400 TRANSPARENT BUNDLE - FRANCE DF GHW-FR05 - IDM FRANCE,400,80400,102400,85600,12,12,12,23470.5,32175.6,28101.8
Switzerland,Geneva,BAT,KENT,56256,KENT - WHITE KS RCB,200,102000,131000,104200,12,12,12,28114.36,37517.93,30385.17
South Korea,Incheon,KT & G,ESSE,56480,ESSE - SOON 0.1 100's BOX SUPERSLIMS,200,8027000,21904800,24122000,12,12,12,1195021,3285720,3618300
Turkey,Ankara Airport,POESCHL TABAK,PUEBLO,87679,PUEBLO - (BROWN) KS BOX,200,14000,10800,6800,12,12,8,2147,1798.6,1220.6
Germany,Munich,IMPERIAL BRANDS,GAULOISES,45358,GAULOISES - BLONDES (RED) KS BOX,400,303600,351200,324800,12,12,12,70963.1,86452.2,85458.8
Germany,Hamburg,PMI,MARLBORO,123064,MARLBORO - GOLD (3.5) 100's BOX - ENGLISH GHW TPD2 DF - IDM GERMANY,200,128800,108200,264200,12,12,12,37931.6,33480.9,84411.9
