DF_Market,Location,TMO,Brand Family,CR_BrandId,SKU,Item per Bundle,$theyearbefore Volume,$previous_year Volume,$current_year Volume,$theyearbefore Month,$previous_year Month,$current_year Month,$theyearbefore Revenue,$previous_year Revenue,$current_year Revenue,$theyearbefore NOR,$previous_year NOR,$current_year NOR,$theyearbefore MC,$previous_year MC,$current_year MC,LYRevenueAvg,CYRevenueAvg
Turkey,Antalya Airport,KARELIA TOBACCO,KARELIA,49142,KARELIA - BLUE KS BOX,200,157600,765800,753400,3,12,12,17314.95,101118.5,120813.5,0,0,0,0,0,0,8426.541666667,10067.791666667
Egypt,Aswan,PMI,MARLBORO,95582,MARLBORO - (RED FWD) KS BOX - EG05 NEW TEXT HW DF,200,288756,386529,6042,12,12,1,44757.18,59697.59,906.3,37995.438,64077.777,37371.469,32971.654,54574.116,31793.031,4974.799166667,906.3
Turkey,Antalya Airport,IMPERIAL BRANDS,WEST,46023,WEST - RED KS BOX,200,1149400,1094600,952600,12,12,12,198166.08,216935.65,196858.31,0,0,0,0,0,0,18077.970833333,16404.859166667
Great Britain,London Gatwick,IMPERIAL BRANDS,LAMBERT & BUTLER,43912,LAMBERT & BUTLER - KS BOX,400,1296400,1692000,1570400,12,12,12,265762,354940.41,365490.56,0,0,0,0,0,0,29578.3675,30457.546666667
Malaysia,Kuala Lumpur,JTI,MEVIUS,89726,MEVIUS - SKY BLUE KS RCB,200,1655000,4090000,5720000,8,12,11,879750,2386850,3534650,0,0,0,0,0,0,198904.166666667,321331.818181818
Mexico,Puerto Vallarta,JTI,GLAMOUR,54225,GLAMOUR - MENTHOL 100's L-STICK BOX SUPERSLIMS,200,98600,44000,105000,11,9,12,17748,9460,23453,0,0,0,0,0,0,1051.111111111,1954.416666667
Nicaragua,Managua,PMI,MARLBORO,125088,MARLBORO - WHITE MINT (2.0) MENTHOL KS BOX ORH WHITE - GENERIC DF-ENG TXT,200,0,37400,45600,0,7,12,0,6202,7176.2,0,2290.11,9721.29,0,1755.086,7621.965,886,598.016666667
Turkey,Dalaman Airport,PMI,PARLIAMENT,137662,PARLIAMENT - PLATINUM BLUE KS RCS 600 WHITE - TURKEY DF,600,0,1800,16200,0,1,5,0,355.5,3280.5,0,470.032115768,3470.416732498,0,402.908115768,3019.762732498,355.5,656.1
Great Britain,London Heathrow,JTI,STERLING,99392,STERLING - DUAL KS BOX C,200,1450600,1197400,987600,12,12,12,377156,324665.19,275194.5,0,0,0,0,0,0,27055.4325,22932.875
Japan,Osaka - Kansai,JTI,CAMEL,131412,CAMEL - CRAFT MENTHOL 5 MENTHOL KS BOX,200,0,63000,1242800,0,2,12,0,976499.34,25076204.43,0,0,0,0,0,0,488249.67,2089683.7025
