IATA,PORT_CODE_ID,Airport,LOCATION_ID,Location,DF_Market
TSF,963,Treviso Airport,733,Treviso,Italy
SWA,1267,Jieyang Chaoshan Airport,2887,Jieyang Chaoshan,China
CAY,167,Cayenne - Felix Eboue Airport,3685,Cayenne,French Guyana
MMK,1596,Murmansk Airport,3035,Murmansk,Russia
DPS,262,Ngurah Rai Intl Airport,500,Ngurah Rai,Indonesia
BGY,102,Il Caravaggio Intl Airport,91,Bergamo,Italy
HAU,376,"Haugesund Airport, Karmoy",2824,Haugesund,Norway
BIO,109,Bilbao Airport,98,Bilbao,Spain
HYD,409,Rajiv Gandhi Intl Airport,296,Hyderabad,India
SXM,903,Princess Juliana Intl Airport,573,St. Maarten Princess Juliana,Saint Marteen (FR)
DIY,1146,Diyarbakir Airport,4167,Diyarbakir Airport,Turkey
COR,213,Ingeniero Aeronautico Ambrosio L.V. Taravella Intl Airport (Pajas Blancas),176,Cordoba,Argentina
PLQ,736,Palanga Intl Airport,3167,Palanga,Lithuania
OVD,706,Asturias Airport (Oviedo Airport),2742,Asturias,Spain
FUE,332,Fuerteventura Airport,235,Fuerteventura,Spain
KUN,497,Kaunas Intl Airport,3166,Kaunas,Lithuania
JMK,452,Mykonos Island National Airport,479,Mykonos,Greece
IKT,1534,Intl Airport Irkutsk,304,Irkutsk,Russia
GCM,1580,Owen Roberts Intl Airport,253,George Town,Cayman Island
CXR,1526,Cam Ranh Intl Airport,2924,Cam Ranh,Vietnam
VDA,993,Ovda Intl Airport,538,Ovda Eilat,Israel
EDI,278,Edinburgh Airport,211,Edinburgh,Great Britain
SJW,1264,Shijiazhuang Zhengding Intl Airport,4374,Hebei,China
DZA,274,Dzaoudzi-Pamandzi Intl Airport,542,Pamandzi,Mayotte
RIX,797,Riga Intl Airport,599,Riga,Latvia
POZ,751,Poznan-Lawica Airport,569,Poznan-Lawica,Poland
RZE,1137,Rzeszow-Jasionka Airport,3052,Rzeszow,Poland
IOA,1293,Ioannina National Airport,4325,Ioannina,Greece
HAK,1063,Haikou Meilan Intl Airport,274,Haikou Meilan,China
MAD,570,Madrid-Barajas Airport,421,Madrid Barajas,Spain DP
BOJ,132,Burgas Airport,110,Bourgas,Bulgaria
BNE,127,Brisbane Airport,120,Brisbane,Australia
XRY,1022,Jerez Airport (La Parra Airport),314,Jerez De La Frontera,Spain
PMI,739,Palma de Mallorca Airport (Son Sant Joan Airport),540,Palma De Mallorca,Spain
LPL,551,Liverpool John Lennon Airport,401,Liverpool,Great Britain
JSI,458,Skiathos Island National Airport,674,Skiathos,Greece
ULN,1614,Chinggis Khaan Intl Airport,745,Ulaanbaatar,Mongolia
PRG,753,Vaclav Havel Airport Prague,570,Prague,Czech Republic
TLV,937,Ben Gurion Intl Airport,90,Tel-Aviv,Israel
CAI,164,Cairo Intl Airport,4448,Sphinx,Egypt
PTY,761,Tocumen Intl Airport,723,Panama Tocumen,Panama
LDE,515,Tarbes-Lourdes-Pyrenees Airport,705,Tarbes - Lourdes,France DP
YYC,1040,Calgary Intl Airport,2973,Calgary,Canada
SVG,896,"Stavanger Airport, Sola",686,Stavanger,Norway
DYU,1575,Dushanbe Intl Airport,208,Dushanbe,Tajikistan
LAS,504,McCarran Intl Airport,4419,Las Vegas,United States
HKG,387,Hong Kong Intl Airport (Chek Lap Kok Airport),293,Hong Kong,Hong Kong
FUE,332,Fuerteventura Airport,236,Fuerteventura,Canary Islands
PEK,719,Beijing Capital Intl Airport,4288,Beijing Daxing,China
KRK,486,John Paul II Intl Airport Krakow-Balice,357,Krakow Balice,Poland
CKY,195,Conakry Intl Airport (Gbessia Intl Airport),3076,Conakry,Guinea DF
SKB,6512,Robert L. Bradshaw Intl Airport,3636,Basseterre (Saint Kitts),Caribbean Other
HAM,374,Hamburg Airport,277,Hamburg,Germany
LAP,503,Manuel Marquez de Leon Intl Airport,392,La Paz Manuel Marquez de Leon,Mexico
CAI,164,Cairo Intl Airport,131,Cairo,Egypt
IBZ,413,Ibiza Airport,298,Ibiza,Spain
TXN,1271,Tunxi,3578,Huangshan Tunxi,China
MLE,614,Male Intl Airport,431,Male,Maldives
NRK,670,Norrkoping Airport,510,Norrkoping,Sweden
MVD,645,Carrasco Gral. Cesareo L. Berisso Intl Airport,140,Montevideo,Uruguay
ADL,22,Adelaide Airport,12,Adelaide,Australia
GNB,349,Grenoble-Isere Airport,263,Grenoble,France
MDG,1248,Mudanjiang Airport,2888,Mudanjiang Hailang,China
TAO,916,Qingdao Liuting Intl Airport,587,Qingdao Liuting,China
ABJ,8,Port Bouet Airport,5,Abidjan,Ivory Coast
TSE,961,Astana Airport,2690,Astana,Kazakhstan
VVI,1557,Viru Viru Intl Airport,631,Santa Cruz Viru Viru,Bolivia
YYT,1617,St. John's Intl Airport,3046,St Johns,Canada
TIV,931,Tivat Airport,721,Tivat,Montenegro
KUF,495,Kurumoch Intl Airport,2753,Samara,Russia
SJW,1264,Shijiazhuang Zhengding Intl Airport,666,Shijiazhuang Zhengding,China
ACC,15,Kotoka Intl Airport,9,Accra,Ghana
DLM,257,Dalaman Airport,186,Dalaman Airport,Turkey
LAD,1592,Quatro de Fevereiro Airport,406,Luanda,Angola
ORY,697,Orly Intl Airport,524,Paris Orly,France
KTW,493,Katowice Intl Airport,336,Katowice,Poland
LNZ,548,Linz Airport (Blue Danube Airport),399,Linz,Austria
SXF,902,Berlin Schonefeld Airport,95,Berlin Schoenefeld,Germany
PFO,723,Paphos Intl Airport,544,Paphos,Cyprus
USH,1100,Ushuaia - Malvinas Argentinas Intl Airport,748,Ushuaia,Argentina
HPH,1077,Cat Bi Intl Airport,3534,Haiphong,Vietnam
KMJ,1589,Kumamoto Airport,364,Kumamoto,Japan
MHQ,600,Mariehamn Airport,441,Mariehamn,Finland
CTU,226,Chengdu Shuangliu Intl Airport,155,Chengdu Shuangliu,China
PVG,769,Shanghai Pudong Intl Airport,654,Shanghai Pudong,China
SHA,849,Shanghai Hongqiao Intl Airport,653,Shanghai Hongqiao,China
CGK,179,Soekarno-Hatta Intl Airport,677,Soekarno Hatta,Indonesia
SXM,903,Princess Juliana Intl Airport,3960,St. Maarten Princess Juliana,Saint Marteen (NL)
SZX,910,Shenzhen Bao'an Intl Airport,4351,Yingsheng,China
RUH,814,King Khalid Intl Airport,4022,RIYADH,Saudi Arabia
TNR,944,Ivato Airport,42,Antananarivo,Madagascar
BAQ,78,Ernesto Cortissoz Intl Airport,75,Barranquilla,Colombia
SDR,837,Santander - Parayas Airport,2745,Santander,Spain
HRB,398,Harbin Taiping Intl Airport,282,Harbin Taiping,China
BRC,1571,San Carlos de Bariloche Airport,74,Bariloche,Argentina
MRV,1597,Mineralnye Vody Airport,457,Min Vody,Russia
SDJ,1608,Sendai Airport,646,Sendai,Japan
IST,432,Istanbul Airport,3635,Istanbul Airport,Turkey
VBY,990,Visby Airport,760,Visby,Sweden
RBA,780,Sale Airport,590,Rabat,Morocco
CPH,215,"Copenhagen Airport, Kastrup",175,Copenhagen,Denmark
ICN,414,Incheon Intl Airport,300,Incheon,South Korea
GUW,3808,Atyrau Airport,3675,Atyrau,Kazakhstan
PBM,1603,Johan Adolf Pengel Intl Airport,545,Paramaribo,Suriname
BEY,92,Beirut-Rafic Hariri Intl Airport / Beirut Air Base,592,Beirut - Rafik Hariri,Lebanon
HEL,381,Helsinki Airport (Helsinki-Vantaa Airport),287,Helsinki-Vantaa,Finland
YHZ,1025,Halifax Stanfield Intl Airport,2975,Halifax,Canada
SID,853,Amilcar Cabral Intl Airport,2972,Espargos,Cape Verde
BVC,1197,Aristides Pereira (Rabil) Intl Airport,2971,Rabil,Cape Verde
OVB,705,Novosibirsk Tolmachevo Airport,512,Novosibirsk,Russia
HRE,399,Harare Intl Airport,792,Harare,Zimbabwe
DUB,269,Dublin Airport,202,Dublin,Ireland
TAS,1610,Tashkent Intl Airport,707,Tashkent,Uzbekistan
BEW,91,Beira Airport,4028,Beira,Mozambique
LXS,141,Lemnos Intl Airport,398,LIMNOS,Greece
TIA,929,Tirana Intl Airport Nene Tereza,718,Tirana,Albania
ZAG,1044,Zagreb Airport (Pleso Airport),785,Zagreb,Croatia
ARN,58,Stockholm Arlanda Airport,50,Stockholm Arlanda,Sweden
YUL,1035,Montreal-Pierre Elliott Trudeau Intl Airport,2976,Montreal,Canada
TSN,964,Tianjin Binhai Intl Airport,717,Tianjin Binhai,China
MAN,573,Manchester Airport,437,Manchester,Great Britain
RAI,776,Praia Intl Airport,138,Praia,Cape Verde
SOU,878,Southampton Airport,679,Southampton,Great Britain
INC,1292,Yinchuan Hedong Intl Airport,2892,Yinchuan Hedong,China
LIN,537,Linate Airport,4027,Milan - Linate,Italy
ORB,692,orebro Airport,3438,Orebro,Sweden
FOC,1217,Fuzhou Changle Intl Airport,241,Fuzhou Changle,China
KJA,1239,Yemelyanovo Intl Airport,2867,Krasnoyarsk,Russia
PIK,731,Glasgow Prestwick Intl Airport,3613,Glasgow Prestwick,Great Britain
KHV,473,Khabarovsk Novy Airport,343,Khabarovsk,Russia
CGN,180,Cologne Bonn Airport,170,Cologne,Germany
YEG,1024,Edmonton Intl Airport,2974,Edmonton,Canada
LGW,531,Gatwick Airport,245,London Gatwick,Great Britain
CTA,222,Catania-Fontanarossa Airport,143,Catania,Italy
CWB,233,Afonso Pena Intl Airport,2940,Curitiba,Brazil
BER,1569,Berlin Brandenburg Airport,3899,Berlin Brandenburg,Germany
CZX,1207,Changzhou Benniu Airport,3075,Changzhou Benniu,China
HSG,1532,Saga Airport,2761,Saga,Japan
LBU,509,Labuan Airport,764,W. P. Labuan,Malaysia
CSX,1206,Changsha Huanghua Intl Airport,148,Changsha Huanghua,China
BRS,143,Bristol Airport,122,Bristol,Great Britain
YLW,1027,Kelowna Intl Airport,3015,Kelowna,Canada
AMD,46,Sardar Vallabhbhai Patel Intl Airport,642,Sardar Vallabh Bhai Patel,India
GYE,370,Jose Joaquin de Olmedo Intl Airport,268,Guayaquil,Ecuador
YVR,1037,Vancouver Intl Airport,2981,Vancouver,Canada
SAW,1049,Sabiha Gokcen Intl Airport,306,Istanbul Asia Airport,Turkey
CHQ,186,"Chania Intl Airport (""Ioannis Daskalogiannis"")",149,Chania,Greece
HUX,407,Bahias de Huatulco Intl Airport,3562,Huatulco,Mexico
VOZ,1556,Voronezh Intl Airport,2965,Voronezh,Russia
SJU,861,Luis Munoz Marin Intl Airport,4410,San Juan,Puerto Rico
BCN,81,Barcelona-El Prat Airport,72,Barcelona,Spain DP
ADB,20,Adnan Menderes Airport,311,Izmir Airport,Turkey
TNA,941,Jinan Yaoqiang Intl Airport,318,Jinan Xiaoqiang,China
FAE,1576,Vagar Airport,224,Faroe Islands,Denmark
SVX,899,Koltsovo Intl Airport,213,Ekaterinburg,Russia
ALC,40,Alicante-Elche Airport,28,Alicante,Spain
UVF,986,Hewanorra Intl Airport,3692,Saint Lucia,Caribbean Other
TMP,939,Tampere-Pirkkala Airport,702,Tampere-Pirkkala,Finland
AAR,5,Aarhus Airport,720,Tirstrup,Denmark
TOY,1612,Toyama Airport,730,Toyama,Japan
KMI,1588,Miyazaki Airport,461,Miyazaki,Japan
CFU,176,Corfu Intl Airport (Ioannis Kapodistrias Intl Airport),177,Corfu,Greece
ODS,679,Odessa Intl Airport,518,Odessa,Ukraine
LCG,513,A Coruna Airport,2740,A Coruna,Spain
SPU,883,Split Airport,680,Split,Croatia
FKB,1135,Karlsruhe/Baden-Baden Airport,2817,Karlsruhe Baden-Baden,Germany
