DF_Market,Location,Brand Family,BF_Volume,Margin_Volume,Brand Family Margin
Greece,Aktio,MARLBORO,414800,337761.777285326,0.814276223
Great Britain,Aberdeen,MARLBORO,462600,400201.501207304,0.8651134916
Poland,Wroclaw,MARLBORO,7382600,6551013.27698162,0.8873585562
China,Yancheng Nanyang,MARLBORO,400,290.923722353,0.7273093059
Macedonia,Skopje,PARLIAMENT,346600,291168.035320988,0.840069346
Kenya,Nairobi,L&M,20000,15780.193236715,0.7890096618
Turkey,Trabzon Airport,MURATTI,14000,10844.188980948,0.7745849272
Egypt,Luxor,MERIT,61791,53362.605334691,0.863598345
Egypt,Hurgada,MARLBORO,19277672,15948925.286854,0.8273263124
South Korea,Muan,PARLIAMENT,19000,14937.840931373,0.7862021543
Spain,Malaga,MARLBORO,9947800,8613042.53201,0.8658238537
Niger,Niamey,L&M,1800,1395.261371054,0.7751452061
Tunisia,Enfidha,CHESTERFIELD,73200,49125.156159025,0.6711086907
Tanzania,Dar Es Salaam,MARLBORO,997400,798548.9197958,0.8006305592
France,Montpellier,PHILIP MORRIS,389000,351473.063468105,0.9035297261
Iraq,Suleymania Airport,PARLIAMENT,650000,546191.314334876,0.8402943297
Spain,Malaga,CHESTERFIELD,259800,216518.246472093,0.8334035661
Morocco,Rabat,CHESTERFIELD,167800,129808.041607517,0.7735878522
Canary Islands,Fuerteventura,PHILIP MORRIS,366200,315265.246806013,0.8609100131
Italy,Verona,CHESTERFIELD,128400,106334.065969117,0.8281469312
South Korea,Incheon,PARLIAMENT,29135600,22953905.4578673,0.787830196
Egypt,Hurgada,PARLIAMENT,1680000,1422576.10196573,0.8467714893
Morocco,Casablanca,MARLBORO,44356400,36472969.0024817,0.8222707209
Mexico,Monterrey,L&M,18200,13765.553439747,0.7563490901
Italy,Milan - Malpensa,CHESTERFIELD,998200,818570.623973105,0.820046708
Japan,Fukuoka,PARLIAMENT,1042200,898396.371625315,0.8620191629
Dominican Republic,Santo Domingo Las Americas,MARLBORO,7430400,5959984.00799756,0.8021080975
Canary Islands,La Palma,MARLBORO,682400,586189.499180342,0.8590115756
Caribbean Other,Basseterre (Saint Kitts),MARLBORO,103800,83066.900425114,0.8002591563
Mauritania,Nouakchott,MARLBORO,739200,587437.829099353,0.7946940329
Japan,Chubu,PARLIAMENT,693000,589013.045907613,0.8499466752
Japan,Naha,LARK,20000,17494.73226646,0.8747366133
Mexico,Los Cabos,CHESTERFIELD,8800,7219.231813651,0.8203672516
Spain,Ibiza,CHESTERFIELD,31400,26234.886162144,0.8355059287
Russia,Samara,L&M,6600,4440.980133589,0.6728757778
China,Taiyuan Wusu,MARLBORO,247800,168302.478345273,0.6791867568
Poland,Lodz,L&M,1814820,1548679.71997802,0.8533516933
Morocco,Ouarzazate,PHILIP MORRIS,97400,83953.658647299,0.861947214
China,Hebei,PARLIAMENT,27600,18211.470644183,0.6598358929
Mexico,Mexico City,PARLIAMENT,143200,112908.125471261,0.7884645633
France,Toulouse,L&M,18000,16160.033004909,0.8977796114
China,Jinan Xiaoqiang,PARLIAMENT,10000,6595.678045725,0.6595678046
India,Chattrapati Shivaji,PARLIAMENT,179958,155587.746387156,0.8645781037
Brazil,Florianopolis,PARLIAMENT,3800,2851.018559444,0.750268042
Tunisia,Enfidha,L&M,1081200,688142.444828258,0.6364617507
Morocco,Ouarzazate,MARLBORO,660000,552516.400887468,0.837146062
South Korea,Seoul,PARLIAMENT,1071000,850957.144839136,0.7945444863
Russia,Min Vody,PARLIAMENT,3600,2878.372269451,0.7995478526
Mexico,Cozumel,CHESTERFIELD,600,492.179950139,0.8202999169
Tunisia,Monastir,CHESTERFIELD,126800,85466.162757601,0.6740233656
France,Nantes,CHESTERFIELD,98200,88726.331104989,0.9035267933
Kyrgyzstan,Manas,MARLBORO,641000,531546.734087774,0.829246075
New Zealand,Christchurch,MARLBORO,212000,200113.927287602,0.9439336193
Greece,Karpathos,MARLBORO,17800,14139.069201681,0.7943297304
Angola,Luanda,MARLBORO,1539600,1066429.66692222,0.6926667101
Spain,A Coruna,L&M,15600,13483.90847216,0.8643531072
Japan,Takamatsu,PARLIAMENT,14600,12457.921114752,0.8532822681
Canary Islands,La Palma,CHESTERFIELD,234400,191478.504592845,0.8168878182
Spain,Valencia,L&M,271800,219134.322061238,0.8062337088
China,Weihai Dashuibo,MARLBORO,241600,190623.629568211,0.7890050893
Russia,Sochi,MARLBORO,245200,195618.315115911,0.7977908447
Japan,Hiroshima,MARLBORO,225800,196425.627624227,0.8699097769
Sierra Leone,Sierra Leone,MARLBORO,7004000,5662689.53755648,0.8084936518
Great Britain,Guernsey,MARLBORO,421000,372821.96154645,0.885562854
Oman,Muscat,PHILIP MORRIS,584600,530257.904929324,0.9070439701
Saint Marteen (NL),St. Maarten Princess Juliana,L&M,109440,94263.535359078,0.8613261637
China,Hebei,MARLBORO,343700,248566.55945688,0.7232079123
Spain,Santiago De Compostela,L&M,145600,125259.970853619,0.8603019976
Spain,Ibiza,MARLBORO,3120200,2702238.36346183,0.8660465238
Macedonia,Skopje,L&M,1013400,721672.260247032,0.712129722
Italy,Treviso,CHESTERFIELD,9800,8200.16947569,0.8367519873
Aruba,Oranjestad,NEXT,2000,2000,1
Georgia,Batumi,MARLBORO,2316000,1940877.54053492,0.8380300261
Egypt,Alexandria,MARLBORO,2327125,1933247.88711415,0.8307451843
Vietnam,Cam Ranh,MARLBORO,3192200,2697126.15316208,0.8449113944
South Korea,Muan,MARLBORO,23400,18789.706705445,0.802978919
Spain,Palma De Mallorca,L&M,2082200,1680982.46494703,0.8073107602
China,Hangzhou Xiaoshan,PARLIAMENT,360800,221623.056793239,0.614254592
