Location,Score_A,ScaledScore_A
Paramaribo,-52.941200,4.901910980400
Bari,-80.000000,3.999960000000
Beirut - Rafik Hariri,-41.666700,5.277723888900
Athens,-73.333300,4.222181111100
Nador,-57.692300,4.743542564100
Kingston,-26.666700,5.777718888900
Nanning Wuxu,-161.111100,1.296283703700
Podgorica,33.333300,7.777698888900
Alexandria,-20.000000,5.999940000000
Barcelona,-155.555600,1.481465185200
Porto Alegre,-62.500000,4.583287500000
Okayama,-81.818200,3.939353939400
Port Louis,-16.666700,6.111048888900
Jinan Xiaoqiang,-158.333300,1.388876111100
Nantes,-116.666700,2.777748888900
Berlin Brandenburg,-107.692300,3.076892564100
Ioannina,-50.000000,4.999950000000
Yancheng Nanyang,-100.000000,3.333300000000
Santorini,-125.000000,2.499975000000
Marka,-75.000000,4.166625000000
Izmir Airport,-69.736800,4.342063245600
Curacao,-34.615400,5.512764871800
Kutaisi,-46.153800,5.128155384600
Zia,-28.571400,5.714229523800
Natal,-61.111100,4.629583703700
Eskisehir Airport,-24.137900,5.862011379300
Heraklion Airport,-85.000000,3.833295000000
Graz,-116.666700,2.777748888900
Dortmund,-33.333300,5.555501111100
Shanghai Hongqiao,-162.500000,1.249987500000
Mahon Airport,-144.444400,1.851834814800
Mexico City,-154.545500,1.515134848500
Asyut,-10.000000,6.333270000000
Addis Ababa,-157.894700,1.403495964900
Novosibirsk,-100.000000,3.333300000000
Taiyuan Wusu,-100.000000,3.333300000000
Xiamen Gaoqi,-153.846200,1.538444615400
Tozeur,-70.000000,4.333290000000
Cape Town,-87.500000,3.749962500000
Suleymania Airport,-52.631600,4.912230877200
Vienna,-166.666700,1.111098888900
Stavanger,-70.000000,4.333290000000
Brasilia,-105.555600,3.148115185200
Guatemala City,-80.000000,3.999960000000
Yangyang,-170.000000,0.999990000000
Brno,-25.000000,5.833275000000
Adelaide,0.000000,6.666600000000
Skiathos,-128.571400,2.380929523800
Hurgada,-41.935500,5.268763978500
Sharjah,-109.090900,3.030273030300
Jerba,-162.500000,1.249987500000
Muscat,-11.764700,6.274447254900
Brisbane,-30.000000,5.666610000000
Ouarzazate,-172.727300,0.909080909100
Chania,-153.846200,1.538444615400
Abuja,-157.142900,1.428555714300
Salvador,-86.666700,3.777738888900
St. Maarten Princess Juliana,-22.727300,5.909030909100
Recife,-111.111100,2.962933703700
Shenyang Taoxian,-164.285700,1.190464761900
Volgograd,-110.000000,2.999970000000
Naha,-40.000000,5.333280000000
Santander,-75.000000,4.166625000000
Pointe-a-Pitre,-83.333300,3.888851111100
Beauvais,-75.000000,4.166625000000
Taichung,-106.666700,3.111078888900
Changchun Longjia,-100.000000,3.333300000000
Bourgas,-150.000000,1.666650000000
Kavala,-100.000000,3.333300000000
Fukushima,-100.000000,3.333300000000
Basseterre (Saint Kitts),-75.000000,4.166625000000
Zhengzhou Xinzheng,-157.142900,1.428555714300
Wuxi Shuofang,-144.444400,1.851834814800
Makhachkala,-116.666700,2.777748888900
Guayaquil,-63.636400,4.545407878800
Lulea,0.000000,6.666600000000
Asuncion Silvio Petterossi,-22.222200,5.925867407400
Samana El Catey,-45.454500,5.151465151500
Bremen,-175.000000,0.833325000000
Oita,-33.333300,5.555501111100
Lublin,-8.333300,6.388826111100
St. George's Point Saline,-86.666700,3.777738888900
Szczecin,-70.000000,4.333290000000
Beijing,-156.250000,1.458318750000
Ciampino Airport,-73.333300,4.222181111100
Cochin,-35.714300,5.476135238100
Amsterdam - Schiphol,-85.714300,3.809485238100
Banjul,-142.857100,1.904744285700
Dubai,-153.846200,1.538444615400
Guadalajara,-90.000000,3.666630000000
Santo Domingo Las Americas,-77.272700,4.090869090900
Fukuoka,-166.666700,1.111098888900
Hiroshima,-38.461500,5.384562820500
Sarajevo,-50.000000,4.999950000000
Naples,-56.250000,4.791618750000
Luxor,-23.333300,5.888831111100
Ohrid,-162.500000,1.249987500000
Rhodes,-75.000000,4.166625000000
Cozumel,-60.000000,4.666620000000
Accra,-155.555600,1.481465185200
Mykonos,-142.857100,1.904744285700
Jersey,-40.000000,5.333280000000
Krasnoyarsk,-100.000000,3.333300000000
Macau,-157.142900,1.428555714300
Hamburg,-116.666700,2.777748888900
Kuala Lumpur,-136.363600,2.121192121200
Buenos Aires Aeroparque,-22.222200,5.925867407400
Roland Garros,-112.500000,2.916637500000
Liberia,50.000000,8.333250000000
Grenoble,-116.666700,2.777748888900
Shannon,0.000000,6.666600000000
Hebei,-54.545500,4.848434848500
San Jose,25.000000,7.499925000000
Moscow - Domodedovo,-92.307700,3.589707435900
Katowice,7.692300,6.923007435900
Orebro,-100.000000,3.333300000000
Gaborone,100.000000,9.999900000000
Harbin Taiping,-100.000000,3.333300000000
Rio de Janeiro,-140.000000,1.999980000000
Colombo,-87.096800,3.763402365600
Samsun Airport,-70.370400,4.320943456800
Kayseri Airport,-46.376800,5.120722125600
Oujda,-145.833300,1.805538611100
Milan - Malpensa,-82.352900,3.921530784300
Cukurova Airport,-24.242400,5.858528080800
Incheon,-162.500000,1.249987500000
Ostrava,-50.000000,4.999950000000
