Location,Market_Volume,PMI_Volume
Alexandria,5121945,3641559
Marka,10800,5200
Athens,30295087,12867200
Porto Alegre,84200,50000
Lviv,0,0
Kristiansand,0,0
La Paz El Alto,0,0
Kingston,1970689,719994
Coolangatta,0,0
Okayama,1222256,210800
Ioannina,10800,8800
Port Louis,31278800,31278800
Belgorod,0,0
Nantes,3138200,1559000
Paramaribo,5784863,4170994
Yancheng Nanyang,2910,400
Pula,0,0
Nador,9047200,7283000
Bari,1097572,793000
Barcelona,30519800,13610200
Beirut - Rafik Hariri,147759917,67378800
Siem Reap,0,0
Piarco,1259530,0
Podgorica,5660000,5660000
Nanning Wuxu,6942780,1862700
Santorini,3864400,1439600
Jinan Xiaoqiang,2546233,341580
Berlin Brandenburg,11912562,5466400
Moi,0,0
Glasgow Prestwick,1966400,33400
Sevilla,3170800,1384600
Manila - Ninoy Aquino,2539200,2539200
Palermo,1801600,1159000
St. Petersburg Pulkovo,1309800,502200
Kazan,0,0
Odessa,0,0
Nouakchott,1052800,742800
Montego Bay,16967203,5899002
Melbourne,1115774,399601
Cologne,4619584,2671384
Skopje,29025840,10877000
London Stansted,28625000,6086800
Gdansk,59157529,39668080
Basrah,13391946,10660000
Radom,31283,21400
East Midlands,10508400,746000
Sharm El Sheikh,14424829,11283151
Kigali,1118400,559200
Punta del Este,1600,1600
Dubrovnik,2244122,2019400
Yantai Penglai,2920559,415200
Cheongju,17855500,1884600
London Luton,14622400,3071000
Ningbo Lishe,1463890,194000
Faro Airport,28279200,8409400
Leopold Sedar Senghar,15083253,8687000
Malaga,40099000,12293200
Tirana,130243800,57031600
Trabzon Airport,4176400,3584000
Chitose,19712903,2921400
Changzhou Benniu,0,0
Montevideo,2931800,1104200
Treviso,340600,236600
Yingsheng,0,0
Madeira,5061600,2989600
Dalaman Airport,72832056,14043000
Almeria,1353000,424000
Almaty,3782558,2345000
Chengdu Tianfu,28848382,3855420
La Palma,2688000,1120000
Heraklion Airport,10714200,3433400
Brno,3097570,1510000
Izmir Airport,62879800,34624600
Mahon Airport,5914400,1631200
Taiyuan Wusu,1747394,247800
Stavanger,10363550,4046100
Zia,5597167,1959006
Xiamen Gaoqi,23654002,3157940
Rostov Don,0,0
Graz,375754,206000
Kutaisi,6125902,2786400
Vienna,11621768,6257400
Shanghai Hongqiao,61540652,7701697
Mexico City,24821400,17261400
Curacao,13230840,9261810
Eskisehir Airport,430000,351400
Natal,327400,224600
Yangyang,50000,5200
Kyiv - Zhulyany,0,0
Guatemala City,5066800,4225600
Brasilia,289600,171800
Asyut,1137775,1137775
Cape Town,11837800,6920000
Novosibirsk,10600,10200
Skiathos,1804800,437200
Suleymania Airport,6758786,5380000
Adelaide,19384,13000
Dortmund,532898,383400
Addis Ababa,55892608,36299000
Tozeur,592040,323800
Shanghai Pudong,560948893,76398935
Reus,4746800,1062400
Penang,2222800,797800
Komatsu,577210,97000
Bangalore,11866400,3209600
Monastir,66205129,37485200
Bujumbura,224800,112400
Sihanoukville,77150,20400
Mombasa,0,0
Douala,708240,595200
Cairo,179060461,125234733
Bergen,6027030,2555300
Johannesburg,27842600,12794200
Santiago De Compostela,1411800,780400
Hefei Xinqiao,3432889,455400
Lubumbashi,0,0
Espargos,22633018,14028200
Dublin,65233400,9644200
RIYADH,161954800,75354800
Salalah,29919991,13943400
Santiago Cibao,4886200,3536800
Antalya Gazipasa Airport,4845000,2823200
Rosario,44800,44800
Gibraltar,27333680,3659030
Ufa,0,0
Amritsar,0,0
Dnipropetrovsk,0,0
Rzeszow,12555178,8507600
Danang,19099400,3295800
Alexandoupolis,4023400,1129400
Antigua,549223,396003
Wroclaw,25462292,17273000
Milan - Linate,1986600,1247200
Geneva,46948200,17031400
Paris Charles De Gaulle,77542600,48528000
Nairobi,479934,253200
Tangier,43075496,23866000
Diyarbakir Airport,1625800,1248400
Toulouse,4227400,2476200
Ulaanbaatar,2904400,133800
Hrabrovo,0,0
Fuerteventura,47338800,16162000
Hurgada,59437978,30596906
Chania,5198600,2039000
Shenyang Taoxian,14244085,1905400
Abuja,521200,269200
Hatay Airport,0,0
