DF_Market,Location,SKU,skuid,CR_BrandId,Item per Bundle,$theyearbefore MC,$theyearbefore NOR,$previous_year MC,$previous_year NOR,$current_year MC,$current_year NOR
Switzerland,Geneva,MARLBORO - RED 3.5 KS BOX 400 TRANSPARENT BUNDLE WHITE - ZONE 1 DF - IDM SWITZERLAND,22784,125565,400,0,0,0,0,152260.05,174525.95
Turkey,Istanbul Asia Airport,PARLIAMENT - NIGHT BLUE 100's SOFT WHITE - TURKEY DF,14531,70904,200,111945.65,129789.37,81814.98,95907.83,69561.79,80709.78
Oman,Salalah,MARLBORO - WHITE (3.5) KS RCS WHITE - GENERIC DF-ENG TXT,21759,123514,200,8067,8980.4,8703.19,9762.36,10744.62,12042.71
France DP,Bordeaux,CHESTERFIELD - ORIGINAL RED KS BOX - FRANCE DF GHW-FR05 - IDM FRANCE,20796,121898,200,44.33,75.88,21.79,34.49,52.93,77.19
France,Paris Orly,CHESTERFIELD - ORIGINAL BLUE KS BOX - FRANCE DF GHW-FR05 - IDM FRANCE,20795,121897,200,39098.55,44285.95,40985.19,45932.64,34833.74,38970.44
Japan,Osaka - Kansai,MARLBORO - (RED FWD) KS BOX 400 SPECIAL OUTER - JAPAN DF,19961,118634,400,22217.57,26243.47,77894.94,95792.49,148559.93,190739.13
Greece,Heraklion Airport,MARLBORO - (GOLD 3.0) KS RCB - ENGLISH GHW TPD2 DF - IDM GREECE,20428,120934,200,25803.86,31787.03,42202.35,50831.6,19.34,23.47
France,Nice,MARLBORO - GOLD (2.0 ORIGINAL) KS BOX 400 TRANSPARENT BUNDLE - FRANCE DF GHW-FR05 - IDM FRANCE,21806,123635,400,65950.5,73807.44,95124.74,106398.98,91047.76,101750.74
Morocco,Rabat,MARLBORO - (GOLD 3.0) KS RCB - NORTH AFRICA DF,19446,113631,200,43932.78,52125.5,46584.12,55254.79,63982.57,76550.03
Spain DP,Murcia,L&M - RED LABEL (5.0 CWB) KS RCB - SPAIN DF - IDM SPAIN,21610,123310,200,413.7,607.62,450.78,637.83,1531.83,2101.33
Canary Islands,Gran Canaria,CHESTERFIELD - ORIGINAL (4.0) KS BOX - CANARY ISLANDS DF - IDM SPAIN,22396,124961,200,0,0,121305.98,157349.37,268695.75,333701.63
Dominican Republic,Santo Domingo Las Americas,MARLBORO - WHITE MINT (2.0) MENTHOL KS BOX ORH WHITE - GENERIC DF-ENG TXT,22483,125088,200,0,0,4258.84,5079.36,7733.4,9287.8
Turkey,Izmir Airport,MARLBORO - TOUCH GRAY (2.0) KS RCS 600 SLIMS WHITE - TURKEY DF,19716,114640,600,9795.43,11695.29,7128.64,8554.68,8321.54,10002.01
Mexico,Cancun,MARLBORO - (RED FWD) KS BOX 400 WHITE - LA&CANADA DF-ENG TXT,15669,91755,400,184714.27,219816.48,94636.66,114415.88,0,0
Aruba,Oranjestad,MARLBORO - (RED FWD) KS BOX 600 SPECIAL OUTER WHITE - LA&CANADA DF-ENG TXT,18446,104357,600,27271.49,33973.2,21237.56,26864.82,0,0
Morocco,Casablanca,MARLBORO - (GOLD 3.0) KS RCB 400 - NORTH AFRICA DF,19438,113639,400,200442.29,243954.69,239604.31,290101.7,252941.9,309280.46
Greece,Corfu,MARLBORO - GOLD (3.5) KS RCB (PROMO) - ENGLISH GHW TPD2 DF - IDM GREECE,23078,137305,200,0,0,974.56,1171.8,0,0
Israel,Tel-Aviv,MARLBORO - (RED FWD) KS BOX - ISRAEL DF - IDM JR HEINEMANN,21638,123365,200,2316961.43,2600834.16,2309361.18,2624909.68,1875129.08,2132526.74
Egypt,Alexandria,L&M - BLUE LABEL (5.0 CWB) KS RCB 400 TRANSPARENT BUNDLE - GENERIC DF-ENG TXT,21819,123649,400,7457.72,9155.79,8195.63,10404.73,8542.88,10683.78
Great Britain,London Stansted,MARLBORO - GOLD (2.0 ORIGINAL) KS RCB 600 SPECIAL OUTER - UNITED KINGDOM DF - IDM UNITED KINGDOM,21299,122750,600,26191.15,31264.41,42020.27,50813.23,53731.08,64700.74
