DF_Market,Location,TMO,Flavor,Taste,Thickness,Length,SKU,$current_year Volume,Total_TMO,SoM
Tunisia,Jerba,Comp,Regular,Full Flavor,STD,100,4,180000,63,6.349206
Spain DP,Valencia,Comp,Regular,Full Flavor,STD,KS,26,1485400,42,61.904762
China,Sanya Fenghuang,Comp,Regular,Full Flavor,STD,KS,56,531180,73,76.712329
France,Nantes,Comp,Regular,Full Flavor,STD,KS,13,1329200,22,59.090909
China,Sanya Fenghuang,Comp,Regular,Lights,STD,KS,2,21620,73,2.739726
Morocco,Casablanca,Comp,Regular,Full Flavor,STD,KS,45,106902466,88,51.136364
United Arab Emirates,Abu Dhabi,Comp,Regular,Full Flavor,STD,KS,30,127078200,55,54.545455
Turkey,Antalya Airport,Comp,Regular,Full Flavor,SSL,100,17,188988400,104,16.346154
Croatia,Zagreb,PMI,Regular,Full Flavor,SLI,KS,1,517000,2,50.000000
Greece,Chania,Comp,Regular,Full Flavor,SSL,100,4,219000,34,11.764706
Canary Islands,Fuerteventura,PMI,Regular,Full Flavor,SLI,KS,3,18963800,8,37.500000
Turkey,Antalya Gazipasa Airport,Comp,NTD Caps,Full Flavor,STD,KS,5,439400,49,10.204082
Jordan,Aqaba,Comp,Regular,Full Flavor,STD,KS,23,285200,39,58.974359
Bulgaria,Sofia,Comp,Regular,Full Flavor,SSL,100,9,26693600,32,28.125000
Spain DP,Palma De Mallorca,Comp,Regular,Full Flavor,STD,KS,30,78106400,48,62.500000
Turkey,Kayseri Airport,Comp,Regular,Full Flavor,STD,KS,28,1554800,47,59.574468
Greece,Thessaloniki,PMI,Regular,Full Flavor,SLI,KS,8,2833200,24,33.333333
Great Britain,London Heathrow,Comp,Regular,Full Flavor,STD,KS,17,281418400,31,54.838710
Spain,Vigo,PMI,Regular,Full Flavor,SLI,KS,2,18600,7,28.571429
Bangladesh,Zia,PMI,Regular,Full Flavor,STD,KS,12,6604878,21,57.142857
Indonesia,Ngurah Rai,Comp,Regular,Full Flavor,SSL,100,6,11134950,73,8.219178
Germany,Frankfurt,Comp,Regular,Full Flavor,STD,KS,28,156088800,34,82.352941
Turkey,Ankara Airport,PMI,Regular,Full Flavor,SLI,KS,11,5053600,77,14.285714
Spain DP,Barcelona,Comp,Regular,Lights,STD,KS,9,30063600,50,18.000000
China,Guangzhou Baiyun,PMI,NTD Caps,Full Flavor,STD,KS,5,8665010,15,33.333333
China,Yantai Penglai,PMI,NTD Caps,Full Flavor,STD,KS,2,36200,9,22.222222
Turkey,Trabzon Airport,Comp,Menthol,Full Flavor,SSL,100,2,27600,37,5.405405
Saudi Arabia,Medina,Comp,Regular,Lights,STD,KS,7,3704800,37,18.918919
Germany,Berlin Brandenburg,Comp,Regular,Lights,STD,KS,3,1962200,24,12.500000
Russia,Sochi,PMI,Regular,Full Flavor,STD,KS,8,272000,10,80.000000
Cape Verde,Rabil,PMI,Regular,Full Flavor,SLI,KS,2,3484800,12,16.666667
Germany,Paderborn,Comp,Regular,Full Flavor,STD,KS,8,237800,9,88.888889
Turkey,Bodrum Airport,PMI,Regular,Full Flavor,STD,KS,43,11380000,70,61.428571
Greece,Zakynthos,Comp,Regular,Full Flavor,STD,KS,21,4261800,35,60.000000
China,Jinan Xiaoqiang,Comp,Regular,Full Flavor,STD,KS,56,1892191,73,76.712329
Malaysia,Kota Kinabalu,Comp,Menthol,Full Flavor,STD,KS,3,350000,11,27.272727
Tunisia,Enfidha,Comp,Regular,Full Flavor,STD,KS,25,730200,50,50.000000
Dominican Republic,La Romana,PMI,Menthol,Full Flavor,STD,KS,1,40400,18,5.555556
Mexico,Cozumel,PMI,Regular,Full Flavor,SLI,KS,4,136400,20,20.000000
Morocco,Nador,PMI,Menthol,Full Flavor,STD,KS,1,109600,26,3.846154
Turkey,Ankara Airport,Comp,Regular,Full Flavor,STD,KS,45,5661600,87,51.724138
France,Bordeaux,PMI,Regular,Full Flavor,STD,KS,8,2615400,12,66.666667
Morocco,Al Hoceima,Comp,Regular,Full Flavor,STD,KS,28,76569,45,62.222222
Poland,Gdansk,PMI,Regular,Full Flavor,STD,KS,10,213620760,12,83.333333
Turkey,Denizli Cardak Airport,PMI,Regular,Full Flavor,SLI,KS,3,8800,30,10.000000
Germany,Berlin Brandenburg,Comp,Regular,Full Flavor,STD,KS,19,10118800,24,79.166667
Italy,Milan - Linate,PMI,Regular,Full Flavor,SLI,KS,3,174000,13,23.076923
Mexico,La Paz Manuel Marquez de Leon,Comp,Regular,Full Flavor,STD,KS,3,28400,4,75.000000
Japan,Naha,PMI,Regular,Full Flavor,STD,KS,10,922800,25,40.000000
China,Shanghai Pudong,Comp,Regular,Full Flavor,SSL,100,3,26657668,71,4.225352
Guadalupe,Pointe-a-Pitre,Comp,Regular,Full Flavor,SSL,100,2,2176400,20,10.000000
Cambodia,Phnom Penh,Comp,Regular,Full Flavor,SSL,KS,2,199600,74,2.702703
Morocco,Fes,PMI,NTD Caps,Full Flavor,STD,KS,8,836400,27,29.629630
Turkey,Izmir Airport,PMI,Regular,Full Flavor,STD,KS,46,87438200,76,60.526316
Russia,Krasnoyarsk,Comp,Regular,Full Flavor,STD,100,2,2600,19,10.526316
Japan,Chubu,Comp,Regular,Full Flavor,SSL,100,5,7770600,106,4.716981
South Korea,Daegu,Comp,Regular,Full Flavor,SSL,100,12,7677600,80,15.000000
Turkey,Izmir Airport,Comp,NTD Caps,Full Flavor,SSL,100,2,73200,103,1.941748
Great Britain,Glasgow,Comp,Menthol,Full Flavor,STD,KS,2,1104600,30,6.666667
Japan,Chitose,PMI,Menthol,Full Flavor,STD,KS,4,702000,25,16.000000
China,Changchun Longjia,Comp,Regular,Full Flavor,SSL,100,4,38390,73,5.479452
France DP,Nantes,PMI,Regular,Lights,STD,KS,2,60800,12,16.666667
Vietnam,Hanoi,Comp,Regular,Full Flavor,STD,KS,15,143661610,15,100.000000
Turkey,Eskisehir Airport,Comp,Regular,Full Flavor,STD,100,2,4800,26,7.692308
Brazil,Brasilia,Comp,Regular,Full Flavor,SSL,100,2,14000,34,5.882353
