DF_Market,Location,Flavor,Taste,Thickness,Length,PMI_Seg_SKU,PMI Total,SoM_PMI
Cambodia,Phnom Penh,Menthol Caps,Full Flavor,STD,KS,3,10,30.000000000000
Malaysia,Kuala Lumpur,Regular,Full Flavor,STD,KS,4,11,36.363636000000
Jamaica,Montego Bay,Menthol,Full Flavor,STD,KS,2,27,7.407407000000
Spain DP,Murcia,Regular,Full Flavor,SLI,KS,1,6,16.666667000000
Mexico,Mazatlan,Regular,Full Flavor,SLI,KS,4,17,23.529412000000
Japan,Komatsu,Regular,Full Flavor,STD,KS,3,5,60.000000000000
India,Cochin,Regular,Full Flavor,STD,KS,8,14,57.142857000000
Niger,Niamey,Regular,Full Flavor,STD,KS,7,7,100.000000000000
Germany,Hamburg,Regular,Full Flavor,SLI,KS,4,12,33.333333000000
Morocco,Oujda,Menthol,Full Flavor,STD,KS,1,24,4.166667000000
Greece,Kavala,Regular,Full Flavor,SLI,KS,4,7,57.142857000000
France DP,Nantes,Regular,Lights,STD,KS,2,12,16.666667000000
Spain DP,Ibiza,Regular,Full Flavor,STD,KS,8,9,88.888889000000
Kenya,Jomo Kenyatta,Regular,Full Flavor,STD,KS,10,20,50.000000000000
South Korea,Daegu,Regular,Full Flavor,STD,KS,8,20,40.000000000000
Guatemala,Guatemala City,NTD Caps,Full Flavor,STD,KS,2,15,13.333333000000
Argentina,Buenos Aires Aeroparque,Regular,Full Flavor,SLI,KS,6,9,66.666667000000
Greece,Mykonos,Regular,Full Flavor,STD,KS,3,7,42.857143000000
South Korea,Muan,Regular,Full Flavor,STD,KS,5,13,38.461538000000
Jordan,Marka,Regular,Full Flavor,SLI,KS,1,4,25.000000000000
Caribbean Other,Kralendijk (Bonaire),Menthol Caps,Full Flavor,STD,KS,1,11,9.090909000000
Turkey,Istanbul Airport,NTD Caps,Full Flavor,STD,KS,17,77,22.077922000000
Chile,Santiago Arturo Merino Benitez,Menthol Caps,Full Flavor,STD,KS,2,12,16.666667000000
Vietnam,Ho Chi Minh,Regular,Full Flavor,STD,KS,4,11,36.363636000000
South Korea,Seoul,Regular,Full Flavor,SLI,KS,2,24,8.333333000000
Norway,Stavanger,Menthol Caps,Full Flavor,STD,KS,2,20,10.000000000000
Malaysia,Johor Bahru,Regular,Full Flavor,STD,KS,4,10,40.000000000000
Morocco,Agadir,NTD Caps,Full Flavor,STD,KS,9,29,31.034483000000
Turkey,Antalya Airport,NTD Caps,Full Flavor,STD,KS,16,90,17.777778000000
China,Wenzhou Longwan,Menthol Caps,Full Flavor,STD,KS,3,9,33.333333000000
Brazil,Porto Alegre,Menthol Caps,Full Flavor,STD,KS,2,16,12.500000000000
Morocco,Tangier,Regular,Full Flavor,STD,KS,16,29,55.172414000000
Russia,Moscow - Domodedovo,Regular,Full Flavor,STD,KS,11,13,84.615385000000
China,Hangzhou Xiaoshan,NTD Caps,Full Flavor,STD,KS,6,17,35.294118000000
Turkey,Izmir Airport,Regular,Full Flavor,SLI,KS,11,76,14.473684000000
Great Britain,Edinburgh,Regular,Full Flavor,SLI,KS,2,6,33.333333000000
Egypt,Luxor,Regular,Full Flavor,SLI,KS,4,30,13.333333000000
Dominican Republic,La Romana,Regular,Full Flavor,STD,KS,10,18,55.555556000000
Kosovo,PRISTINA,Regular,Full Flavor,SLI,KS,1,2,50.000000000000
