Location,TotalSKU,GreenSKU,RedSKU
Antalya Airport,90,14,43
Marsa Aalam,30,4,7
Changsha Huanghua,15,0,8
Takamatsu,9,2,3
Santiago Arturo Merino Benitez,12,3,9
DAMMAM,15,3,10
Sydney,9,1,2
Pisa,13,1,5
Riga,6,1,3
Adana Airport,28,4,10
Ras El Khaymah,30,3,4
Aqaba,28,5,15
Fort-de-France,12,2,6
Sierra Leone,8,1,2
Sfax,11,3,3
Thessaloniki,24,3,13
Manas,12,0,8
Sandefjord-Torp,20,3,4
Genoa,6,1,1
Jomo Kenyatta,20,2,11
Praia,16,4,8
Windhoek,9,2,4
Tenerife,8,0,5
Palma De Mallorca,9,0,6
Moscow - Vnukovo,11,1,5
Vaxjo,2,1,1
Miyazaki,2,1,1
Nanchang Changbei,4,0,0
Zagreb,2,1,0
Elblag,9,1,6
Split,2,1,1
Bariloche,3,2,1
RIYADH,17,2,12
Monastir,26,2,18
Santiago De Compostela,7,0,4
Reus,6,0,4
Tangier,29,2,20
Salalah,32,3,5
Danang,13,3,4
Komatsu,5,1,3
Douala,4,1,0
Antalya Gazipasa Airport,56,8,21
Bergen,15,3,8
Espargos,17,3,13
Wroclaw,13,2,0
Rosario,7,1,2
Antigua,9,2,4
Ulaanbaatar,4,0,1
Bangalore,18,1,10
Toulouse,13,2,8
Santiago Cibao,16,2,1
Shanghai Pudong,16,0,10
Geneva,19,0,11
Milan - Linate,13,3,5
Diyarbakir Airport,63,11,29
Dublin,4,0,2
Johannesburg,9,2,5
Sihanoukville,7,0,3
Cairo,35,3,9
Alexandoupolis,9,0,7
Hefei Xinqiao,9,0,4
Rzeszow,13,1,1
Penang,7,0,2
Paris Charles De Gaulle,14,2,9
Bujumbura,8,2,1
Gibraltar,8,2,2
Nairobi,7,2,3
Fuerteventura,8,0,5
Muscat,34,2,3
Sharjah,33,6,20
Taichung,15,2,8
Ouarzazate,11,0,8
Hurgada,31,3,8
St. Maarten Princess Juliana,22,2,3
Beauvais,8,2,4
Recife,18,3,11
Brisbane,10,1,2
Abuja,7,0,4
Pointe-a-Pitre,12,0,4
Jerba,24,1,18
Salvador,15,3,8
Santander,4,1,2
Volgograd,10,2,6
Shenyang Taoxian,14,0,9
Chania,13,0,8
Naha,25,2,6
Changchun Longjia,5,0,0
