Year,Product Category,Location,DF_Market,TMO,Brand Family,CR_BrandId,DF_Vol
2024,Cigarettes,Diyarbakir Airport,Turkey,PMI,MARLBORO,125310,0.600000
2024,Cigarettes,Zurich,Switzerland,IMPERIAL BRANDS,DAVIDOFF,88458,588.600000
2024,Cigarettes,Manama,Bahrain,IMPERIAL BRANDS,DAVIDOFF,130408,107.400000
2024,Cigarettes,Barcelona,Spain DP,JTI,WINSTON,56994,1337.800000
2024,Cigarettes,Incheon,South Korea,KT & G,ESSE,92949,14299.000000
2024,Cigarettes,Nanning Wuxu,China,PMI,MARLBORO,105460,17.800000
2024,Cigarettes,Chubu,Japan,PMI,MARLBORO,125146,339.800000
2024,Cigarettes,Fortaleza,Brazil,BAT,LUCKY STRIKE,127567,3.800000
2024,Cigarettes,London Stansted,Great Britain,BAT,BENSON & HEDGES,45433,3593.000000
2024,Cigarettes,Aqaba,Jordan,JTI,WINSTON,53483,13.600000
2024,Cigarettes,Geneva,Switzerland,JTI,WINSTON,54087,1915.800000
2024,Cigarettes,Santiago De Compostela,Spain DP,PMI,CHESTERFIELD,123156,49.000000
2024,Cigarettes,Ankara Airport,Turkey,JTI,WINSTON,54235,222.800000
2024,Cigarettes,Paris Orly,France,BAT,LUCKY STRIKE,51260,1473.600000
2024,Cigarettes,Istanbul Airport,Turkey,PMI,MARLBORO,137514,2095.800000
2024,Cigarettes,Colombo,Sri Lanka,PMI,MARLBORO,98261,818.877000
2024,Cigarettes,Sao Paulo - Guarulhos,Brazil,JTI,GLAMOUR,54224,220.400000
2024,Cigarettes,Phnom Penh,Cambodia,BAT,STATE EXPRESS 555,38071,107.400000
2024,Cigarettes,Moscow - Sheremetyevo,Russia,PMI,L&M,122532,10.200000
2024,Cigarettes,Tenerife,Canary Islands,JTI,SILK CUT,46016,647.200000
2024,Cigarettes,Antalya Airport,Turkey,BAT,KENT,56256,243.000000
2024,Cigarettes,Cozumel,Mexico,PMI,MARLBORO,139312,21.400000
2024,Cigarettes,Munich,Germany,JTI,NATURAL AMERICAN SPIRIT,54054,204.800000
2024,Cigarettes,Kunming Wujiaba,China,JTI,MILD SEVEN,44117,394.861000
2024,Cigarettes,Cordoba,Argentina,PMI,MARLBORO,122310,35.200000
2024,Cigarettes,Samana El Catey,Dominican Republic,BAT,VOGUE,51105,10.000000
2024,Cigarettes,Tokyo - Narita,Japan,PMI,MARLBORO,119100,2750.000000
2024,Cigarettes,Jerba,Tunisia,JTI,CAMEL,45351,1293.800000
2024,Cigarettes,Istanbul Asia Airport,Turkey,IMPERIAL BRANDS,DAVIDOFF,55973,654.600000
2024,Cigarettes,Naples,Italy,JTI,WINSTON,45199,46.000000
2024,Cigarettes,Geneva,Switzerland,PMI,MARLBORO,125565,2154.400000
2024,Cigarettes,Viracopos,Brazil,PMI,L&M,123640,14.000000
2024,Cigarettes,Sevilla,Spain DP,JTI,CAMEL,85432,200.400000
2024,Cigarettes,Duesseldorf,Germany,IMPERIAL BRANDS,WEST,46023,333.800000
2024,Cigarettes,Taipei - Taoyuan,Taiwan,JTI,CASTER,46135,64281.403000
2024,Cigarettes,Jeddah,Saudi Arabia,BAT,BENSON & HEDGES,42846,829.800000
2024,Cigarettes,Shenyang Taoxian,China,IMPERIAL BRANDS,WEST,46023,15.143000
2024,Cigarettes,Changsha Huanghua,China,JTI,MILD SEVEN,45709,297.670000
2024,Cigarettes,Dubai,United Arab Emirates,KARELIA TOBACCO,OME,57353,110.000000
2024,Cigarettes,Paramaribo,Suriname,PMI,MARLBORO,114396,122.862000
2024,Cigarettes,Lagos,Nigeria,BAT,BENSON & HEDGES,42846,110.800000
2024,Cigarettes,Birmingham,Great Britain,PMI,MARLBORO,122750,447.600000
2024,Cigarettes,Palma De Mallorca,Spain,BAT,LUCKY STRIKE,86131,102.200000
2024,Cigarettes,Florianopolis,Brazil,PMI,PARLIAMENT,125074,3.800000
2024,Cigarettes,Oslo,Norway,BAT,PRINCE,51120,2376.600000
2024,Cigarettes,Manama,Bahrain,IMPERIAL BRANDS,DAVIDOFF,103408,54.200000
2024,Cigarettes,Dubai,United Arab Emirates,PMI,MARLBORO,123040,9052.400000
2024,Cigarettes,Cozumel,Mexico,BAT,VOGUE,51105,8.200000
2024,Cigarettes,Rio de Janeiro,Brazil,PMI,MARLBORO,125087,202.400000
2024,Cigarettes,Chongqing Jiangbei,China,CHINA NATIONAL,ZHONG NAN HAI,56694,90.270000
2024,Cigarettes,Ras El Khaymah,United Arab Emirates,PMI,MARLBORO,123034,3823.200000
2024,Cigarettes,Basel,Switzerland,BAT,PARISIENNE,91236,479.400000
2024,Cigarettes,Aqaba,Jordan,BAT,DUNHILL,70356,5.000000
2024,Cigarettes,Lille,France,PMI,MARLBORO,122776,46.200000
2024,Cigarettes,Kilimanjaro,Tanzania,PMI,MARLBORO,98238,56.400000
2024,Cigarettes,Rio de Janeiro,Brazil,PMI,MARLBORO,125840,1494.600000
2024,Cigarettes,Antalya Airport,Turkey,BAT,VOGUE,51103,1871.600000
2024,Cigarettes,Santo Domingo Las Americas,Dominican Republic,BAT,KENT,106880,21.800000
2024,Cigarettes,Daegu,South Korea,JTI,MEVIUS,89714,77.000000
2024,Cigarettes,Hangzhou Xiaoshan,China,BAT,STATE EXPRESS 555,57655,1026.765000
2024,Cigarettes,Los Cabos,Mexico,JTI,EXPORT A,57321,10.000000
2024,Cigarettes,Monterrey,Mexico,JTI,GLAMOUR,54225,8.000000
2024,Cigarettes,Cayenne,French Guyana,BAT,DUNHILL,47577,27.600000
2024,Cigarettes,Porto Alegre,Brazil,PMI,MARLBORO,139305,5.600000
2024,Cigarettes,Guadalajara,Mexico,IMPERIAL BRANDS,SUPERKINGS,54390,0.400000
2024,Cigarettes,Mazatlan,Mexico,PMI,CHESTERFIELD,124032,0.200000
2024,Cigarettes,Manas,Kyrgyzstan,BAT,DUNHILL,103540,35.600000
2024,Cigarettes,Changsha Huanghua,China,PMI,MARLBORO,109526,55.600000
2024,Cigarettes,Oranjestad,Aruba,IMPERIAL BRANDS,DAVIDOFF,60523,53.000000
2024,Cigarettes,Bodrum Airport,Turkey,KARELIA TOBACCO,KARELIA,54099,237.000000
2024,Cigarettes,Antalya Airport,Turkey,IMPERIAL BRANDS,DAVIDOFF,91997,44.000000
2024,Cigarettes,Hyderabad,India,PMI,MARLBORO,139345,412.583000
2024,Cigarettes,Roland Garros,Reunion,PMI,MARLBORO,122765,4059.200000
2024,Cigarettes,Cardiff,Great Britain,PMI,MARLBORO,122753,27.600000
2024,Cigarettes,Abu Dhabi,United Arab Emirates,BAT,DUNHILL,103540,73.400000
2024,Cigarettes,Madeira,Portugal,PMI,MARLBORO,123076,474.400000
2024,Cigarettes,Verona,Italy,PMI,MARLBORO,125682,141.600000
2024,Cigarettes,Hamburg,Germany,IMPERIAL BRANDS,LAMBERT & BUTLER,43914,418.400000
2024,Cigarettes,Santo Domingo Las Americas,Dominican Republic,PMI,MARLBORO,91644,2.600000
2024,Cigarettes,East Midlands,Great Britain,IMPERIAL BRANDS,LAMBERT & BUTLER,96896,885.200000
2024,Cigarettes,Amman,Jordan,BAT,VOGUE,51105,402.800000
2024,Cigarettes,Manama,Bahrain,PMI,MARLBORO,123518,9853.200000
2024,Cigarettes,Cork,Ireland,JTI,SILK CUT,45375,823.600000
2024,Cigarettes,Riga,Latvia,JTI,WINSTON,56655,222.400000
2024,Cigarettes,Fukuoka,Japan,JTI,SEVEN STARS,94944,3917.600000
2024,Cigarettes,Cheongju,South Korea,JTI,CASTER,46127,34.600000
2024,Cigarettes,Samsun Airport,Turkey,PMI,PARLIAMENT,137662,1.200000
2024,Cigarettes,Sevilla,Spain,JTI,WINSTON,56994,66.200000
2024,Cigarettes,Mahon Airport,Spain DP,IMPERIAL BRANDS,WEST,46755,47.200000
2024,Cigarettes,Ulaanbaatar,Mongolia,R.J. REYNOLDS,NATURAL AMERICAN SPIRIT,51369,6.000000
2024,Cigarettes,Mudanjiang Hailang,China,CHINA NATIONAL,PANDA,51675,2.600000
2024,Cigarettes,Chania,Greece,JTI,SILK CUT,45375,124.200000
2024,Cigarettes,Weihai Dashuibo,China,BAT,KENT,43815,0.141000
2024,Cigarettes,Chania,Greece,BAT,PETER STUYVESANT,50531,6.600000
2024,Cigarettes,Amman,Jordan,PMI,MARLBORO,123438,3539.000000
2024,Cigarettes,Cologne,Germany,PMI,L&M,124242,95.400000
2024,Cigarettes,Durban,South Africa,JTI,CAMEL,88440,10.000000
2024,Cigarettes,Medina,Saudi Arabia,PMI,L&M,123645,223.000000
2024,Cigarettes,Palma De Mallorca,Spain DP,KING'S TOBACCO,THE KING,106308,88.800000
2024,Cigarettes,Marseille,France DP,IMPERIAL BRANDS,SUPERKINGS,70127,2.200000
2024,Cigarettes,Lyon Saint Exupery,France DP,PMI,PHILIP MORRIS,137081,12.000000
2024,Cigarettes,Ohrid,Macedonia,PMI,L&M,139322,48.200000
2024,Cigarettes,Wuhan Tianhe,China,PMI,MARLBORO,105689,68.600000
2024,Cigarettes,Izmir Airport,Turkey,PMI,L&M,122611,744.000000
2024,Cigarettes,Sharjah,United Arab Emirates,POESCHL TABAK,PUEBLO,87679,0.600000
2024,Cigarettes,Busan - Kimhae,South Korea,PMI,VIRGINIA SLIMS,121995,1794.800000
2024,Cigarettes,Valencia,Spain DP,IMPERIAL BRANDS,NOBEL,44321,39.400000
2024,Cigarettes,Krasnoyarsk,Russia,IMPERIAL BRANDS,DAVIDOFF,48007,20.400000
2024,Cigarettes,Nantes,France DP,PMI,PHILIP MORRIS,137081,5.400000
2024,Cigarettes,Izmir Airport,Turkey,PMI,MARLBORO,123072,73.200000
2024,Cigarettes,Macau,Macau,PMI,MARLBORO,95403,559.000000
2024,Cigarettes,Grenoble,France,PMI,PHILIP MORRIS,137081,5.600000
2024,Cigarettes,Wenzhou Longwan,China,JTI,CASTER,46127,24.341000
2024,Cigarettes,Osaka - Kansai,Japan,Undefined,BLACK DEVIL,120120,144.400000
2024,Cigarettes,Santiago De Compostela,Spain DP,BAT,BENSON & HEDGES,42846,61.400000
2024,Cigarettes,Seoul,South Korea,JTI,MEVIUS,89726,223.200000
2024,Cigarettes,Mexico City,Mexico,BAT,KENT,92349,3.200000
2024,Cigarettes,Asyut,Egypt,PMI,MARLBORO,138965,12.200000
2024,Cigarettes,Muan,South Korea,BAT,DUNHILL,97341,6.000000
2024,Cigarettes,Antalya Gazipasa Airport,Turkey,PMI,MARLBORO,125712,24.000000
2024,Cigarettes,Tirana,Albania,IMPERIAL BRANDS,DAVIDOFF,91764,132.000000
2024,Cigarettes,Brasilia,Brazil,PMI,MARLBORO,125841,17.600000
2024,Cigarettes,Bridgetown,Barbados,PMI,MARLBORO,147386,24.720000
2024,Cigarettes,St. Petersburg Pulkovo,Russia,BAT,VOGUE,51105,29.800000
2024,Cigarettes,Manama,Bahrain,BAT,LUCKY STRIKE,51260,10.600000
2024,Cigarettes,Praia,Cape Verde,PMI,MARLBORO,139305,124.600000
2024,Cigarettes,Fuzhou Changle,China,IMPERIAL BRANDS,DAVIDOFF,48009,4.630000
2024,Cigarettes,Brno,Czech Republic,PMI,MARLBORO,122904,410.000000
2024,Cigarettes,Changchun Longjia,China,BAT,LUCKY STRIKE,51260,2.480000
2024,Cigarettes,Salalah,Oman,PMI,MARLBORO,123456,23.400000
2024,Cigarettes,Antalya Gazipasa Airport,Turkey,KARELIA TOBACCO,KARELIA,48115,65.000000
2024,Cigarettes,Wuxi Shuofang,China,JTI,CAMEL,43011,3.599000
2024,Cigarettes,Ibiza,Spain DP,IMPERIAL BRANDS,LAMBERT & BUTLER,45979,2.600000
2024,Cigarettes,Jerez De La Frontera,Spain,JTI,CAMEL,52735,6.800000
2024,Cigarettes,Gabon,Gabon,BAT,LUCKY STRIKE,99175,1.400000
2024,Cigarettes,Dalian Zhoushuizi,China,CHINA NATIONAL,DOUBLE HAPPINESS,52061,60.740000
2024,Cigarettes,Varna,Bulgaria,KING'S TOBACCO,THE KING,92676,20.000000
2024,Cigarettes,Strasbourg,France DP,JTI,WINSTON,70991,0.200000
2024,Cigarettes,Lusaka,Zambia,PMI,MARLBORO,125698,110.000000
2024,Cigarettes,Wuxi Shuofang,China,BAT,DUNHILL,49364,11.249000
2024,Cigarettes,Changchun Longjia,China,JTI,SOBRANIE,44857,1.620000
2024,Cigarettes,Changchun Longjia,China,BAT,DUNHILL,46041,1.720000
2024,Cigarettes,Xuzhou Guanyin,China,PMI,MARLBORO,105625,0.400000
2024,Cigarettes,Sanya Fenghuang,China,CHINA NATIONAL,LIQUN,60578,18.700000
2024,Cigarettes,Sanya Fenghuang,China,BAT,KENT,55423,2.300000
2024,Cigarettes,San Salvador Comalapa,El Salvador,PMI,MARLBORO,147386,25.000000
2024,Cigarettes,Jomo Kenyatta,Kenya,PMI,L&M,157067,9.600000
2024,Cigarettes,Montego Bay,Jamaica,JTI,CAMEL,45351,238.400000
2024,Cigarettes,Osaka - Kansai,Japan,PMI,MARLBORO,95631,882.400000
2024,Cigarettes,Durban,South Africa,JTI,WINSTON,56993,27.800000
2024,Cigarettes,Casablanca,Morocco,PMI,L&M,123639,251.200000
2024,Cigarettes,Warsaw,Poland,PMI,MARLBORO,123056,4751.600000
2024,Cigarettes,Manchester,Great Britain,PMI,MARLBORO,125037,485.600000
2024,Cigarettes,Istanbul Asia Airport,Turkey,IMPERIAL BRANDS,WEST,46023,519.800000
2024,Cigarettes,Duesseldorf,Germany,JTI,SILK CUT,45375,72.000000
2024,Cigarettes,Brussels,Belgium,PMI,MARLBORO,121881,3652.800000
2024,Cigarettes,Rome Fiumicino,Italy,PMI,MARLBORO,125683,1382.000000
2024,Cigarettes,Barcelona,Spain,IMPERIAL BRANDS,LAMBERT & BUTLER,45979,108.000000
2024,Cigarettes,Gran Canaria,Canary Islands,PMI,MARLBORO,124958,10142.400000
2024,Cigarettes,Tokyo - Narita,Japan,PMI,MARLBORO,96046,2973.400000
