EBROMId,TMO,Brand Family,Market,PRODUCT_CATEGORY_NAME
50034339,IMPERIAL BRANDS,BOSS,Taiwan,Cigarettes
60056337,PMI,L&M,UAE,Cigarettes
50022157,UNSPECIFIED TMOs,KARELIA,Belgium,Cigarettes
60240510,IMPERIAL BRANDS,MANCHESTER,Russia,Cigarettes
60123587,IMPERIAL BRANDS,WEST,Slovenia,Cigarettes
60124853,OTHER LOCAL TMO IND.,AWESOME,Hong Kong,Cigarettes
60061323,BAT,LUCKY STRIKE,Peru,Cigarettes
50052982,BALKAN STAR,BS,Russia,Cigarettes
50015897,IMPERIAL BRANDS,BS,Russia,Cigarettes
50031668,BAT,KENT,Hong Kong,Cigarettes
60077072,IMPERIAL BRANDS,DAVIDOFF,Turkey,Cigarettes
50024640,BAT,SOPIANAE,Hungary,Cigarettes
50040212,BAT,VICEROY,Romania,Cigarettes
50054607,BAT,20/40 ROCKETS,Israel,Cigarettes
60071493,PMI,VIRGINIA SLIMS,PMIDF,Cigarettes
60163733,IMPERIAL BRANDS,JADE,Kazakhstan,Cigarettes
60036985,BAT,KENT,Kosovo,Cigarettes
50014206,PMI,MARLBORO,Philippines,Cigarettes
50015603,GALAXY TOBACCO,BUCEGI,Romania,Cigarettes
50077043,PMI,CHESTERFIELD,Italy,Cigarettes
50015002,PMI,LIDER,Ecuador,Cigarettes
60096877,JTI,GLAMOUR,Crimea,Cigarettes
50039533,P.T. DJARUM,DJARUM,Poland,Cigarettes
50001307,BAT,ROTHMANS PALL MALL,Belgium,Cigarettes
50006519,BAT,DANTON,Latvia,Cigarettes
50015165,PMI,LIDER,Mexico,Cigarettes
50042281,BAT,PETER STUYVESANT,Burkina Faso,Cigarettes
50064780,IMPERIAL BRANDS,CAMEL,New Zealand,Cigarettes
50051737,IMPERIAL BRANDS,WEST,Ukraine,Cigarettes
50068748,UNSPECIFIED TMOs,EURO SHOPPER,Mauritania,Cigarettes
50056925,BAT,WALL STREET,Estonia,Cigarettes
60207172,BAT,ROTHMANS,Argentina,Cigarettes
50070130,JTI,VERMONT,Estonia,Cigarettes
50044300,BAT,LUCKY STRIKE,Belarus,Cigarettes
50049193,JTI,LD,Hungary,Cigarettes
50010462,BAT,PERILLY,Malaysia,Cigarettes
60164659,BAT,GOLD FLAKE,Kuwait,Cigarettes
50058787,JTI,WINSTON,Turkey,Cigarettes
60127393,PT ALCOTRAINDO,BLUE RANGE,Thailand,Cigarettes
50072083,BAT,WALTER WOLF,Slovenia,Cigarettes
50061860,PMI,PHILIP MORRIS,Cyprus,Cigarettes
60075479,BAT,KENT,Chile,Cigarettes
60072157,JTI,MACDONALD SPECIAL,Canada,Cigarettes
50022642,TRADE BRANDS,TECHADOR,Netherlands,Cigarettes
50080773,H.VAN LANDEWYCK GMBH,DUCAL,France,Cigarettes
60207995,BAT,SOBAT,Indonesia,Cigarettes
60137579,IMPERIAL BRANDS,JOHN PLAYER SPECIAL,Austria,Cigarettes
50032838,PMI,MARLBORO,United Kingdom,Cigarettes
60046307,BAT,LUCKY STRIKE,France,Cigarettes
50020603,BAT,PALL MALL,Cyprus,Cigarettes
60079611,PMI,MARLBORO,Singapore,Cigarettes
60188804,BAT,LUCKY STRIKE,Reunion,Cigarettes
50052598,IMPERIAL BRANDS,PETER STUYVESANT,New Zealand,Cigarettes
50040235,BAT,BARCLAY,Norway,Cigarettes
50046619,IMPERIAL BRANDS,JOHN PLAYER,Ireland,Cigarettes
50069901,IMPERIAL BRANDS,DAVIDOFF,Hungary,Cigarettes
50003859,TRADE BRANDS,GOLDFIELD,Germany,Cigarettes
60123444,BAT,BENSON & HEDGES,Other South Pacific,Cigarettes
50058129,TUTUN-CTC,DOINA,Moldova,Cigarettes
60073814,BAT,DUNHILL,Caribbean Other,Cigarettes
60169097,BAT,KENT,Iraq,Cigarettes
60135417,PMI,SAMPOERNA U,Indonesia,Cigarettes
60184708,KT & G,ZEST,Mongolia,Cigarettes
60196297,IMPERIAL BRANDS,DAVIDOFF,Russia,Cigarettes
50062497,BAT,LUCKY STRIKE,Montenegro,Cigarettes
50019092,JTI,SOBRANIE,Poland,Cigarettes
60052744,IMPERIAL BRANDS,MARQUISE,Morocco,Cigarettes
50036927,PMI,RED & WHITE,Bosnia & Herz.,Cigarettes
50057964,KARELIA TOBACCO,KARELIA,Armenia,Cigarettes
50072097,JTI,WINSTON,Italy,Cigarettes
60038606,TUTUN-CTC,WONT,Moldova,Cigarettes
60129405,JTI,BENSON & HEDGES,Czech Republic,Cigarettes
60039303,KHAMADEY,KHORTITSYA,Ukraine,Cigarettes
60183461,PMI,CHESTERFIELD,Mexico,Cigarettes
50063878,JTI,WINSTON,Kyrgyzstan,Cigarettes
60054925,BAT,BELMONT,Venezuela,Cigarettes
60162843,BAT,ROTHMANS,Serbia,Cigarettes
60065712,JTI,GLAMOUR,PMIDF,Cigarettes
60061513,PMI,L&M,Germany,Cigarettes
60238306,PMI,L&M,Poland,Cigarettes
50029080,LA SUERTE,FORBES,Philippines,Cigarettes
60065222,WILSON,WILSON,PMIDF,Cigarettes
50000813,BAT,ROTHMANS,Austria,Cigarettes
60072270,PMI,L&M,Israel,Cigarettes
60044032,JTI,GLAMOUR,Kazakhstan,Cigarettes
60165936,VAZIR SULTAN TOBACCO,EDITIONS,India,Cigarettes
60272964,PMI,MARLBORO,Portugal,Cigarettes
60235816,PMI,MARLBORO,Germany,Cigarettes
50004277,BAT,VICEROY,Iceland,Cigarettes
60054513,IMPERIAL BRANDS,REVAL,Germany,Cigarettes
60276845,PMI,MARLBORO,PMIDF,Cigarettes
60065770,P.T. DJARUM,CLAVO,Indonesia,Cigarettes
60211580,IMPERIAL BRANDS,ROYALE,France,Cigarettes
50002314,JTI,SILK CUT,Japan,Cigarettes
50041826,BAT,HOLIDAY,New Zealand,Cigarettes
60233253,PMI,BOND STREET,Ukraine,Cigarettes
50002453,P.T. GUDANG GARAM,GARAM,Japan,Cigarettes
50056676,VON EICKEN GMBH & CO,TRADITION,Austria,Cigarettes
60056908,PMI,MARLBORO,Germany,Cigarettes
50006469,BAT,BALTIJA,Latvia,Cigarettes
60039361,CHINA NATIONAL,ALISHAN,Hong Kong,Cigarettes
50022043,TRADE BRANDS,ENJOY OUR CIGARETTES,Netherlands,Cigarettes
50077659,UNSPECIFIED TMOs,JET,Guinea,Cigarettes
50047073,BAT,LUCKY STRIKE,Germany,Cigarettes
50046523,PMI,NEXT,El Salvador,Cigarettes
50080717,UNSPECIFIED TMOs,21 VEK,Belarus,Cigarettes
50073143,PMI,CHESTERFIELD,Germany,Cigarettes
60062241,PMI,CHESTERFIELD,Germany,Cigarettes
50013712,JTI,CAMEL,Argentina,Cigarettes
50021139,THAILAND TOB. MONOP,KRONG THIP,Thailand,Cigarettes
50008706,BAT,GOLDEN AMERICAN,Spain Mainland,Cigarettes
50017758,UNSPECIFIED TMOs,SPARTAK,Russia,Cigarettes
50068217,JTI,CAMEL,Tunisia,Cigarettes
50048820,BAT,KENT,Honduras,Cigarettes
60098002,PMI,PARLIAMENT,Saudi Arabia,Cigarettes
50037520,CHINA NATIONAL,SEPTWOLVES,PRC,Cigarettes
60124274,BAT,PALL MALL,Poland,Cigarettes
50016898,IMPERIAL BRANDS,HORIZON,Russia,Cigarettes
60063348,PMI,L&M,Switzerland,Cigarettes
50049797,VINATABA,BASTION,Vietnam,Cigarettes
50020229,PMI,ALPINE,New Zealand,Cigarettes
50075220,KOMPAS MTS D.D.,MTS,Slovenia,Cigarettes
60137012,KT & G,BOHEM,PMIDF,Cigarettes
60123249,BAT,PETER STUYVESANT,Greece,Cigarettes
60275795,KT & G,BLACK JACK,Japan,Cigarettes
60056897,PMI,MARLBORO,Germany,Cigarettes
50072114,JTI,GLAMOUR,Ukraine,Cigarettes
50045896,PMI,CHESTERFIELD,Caribbean Other,Cigarettes
60136359,UNSPECIFIED TMOs,MOHAWK,Austria,Cigarettes
50056836,PMI,MARLBORO,Micronesia Outer Is.,Cigarettes
50057560,PMI,MARLBORO,Turkmenistan,Cigarettes
50002656,PMI,MARLBORO,Egypt,Cigarettes
60164481,PMI,MARLBORO,Mexico,Cigarettes
60162026,DANCZEK,BACCO,Czech Republic,Cigarettes
60136505,JTI,LD,Bulgaria,Cigarettes
60048563,KARELIA TOBACCO,SAFY,France,Cigarettes
60095875,PMI,L&M,Slovak Republic,Cigarettes
60048532,PMI,CHESTERFIELD,France,Cigarettes
50027631,BAT,ROTHMANS,United Kingdom,Cigarettes
50006424,PMI,L&M,Latvia,Cigarettes
50007906,BAT,PETER STUYVESANT,Senegal,Cigarettes
50020252,PMI,HELIKON,Hungary,Cigarettes
50065546,IMPERIAL BRANDS,PARAMOUNT,Sweden,Cigarettes
50032587,PMI,SAMPOERNA U,Indonesia,Cigarettes
50055059,SAMPOERNA Tbk.,SAMPOERNA U,Indonesia,Cigarettes
60271631,BAT,PALL MALL,Colombia,Cigarettes
50047133,PMI,ALPINE,Other South Pacific,Cigarettes
50007535,PMI,PROVISORIOS,Portugal,Cigarettes
50006116,BAT,PALL MALL,Netherlands,Cigarettes
50071767,BAT,ROTHMANS,Bahrain,Cigarettes
50009897,JTI,LVIV,Ukraine,Cigarettes
60162674,GULBAHAR TOBACCO,MILANO,Armenia,Cigarettes
50001228,BAT,BELGA,Belgium,Cigarettes
60096615,BAT,DUNHILL,Crimea,Cigarettes
60074686,BAT,DUNHILL,France,Cigarettes
50064391,PMI,MARLBORO,North Macedonia,Cigarettes
50019722,BAT,MS,Italy,Cigarettes
50001422,BAT,DUNHILL,Canary Islands,Cigarettes
60199036,UNSPECIFIED TMOs,THE KING,Corsica,Cigarettes
60100054,BAT,WINFIELD,Australia,Cigarettes
50076204,PMI,MURATTI,Russia,Cigarettes
50054311,PMI,PARLIAMENT,Armenia,Cigarettes
50002514,JTI,TRUSSARDI,Japan,Cigarettes
50022079,UNSPECIFIED TMOs,SEX,Belgium,Cigarettes
50046566,BAT,HOLIDAY,Australia,Cigarettes
50048405,BAT,GD,Bulgaria,Cigarettes
60054337,BAT,LUCKY STRIKE,Germany,Cigarettes
50065110,BAT,MATINEE,Canada,Cigarettes
50059242,KARELIA TOBACCO,KARELIA,UAE,Cigarettes
50073546,JTI,CAMEL,Italy,Cigarettes
50017416,UNSPECIFIED TMOs,RUSSIAN MONARKH,Russia,Cigarettes
50016324,UNSPECIFIED TMOs,RUSSIAN MONARKH,Russia,Cigarettes
50041635,VON EICKEN GMBH & CO,CALUME,Czech Republic,Cigarettes
60074957,JTI,WINSTON,Japan,Cigarettes
60209733,INTL. MASIS TABAK,MODENA,Georgia,Cigarettes
60128616,JTI,AMERICAN SPIRIT,Germany,Cigarettes
60075445,IMPERIAL BRANDS,GAULOISES,Qatar,Cigarettes
50028018,PMI,MARLBORO,Slovak Republic,Cigarettes
60051395,IMPERIAL BRANDS,GITANES,Jordan,Cigarettes
50051821,JTI,LD,Bulgaria,Cigarettes
60072344,PMI,NEXT,Argentina,Cigarettes
60050147,BAT,TIVOLI,Netherlands,Cigarettes
60194516,PMI,L&M,Serbia,Cigarettes
50010470,JTI,SALEM,Malaysia,Cigarettes
60123820,PMI,LONGBEACH,Other South Pacific,Cigarettes
50019654,JTI,AMADIS,Italy,Cigarettes
50034745,BAT,BENSON & HEDGES,Australia,Cigarettes
50064180,CHISINAU,COURSE,Moldova,Cigarettes
60048164,IMPERIAL BRANDS,MAXIM,Albania,Cigarettes
50074202,CONTINENTAL TOBACCO,SILVERADO,Hungary,Cigarettes
50033285,CONTINENTAL TOBACCO,HUNGARIA,Hungary,Cigarettes
50009483,IMPERIAL BRANDS,SUPERKINGS,United Kingdom,Cigarettes
50003108,BAT,HB,Greece,Cigarettes
60055239,PMI,BOND STREET,Kazakhstan,Cigarettes
60163700,PMI,CHESTERFIELD,Poland,Cigarettes
60124329,IMPERIAL BRANDS,R1,Slovak Republic,Cigarettes
50046418,JTI,IBIZA,Russia,Cigarettes
60119599,PMI,MARLBORO,PMIDF,Cigarettes
50062307,PMI,MARLBORO,Slovak Republic,Cigarettes
50063286,BAT,PALL MALL,Russia,Cigarettes
50075728,JTI,LD,Serbia,Cigarettes
