Year,EBROMId,Market,EBROM,Volume
2024,60213619,Russia,MERCI SCARLET 100 BOX 20 SSL (-),4819
2024,60272652,Russia,MR. RUSSO POWER KS DSP 20 SSL (-),306
2024,60205465,Caribbean Other,TABACA MENTHOL MNT KS BOX 20 (-),10598
2024,60205381,Poland,DAVIDOFF EVOLVED AIR MIST 100 BOX 20 SSL (-),181595
2024,50000732,Austria,DAVIDOFF CLASSIC LTK OCT 20 (-),53338
2024,60275200,Ukraine,WEST CORAL MIX KS RCB 20 SLI (-),21532
2024,60198939,Luxembourg,MARLBORO GOLD (3.5) KS BOB 25 (-),52519
2024,60118640,Lebanon,CEDARS SILVER KS RCB 20 (-),4274094
2024,60208702,Kazakhstan,KENT CRYSTAL SPARK 100 BOX 20 SSL (-),60
2024,60047141,Caribbean Other,COMME IL FAUT MENTHOL MNT KS SOF 10 (-),125856
2024,50058239,Bangladesh,STAR KS BOX 20 (-),5275388
2024,60125272,Moldova,RITM SILVER KS BOX 20 (-),12499
2024,60237030,Russia,WINSTON XS KISS JOLLY 100 BOX 20 SSL (-),170595
2024,60040686,Italy,MS BIONDE KS SOF 20 (-),995364
2024,60120755,South Africa,KENT MENTHOL MNT KS RCB 20 (-),11795
2024,60074406,Oman,MARLBORO TOUCH (4MG 2.0) KS RCS 20 SLI (-),3508
2024,50015363,Portugal,LAMBERT & BUTLER GOLD KS BOX 20 (-),6425
2024,60206952,Malaysia,BOND STREET BLUE KS BOS 20 (-),1477
2024,50002553,Denmark,CAMEL KS BOX 20 (-),18367
2024,50000201,France,NEWS KS BOX 20 (-),476432
2024,50073685,Other South Pacific,ROYALE MNT LS BOX 20 (-),363
2024,60232258,Iraq,ESSE CHDOAPMA 100 BOX 20 SSL (-),6081
2024,60259136,Indonesia,SAMPOERNA HIJAU LEGIT SADA NF LS BOX 12 (-),69348
2024,60126763,Singapore,WINSTON BLUE 100 BOX 20 (-),8749
2024,50041704,Cyprus,SUPERKINGS BLUE 100 BOX 20 (-),802
2024,50079343,Australia,CLASSIC BLUE KS BOX 20 (-),6745
2024,60208165,Bulgaria,ROTHMANS CLASSIC BLUE 100 BOX 20 (-),105654
2024,60168914,Hong Kong,CAVALLO BLACK VELVET KS BOX 20 (-),137
2024,60130863,Niger,ORIS DOUBLE APPLE 100 BOX 20 SLI (-),236233
2024,60256570,Mongolia,MEVIUS COMPACT CASTER+ KS DSP 20 SLI (-),34862
2024,50073854,Other South Pacific,GITANES INTERNATIONALES KS S&S 20 (-),143
2024,60098973,Gambia,MARLBORO (RED FWD) KS BOX 20 (-),6820
2024,60127360,PRC,MARLBORO ICE BLAST (2.0) MNT KS BOX 20 (-),853397
2024,60274599,Canada,NUMBER 7 ORIGINAL BY NEXT KS S&S 25 (-),8047
2024,60077491,Kuwait,WILLS NAVY CUT (GOLD) KS BOX 10 (-),95446
2024,60135582,Palestine Auth. Area,CORSET PINK 100 LSB 20 SSL (-),1677
2024,60213622,Russia,WINSTON CLUB PLATINUM KS DSP 20 SSL (-),82490
2024,60126935,Chile,PALL MALL CLICK ON (BLUE) KS BOX 10 (-),56297
2024,50008722,Spain Mainland,PETER STUYVESANT (BLUE) KS BOX 20 (-),8755
2024,60130448,Uruguay,PACIFICO FRESH LS BOX 10 (-),806
2024,60185844,Qatar,WEST WHITE ONE KS RCS 20 (-),12620
2024,50071917,India,TIPPER PREMIUM RS BOX 10 (-),12975
2024,50005996,Morocco,CASA SPORTS NF RS SOF 20 (-),92273
2024,60240120,Australia,ROTHMANS SIGNATURE GOLD KS BOX 25 (-),2772
2024,60062363,Colombia,FORTUNA BLUE LABEL LS BOX 20 (-),58
2024,60119353,Germany,MARLBORO MIX KS BOE 21 (-),39592
2024,50064831,Egypt,KARELIA SLIMS (BLUE) 100 BOX 20 XSL (-),9792
2024,60246742,Uzbekistan,MARLBORO RED 3.5 KS RCB 20 (-),12571
2024,60239145,Armenia,MASTER BLUEBERRY 100 RCB 20 SSL (-),1674
2024,50055917,Switzerland,ELIXYR FINE TASTE KS BOX 20 (-),8787
2024,60137621,Belgium,KENT SURROUND (RED) 100 BOX 20 (-),22652
2024,60241404,Armenia,MULTI CLASS TOURMALINE KS RCB 20 SLI (-),30
2024,50068756,Albania,KARELIA BLUE 100 RCB 20 (-),39291
2024,60275246,Spain Mainland,THE KING GOLD KS BOX 20 (-),383
2024,60212668,Canada,ROTHMANS STANDARD ORIGINAL KS S&S 20 (-),829
2024,60210030,Bulgaria,MORE RUBY 100 BOX 20 XSL (-),1
2024,60072092,Nicaragua,PALL MALL CLICK ON (SILVER) KS BOX 10 (-),32259
2024,60238873,Kazakhstan,MARLBORO GOLD (3.5) KS RCB 20 (-),29604
2024,50060565,Singapore,BREAK KS BOX 20 (-),1007
2024,60037418,Romania,WINSTON CLASSIC 100 RCB 20 (-),152532
2024,60256594,Armenia,BENTLEY CLASSIC KS RCB 20 (-),124
2024,50056938,New Zealand,JOHN PLAYER SPECIAL BLUE KS BOX 20 (-),16871
2024,60131177,New Zealand,WEST RICH BLUE KS BOX 25 (-),168
2024,50042349,Cameroon,LAMBERT & BUTLER KS BOX 20 (-),51691
2024,50070547,UAE,ESSE BLACK KS DSP 20 SSL (-),4280
2024,50080578,Turkey,HD RED 100 RCB 20 (-),5245
2024,60073519,Turkey,PRESIDENT (KATKISIZ HARMAN) KS RCB 20 (-),84
2024,60163019,Kuwait,PALL MALL (RED) KS RCB 20 (-),9738
2024,60077362,New Zealand,CLUB MENTHOL GREEN MNT KS BOX 20 (-),1845
2024,60209340,Indonesia,SAMPOERNA A SPLASHTR MNT LTK BOX 16 SLI (-),232910
2024,60271657,Ukraine,KENT FEEL PURPLE KS DSP 20 SSL (-),168846
2024,60235688,Poland,KENT SILVER KS BOX 20 (-),93381
2024,50058789,Turkey,ESSE BLUE 100 BOX 20 SSL (-),13882
2024,60236265,Russia,ESSE JEC 100 BOX 20 SSL (-),7104
2024,60247141,Bolivia,DERBY CLASIC CON CAPSULA MNT KS SOF 20 (-),909
2024,60232837,Mexico,MONTANA SHOTS CLASSICS KS BOX 14 (-),240875
2024,60037967,Kazakhstan,ESSE SILVER KS DSP 20 SSL (-),58
2024,60123420,Angola,DUNHILL (BLUE) KS OCT 20 (-),266937
2024,60242453,Romania,DAVIDOFF TEAL KS OCT 20 SLI (-),6249
2024,60238963,Colombia,L&M RED EVO KS BOX 20 (-),41169
2024,50042367,Cameroon,BUSINESS CLUB KS BOX 20 (-),7013
2024,60238774,El Salvador,MARLBORO CRAFTED(RED) 100 BOX 10 (-),10772
2024,60049116,Kazakhstan,LD CLUB PLATINUM KS DSP 20 SSL (-),3690
2024,50073592,Croatia,WINSTON CLASSIC KS RCB 20 (-),64239
2024,50046392,Romania,WINSTON BLUE KS RCB 20 (-),204835
2024,60241304,Armenia,KARS DREAM VALLEY KS RCB 20 (-),88
2024,60081843,North Macedonia,LD PINK 100 DSP 20 SSL (-),42629
2024,50044008,Venezuela,PALL MALL (BLUE) RS SOF 20 (-),814426
2024,60122734,Poland,LUCKY STRIKE BLUE KS BOX 22 (-),285353
2024,60195518,Switzerland,PARISIENNE BLONDE KS RCB 20 (-),153218
2024,60239607,Switzerland,L&M BLUE LABEL (5.0 CWB) KS BOX 25 (-),21281
2024,60120976,South Africa,PALL MALL RED KS BOX 10 (-),103216
2024,60231973,Hong Kong,MARLBORO BLOSSOM MIST 5 MNT KS BOS 20 (-),841
2024,60235416,Austria,MARLBORO RED 3.5 KS BOB 24 (-),279184
2024,60240034,Greece,L&M RED LABEL (5.0 CWB) KS BOB 23 (-),78505
2024,60276048,Cambodia,MARLBORO GOLD ADVANCE KS RCB 20 (-),1647
2024,60213805,Romania,WINSTON SELECTION ORANGE LTK BOX 20 XSL (-),2434
2024,60207280,Qatar,MARLBORO WHITE (3.5) KS RCS 20 (-),7472
2024,60124040,Bosnia & Herz.,LUCKY STRIKE DOUBLE CLICK WILD KS BOX 20 (-),11815
2024,60077937,Kuwait,DUNHILL SIGNATURE BLEND KS OCT 20 (-),3645
2024,60130898,Sweden,BLEND GUL SL BOX 20 (-),17839
2024,60166309,Brazil,ROTHMANS RED KS SOF 20 (-),2014729
2024,60246779,Switzerland,MARLBORO RED 3.5 KS BOX 25 (-),199260
2024,50010988,Thailand,MARLBORO KS BOX 20 (-),82128
2024,60232222,Russia,CHAPMAN VIOLET KS RCB 20 SLI (-),59
2024,60072130,Luxembourg,PUEBLO BLUE KS BOX 20 (-),936
2024,60209993,Germany,LUCKY STRIKE AMBER KS BOX 23 (-),29
2024,50057785,Armenia,VOGUE LILAS 100 BOX 20 SSL (-),3451
2024,60136161,Germany,WINSTON BLUE KS BOX 21 (-),7013
2024,60166844,Germany,JOHN PLAYER SPECIAL RED KS BOX 32 (-),10
2024,60197562,Australia,LONGBEACH MENGFBUR MIX KS BOX 20 (-),37
2024,60212507,Japan,PHILIP MORRIS 6 100 DSP 20 SSL (-),11
2024,60185384,Canada,EXPORT A ACTIVATE KS OCT 25 (-),6
2024,60193486,Angola,CHESTERFIELD REMSIRTF MNT KS BOX 20 (-),2069
2024,60236193,Japan,PEACE JAZZ SESSION 100 OCT 20 (-),1
2024,50073724,Other South Pacific,KOOL MNT 100 SOF 20 (-),21080
2024,60136113,Caribbean Other,LUCKY STRIKE BLASERDO MNT KS BOX 20 (-),15436
2024,60232472,Spain Mainland,JOHN PLAYER SPECIAL FRESH KS BOX 20 (-),14112
2024,50067583,Albania,OME (PINK) 100 LSB 20 SSL (-),26911
2024,60081645,Ireland,SILK CUT PURPLE KS BOX 24 (-),3723
2024,60237815,Netherlands,MARLBORO CRAFTED(RED) KS BOX 20 (-),19142
2024,50064375,Russia,VIP BLUE 100 OCT 20 SSL (IMT/ARMENIA),18117
2024,60206281,Romania,DUNHILL EVOQUE SIGNATURE 100 RCB 20 SLI (-),58966
2024,60118833,Vietnam,555 GOLD KS RCB 20 (-),2352713
2024,60231049,Greece,CAMEL BLUE KS BOX 25 (-),68646
2024,60136695,Hungary,WINSTON BLUE KS RCB 20 (-),235948
2024,60168666,Czech Republic,JOHN PLAYER SPECIAL RED KS BOX 22 (-),21539
2024,60214044,Israel,MARLBORO SUMMER SPLASH MNT KS RCB 20 (-),30807
2024,60230150,Germany,CAMEL ESSENTIAL ORANGE KS BOX 20 (-),2475
2024,50001394,Canary Islands,CAMEL KS SOF 20 (-),15200
2024,60213322,Kazakhstan,ROTHMANS DEMI MIX KS RCB 20 SLI (-),300
2024,60211396,Indonesia,RIDER NF KS BOX 12 (-),109783
2024,50072365,Azerbaijan,MAXIM LIGHTS KS BOX 20 (-),11389
2024,60080689,Czech Republic,WINSTON SILVER KS RCB 20 (-),43833
2024,60184831,Bosnia & Herz.,LUCKY STRIKE FLOW FILTER AQUA KS RCB 20 (-),11488
2024,60272124,Norway,PARAMOUNT GOLD KS BOX 40 (-),9783
2024,50054200,Israel,VOGUE BLEUE 100 BOX 20 SSL (-),7
2024,60214161,Slovak Republic,L&M FORWARD KS RCB 20 (-),18252
2024,60205277,Germany,ELIXYR PLUS KS BOX 23 (-),304431
2024,60082405,Oman,WINSTON (BLUE) KS RCB 20 (-),7580
2024,60044204,South Africa,DUNHILL SWITCH (BLACK) KS OCS 20 (-),3965
2024,60196484,Canada,PLAYER'S SMOOTH KS BOX 25 (-),29010
2024,50039177,Italy,ELIXYR 100 BOX 20 (-),6296
2024,50057793,Cyprus,DUNHILL FINE CUT (LIGHT BLUE) LTK BOX 20 (-),3854
2024,60233863,Portugal,MARLBORO RED 3.5 KS BOX 20 (-),308216
2024,60056030,Denmark,VIKING BLUE 100 BOX 20 (-),58867
2024,60163826,France,JOHN PLAYER SPECIAL FIRFINOI 100 BOX 20 (-),173188
2024,60125631,Czech Republic,L&M RED LABEL (BONGO) KS BOX 20 (-),5401
2024,50072639,North Korea,PAEKHO KS BOX 20 (-),4127520
2024,60121117,Australia,PETER JACKSON RICH GOLD FRM KS BOX 30 (-),47831
2024,60235367,Czech Republic,MARLBORO RED 3.5 KS BOX 20 (-),177562
2024,50070428,Canary Islands,RICHMOND SUPERKINGS MNT 100 BOX 20 (-),5799
2024,60237683,Switzerland,WINSTON REFRESH MIX MNT KS RCB 20 (-),14807
2024,60235683,Poland,MARLBORO RED 3.5 KS SOF 20 (-),93464
2024,60078732,Australia,BOND STREET GOLD KS BOX 40 (-),5817
2024,60214348,Germany,L&M RED LABEL (5.0 CFB) KS 6XL 46 (-),19
2024,60230231,Mongolia,BOHEM PIPE SCOTTIE KS OCT 20 (-),587
2024,60195562,New Zealand,ROTHMANS ROYALS GREENMEN MNT KS BOX 20 (-),16507
2024,60214600,Canary Islands,CORONAS DE LA TIERRA KS BOX 20 (-),51617
2024,60126911,Ukraine,COMPLIMENT DEMI WHITE LTK BOX 20 SLI (-),35210
2024,50050224,Iraq,ASPEN EXPORT KS BOX 20 (-),85638
2024,50028225,Honduras,BELMONT KS SOF 20 (-),548
2024,60163828,France,JOHN PLAYER SPECIAL STREABLE KS BOX 20 (-),33950
2024,50076729,Kyrgyzstan,PARLIAMENT SILVER BLUE KS RCB 20 (-),47012
2024,60050351,Austria,OME (PINK) 100 LSB 20 SSL (-),7180
2024,60073527,Russia,KENT HD SILVER KS RCB 20 (-),686038
2024,60072260,Germany,MARLBORO (RED FWD) KS BOM 27 (-),4
2024,60212455,Kazakhstan,LD COMPACT SILVER KS DSP 20 SLI (-),413309
2024,60211541,Spain Mainland,WINSTON RED KS BOX 35 (-),118945
2024,60165105,Taiwan,KENT S-SERIES 1 100 BOX 20 SSL (-),61518
2024,60256388,UAE,ESSE CHDOAPOR 100 BOX 20 SSL (-),452
2024,60230629,New Zealand,CHESTERFIELD MENTHOL (2.0) MNT KS BOX 20 (-),15802
2024,60257021,Chile,LUCKY STRIKE XTENDCH MNT LTK BOX 20 (-),47
2024,60199276,Latvia,CHESTERFIELD ORANGE (4.0) KS RCB 20 (-),5029
2024,60214052,Spain Mainland,MADDOX2 RED KS BOX 20 (-),21186
2024,50069859,Russia,WINSTON XS BLUE KS DSP 20 SSL (-),1923007
2024,60163847,Caribbean Other,CRAVEN A WILD RUSH KS BOX 20 (-),8371
2024,60207764,Malaysia,LD RED FLOW MNT KS RCS 20 (-),20578
2024,50001925,Czech Republic,ERNTE 23 KS BOX 20 (-),2177
2024,50008337,Spain Mainland,DUNHILL INTERNATIONAL LTK PRI 20 (-),20024
2024,60095283,Slovenia,PALL MALL BLUE KS OCT 20 (-),3087
2024,60238613,Iraq,KENT NANOCLICK BLUE KS DSP 20 SSL (-),9970
2024,60208310,Indonesia,WIN MILD MINTI CETA MNT LTK BOX 16 (-),28480
2024,60196260,Kuwait,PALL MALL EXTFIN(B LTK OCS 20 SLI (-),18879
2024,60233267,Ukraine,PHILIP MORRIS DUBLISS BLUE25ED KS BOX 25 (-),41656
2024,50079219,Romania,SOBRANIE GOLD KS OCT 20 (-),373
2024,60199077,Slovak Republic,LUCKY STRIKE SUN GOLD KS BOX 20 (-),9654
2024,60276094,Germany,L&M RED LABEL (5.0 CFB) KS 5XL 41 (-),71840
2024,60050714,Germany,BURTON ORIGINAL KS BOX 25 (-),24087
2024,50071411,Kenya,SUPERMATCH KS BOX 20 (-),842033
2024,60193944,Bangladesh,ROYALS NEXT KS BOX 20 (-),2319171
2024,50054891,Serbia,WINSTON WHITE KS RCB 20 (-),17204
2024,60197612,Estonia,CHESTERFIELD ORANGE (4.0) 100 RCB 20 (-),29183
2024,50009749,United Kingdom,BENSON & HEDGES GOLD KS BOX 20 (-),213896
2024,60078907,South Africa,PETER STUYVESANT BLUE KS BOX 10 (-),37183
2024,60211538,Armenia,SOBRANIE LONDON WHITES KS DSP 20 SLI (-),733
2024,60130925,Brazil,CHANCELLER FINISSIMOS 100 BOX 20 XSL (-),6
2024,60168388,Russia,BOGATYRI (YELLOW) NF 120 OPK 17 (-),6262
2024,50020802,Czech Republic,CABINET RED KS BOX 20 (-),10118
2024,60238401,Italy,CHE BLAST PLUS KS BOX 20 (-),29
2024,60168931,United Kingdom,SOVEREIGN BLACK KS BOX 20 (-),736
2024,60214234,Kyrgyzstan,MARLBORO TOUCH 3.5 KS DSP 20 SLI (-),17375
2024,60050853,Romania,PALL MALL EXTRA CUT LTK RCB 20 SLI (-),2087831
2024,60170004,Eswatini,DUNHILL INFINITE KS BOX 20 (-),75
2024,60243124,Georgia,MARLBORO C2C1 KS DSP 20 SLI (-),42127
2024,50015272,Romania,CAMEL KS BOX 20 (-),94619
