DF_Market,Location,TMO,Brand Family,CR_BrandId,SKU,Item per Bundle,Green,Red,Check,Status
Germany,Nuernberg,PMI,MARLBORO,125532,MARLBORO - RED 3.5 KS BOX - ENGLISH GHW TPD2 DF - IDM GERMANY,200,0,1,OK,Red
China,Shanghai Pudong,PMI,PARLIAMENT,122805,PARLIAMENT - NIGHT BLUE KS RCB 200 JUMBO RC WHITE - CHINA DF - IDM CN05 SUNRISE DF (RS),200,0,1,OK,Red
Saudi Arabia,Medina,PMI,MARLBORO,125068,MARLBORO - (RED FWD) KS BOS - GENERIC DF-ENG TXT - SAUDI ARABIA,200,0,1,OK,Red
France,Lyon Saint Exupery,PMI,MARLBORO,122766,MARLBORO - GOLD (2.0 ORIGINAL) KS BOX - FRANCE DF GHW-FR05 - IDM FRANCE,200,0,1,OK,Red
Turkey,Antalya Airport,PMI,MARLBORO,137512,MARLBORO - WHITE (3.5) KS RCS WHITE - TURKEY DF,200,0,1,OK,Red
Turkey,Konya Airport,PMI,MARLBORO,113638,MARLBORO - (GOLD 3.0) KS RCB 400 - TURKEY DF,400,0,1,OK,Red
Netherlands,Eindhoven,PMI,L&M,123702,L&M - RED LABEL (5.0 CWB) KS BOX - NETHERLANDS DF - IDM NETHERLANDS,200,0,1,OK,Red
South Korea,Jeju,PMI,VIRGINIA SLIMS,121994,VIRGINIA SLIMS - 1MG 100's RCB SLIMS PRL - KOREA DF - IDM KOREA,200,0,1,OK,Red
Turkey,Kayseri Airport,PMI,L&M,57069,L&M - RED LABEL 100's SOFT 600 - TURKEY DF,600,0,1,OK,Red
Germany,Hannover,PMI,L&M,124242,L&M - BLUE LABEL (5.0 CWB) KS BOX - ENGLISH GHW TPD2 DF - IDM GERMANY,200,0,1,OK,Red
United Arab Emirates,Dubai,PMI,MARLBORO,120013,MARLBORO - FLAVOR MIX (FWD) KS RCS - UAE DF,200,0,1,OK,Red
Japan,Fukuoka,PMI,LARK,40827,LARK - KS BOX - JAPAN DF,200,0,1,OK,Red
Turkey,Gaziantep Airport,PMI,MARLBORO,141734,MARLBORO - SOL SHUFFLE MENTHOL KS RCB (PROMO) C MUL WHITE - TURKEY DF,200,0,1,OK,Red
Georgia,Tbilisi,PMI,MARLBORO,121429,MARLBORO - GOLD EDGE KS BOX SUPERSLIMS DCV WHITE - GEORGIA DF,200,0,1,OK,Red
Morocco,Essaouira,PMI,MARLBORO,142484,MARLBORO - SOL SHUFFLE MENTHOL KS RCS (PROMO) C MUL JUMBO RC WHITE - GENERIC DF-ENG TXT,200,0,1,OK,Red
Poland,Poznan-Lawica,PMI,MARLBORO,123059,MARLBORO - GOLD (3.5) KS RCB 400 TRANSPARENT BUNDLE - ENGLISH GHW TPD2 DF - IDM POLAND,400,0,1,OK,Red
United Arab Emirates,Dubai,PMI,PARLIAMENT,120066,PARLIAMENT - PLATINUM BLUE KS RCS 400 WHITE - UAE DF,400,0,1,OK,Red
Turkey,Adana Airport,PMI,L&M,42447,L&M - RED LABEL KS RCB - TURKEY DF,200,0,1,OK,Red
Chile,Santiago Arturo Merino Benitez,PMI,MARLBORO,125084,MARLBORO - DOUBLE FUSION MENTHOL KS BOX C TRU WHITE - GENERIC DF-ENG TXT,200,0,1,OK,Red
Spain,Sevilla,PMI,L&M,123307,L&M - BLUE LABEL (5.0 CWB) KS RCB - SPAIN DF - IDM SPAIN,200,0,1,OK,Red
Germany,Munich,PMI,L&M,124242,L&M - BLUE LABEL (5.0 CWB) KS BOX - ENGLISH GHW TPD2 DF - IDM GERMANY,200,0,1,OK,Red
China,Zhengzhou Xinzheng,PMI,MARLBORO,122863,MARLBORO - GOLD (3.5) KS RCB WHITE - CHINA DF - CNSC(ZF),200,0,1,OK,Red
Canary Islands,Lanzarote,PMI,CHESTERFIELD,124960,CHESTERFIELD - BLUE (4.0) KS BOX - CANARY ISLANDS DF - IDM SPAIN,200,0,1,OK,Red
Brazil,Viracopos,PMI,L&M,123649,L&M - BLUE LABEL (5.0 CWB) KS RCB 400 TRANSPARENT BUNDLE - GENERIC DF-ENG TXT,400,0,1,OK,Red
Bahrain,Manama,PMI,MARLBORO,141730,MARLBORO - SOL SHUFFLE MENTHOL KS RCS (PROMO) C MUL JUMBO RC WHITE - UAE DF,200,0,1,OK,Red
Italy,Bergamo,PMI,CHESTERFIELD,123372,CHESTERFIELD - ORIGINAL (4.0) KS BOX - ITALY DF - IDM ITALY,200,0,1,OK,Red
Turkey,Ankara Airport,PMI,L&M,122595,L&M - RED LABEL (5.0 CWB) KS RCB 400 - TURKEY DF,400,0,1,OK,Red
