DF_Market,Location,Brand Family,BF_Volume,BF_MC,Margin_Volume,Brand Family Margin
Poland,Wroclaw,MARLBORO,7382600,561005.3,6493961.2130728,0.8796306468
Egypt,Luxor,MERIT,61791,3914.52,53002.59342316,0.857772061
Great Britain,Aberdeen,MARLBORO,462600,29634.22,397526.916486374,0.8593318558
Turkey,Trabzon Airport,MURATTI,14000,474.18,10839.243541724,0.7742316816
Macedonia,Skopje,PARLIAMENT,346600,20232.89,291859.361631851,0.8420639401
Greece,Aktio,MARLBORO,414800,20429.05,342751.894048633,0.8263063984
Kenya,Nairobi,L&M,20000,653.3,15780.193236715,0.7890096618
China,Yancheng Nanyang,MARLBORO,400,10.48,286.730506156,0.7168262654
Morocco,Rabat,CHESTERFIELD,167800,5825,127340.516279966,0.7588826954
Tunisia,Enfidha,CHESTERFIELD,73200,1486.23,47437.907430342,0.6480588447
Egypt,Hurgada,MARLBORO,19277672,1066420.4,16228322.2943315,0.8418196084
Spain,Malaga,MARLBORO,9947800,661450.54,8608812.51119089,0.865398632
Italy,Verona,CHESTERFIELD,128400,3845.92,93808.738719875,0.7305976536
Tanzania,Dar Es Salaam,MARLBORO,997400,45618.15,811645.848081703,0.8137616283
South Korea,Muan,PARLIAMENT,19000,760.6,14919.273288605,0.7852249099
Spain,Malaga,CHESTERFIELD,259800,13571.02,214521.372181926,0.8257173679
Canary Islands,Fuerteventura,PHILIP MORRIS,366200,20263.61,314626.180696062,0.8591648845
France,Montpellier,PHILIP MORRIS,389000,32064.18,350293.589321544,0.9004976589
Iraq,Suleymania Airport,PARLIAMENT,650000,38566.65,548741.498534475,0.8442176901
Niger,Niamey,L&M,1800,47.55,1352.773826458,0.7515410147
South Korea,Incheon,PARLIAMENT,29135600,1180615.09,22937827.2592396,0.7872783557
Morocco,Casablanca,MARLBORO,44356400,2053246.85,36240808.5949863,0.8170367432
Caribbean Other,Basseterre (Saint Kitts),MARLBORO,103800,4683.36,84182.195193996,0.8110038073
Dominican Republic,Santo Domingo Las Americas,MARLBORO,7430400,308456.36,5931520.15787709,0.7982773684
Canary Islands,La Palma,MARLBORO,682400,44109.81,588081.574743806,0.8617842537
Japan,Chubu,PARLIAMENT,693000,44195.2,591456.145959083,0.8534720721
Mauritania,Nouakchott,MARLBORO,739200,32985.09,599039.620276959,0.8103890967
Japan,Naha,LARK,20000,1167.78,17389.143594959,0.8694571797
Mexico,Los Cabos,CHESTERFIELD,8800,402.37,7090.362241935,0.805722982
Mexico,Monterrey,L&M,18200,476.14,13617.931195939,0.7482379778
Italy,Milan - Malpensa,CHESTERFIELD,998200,29953.52,729722.819402174,0.731038689
Egypt,Hurgada,PARLIAMENT,1680000,107617.46,1434768.09220784,0.8540286263
Japan,Fukuoka,PARLIAMENT,1042200,73502.18,902144.354246453,0.865615385
Spain,Ibiza,CHESTERFIELD,31400,1676.3,26024.998640303,0.8288216127
China,Taiyuan Wusu,MARLBORO,247800,5344.57,166796.966068825,0.6731112432
China,Hebei,PARLIAMENT,27600,580.81,18154.41674237,0.6577687225
France,Toulouse,L&M,18000,1417.38,16202.640653876,0.900146703
China,Jinan Xiaoqiang,PARLIAMENT,10000,209.81,6570.936423426,0.6570936423
Russia,Samara,L&M,6600,109.78,4326.827928862,0.6555799892
Mexico,Mexico City,PARLIAMENT,143200,5886.94,113082.820196384,0.7896844986
Poland,Lodz,L&M,1814820,91129.84,1545849.49681927,0.851792187
Morocco,Ouarzazate,PHILIP MORRIS,97400,5370.17,83640.017333905,0.8587270774
South Korea,Seoul,PARLIAMENT,1071000,50000.93,867524.194968086,0.8100132539
Tunisia,Enfidha,L&M,1081200,16391.38,676944.700128495,0.6261049761
Morocco,Ouarzazate,MARLBORO,660000,33972.91,549469.887147363,0.832530132
France,Nantes,CHESTERFIELD,98200,9166.07,87825.960579462,0.8943580507
Tunisia,Monastir,CHESTERFIELD,126800,2549.64,81894.361679033,0.6458545874
Russia,Min Vody,PARLIAMENT,3600,169.42,2918.576060304,0.8107155723
India,Chattrapati Shivaji,PARLIAMENT,179958,12732.84,155842.234177913,0.8659922547
Brazil,Florianopolis,PARLIAMENT,3800,124.07,2845.642201835,0.748853211
Mexico,Cozumel,CHESTERFIELD,600,26.97,481.893984515,0.8031566409
Angola,Luanda,MARLBORO,1539600,68466.36,1248104.0403635,0.8106677321
Japan,Takamatsu,PARLIAMENT,14600,957.42,12511.110783374,0.8569253961
New Zealand,Christchurch,MARLBORO,212000,35221,199583.873784737,0.9414333669
Canary Islands,La Palma,CHESTERFIELD,234400,10682.75,188739.926896695,0.8052044663
Spain,A Coruna,L&M,15600,956.22,13654.135862748,0.8752651194
Kyrgyzstan,Manas,MARLBORO,641000,35904.98,541150.972356641,0.844229286
Spain,Valencia,L&M,271800,9753.98,218594.173364898,0.8042464068
Greece,Karpathos,MARLBORO,17800,846.84,14612.605440329,0.8209328899
China,Weihai Dashuibo,MARLBORO,241600,8880.11,187774.473190965,0.7772122235
Aruba,Oranjestad,NEXT,2000,118.8,2000,1
Japan,Hiroshima,MARLBORO,225800,15037.84,195459.261972308,0.8656300353
Sierra Leone,Sierra Leone,MARLBORO,7004000,299600.03,5635811.86396097,0.804656177
Spain,Ibiza,MARLBORO,3120200,210086.1,2704688.71627359,0.8668318429
Italy,Treviso,CHESTERFIELD,9800,516.93,8104.886976422,0.8270292833
China,Hebei,MARLBORO,343700,9684.68,247187.980889064,0.7191969185
Russia,Sochi,MARLBORO,245200,9525.21,193476.237162323,0.7890548008
Saint Marteen (NL),St. Maarten Princess Juliana,L&M,109440,2651.54,69092.744078259,0.6313298984
Oman,Muscat,PHILIP MORRIS,584600,50623.93,529171.545438957,0.9051856747
Macedonia,Skopje,L&M,1013400,20575.38,708563.877641793,0.6991946691
Spain,Santiago De Compostela,L&M,145600,8930.81,127450.444996218,0.8753464629
Great Britain,Guernsey,MARLBORO,421000,30799.53,368764.032497842,0.8759240677
Egypt,Alexandria,MARLBORO,2327125,126461.94,1953299.34928277,0.8393615939
Georgia,Batumi,MARLBORO,2316000,118692.78,1927003.7482462,0.832039615
China,Hangzhou Xiaoshan,PARLIAMENT,360800,7570.04,237082.244202608,0.6571015638
Spain,Palma De Mallorca,L&M,2082200,75972.52,1680013.43611452,0.8068453732
Botswana,Gaborone,MARLBORO,10000,529.15,8366.007905138,0.8366007905
Vietnam,Cam Ranh,MARLBORO,3192200,170448,2670530.79249088,0.8365800365
Morocco,Fes,PHILIP MORRIS,3808400,201998.65,3250301.28180144,0.853455856
South Korea,Muan,MARLBORO,23400,978.23,18752.426804652,0.8013857609
Denmark,Aarhus,L&M,11949,1019.42,10839.238921232,0.9071251922
Ivory Coast,Abidjan,MARLBORO,3605000,136140.04,2827003.0510653,0.7841894732
Italy,Rome Fiumicino,MARLBORO,16231400,965880.7,13816349.7935893,0.8512112198
