Nationality,Pax,Percentage,cum_pct
Kuwait,2175445,26.63577548736559,26.63577548736559
Egypt,1985209,24.30655852917337,50.94233401653896
India,1500693,18.37422772051747,69.31656173705643
Bangladesh,315216,3.859450643902941,73.17601238095938
Saudi Arabia,306504,3.752782410026227,76.9287947909856
Philippines,260132,3.185011594905588,80.1138063858912
Pakistan,229246,2.806848707908778,82.92065509379998
Sri Lanka,214489,2.62616653076017,85.54682162456015
Nepal,121410,1.486523217971981,87.03334484253213
Ethiopia,108733,1.331308204099724,88.36465304663186
Iran,100323,1.228337606429479,89.59299065306134
USA,86757,1.062237829022281,90.65522848208361
Lebanon,84381,1.03314649251045,91.68837497459407
United Kingdom,82238,1.00690796803871,92.69528294263277
Turkey,76760,0.9398362755253215,93.6351192181581
Jordan,64733,0.7925797501769234,94.42769896833502
Syria,35771,0.4379739892107383,94.86567295754575
Iraq,33891,0.4149555916340368,95.2806285491798
UAE,29727,0.3639722897673427,95.64460083894714
France,29024,0.3553648783330762,95.99996571728022
Bahrain,27561,0.3374521572401431,96.33741787452036
Afghanistan,27449,0.3360808484483396,96.67349872296869
Germany,23857,0.2921010164826419,96.96559973945133
Yemen,22913,0.2805428423802983,97.24614258183163
Oman,19113,0.2340162940869654,97.4801588759186
Palestine,18233,0.2232417250085094,97.70340060092711
Indonesia,16962,0.2076798189872395,97.91108041991436
Uzbekistan,16054,0.1965624227108326,98.10764284262518
China,15815,0.1936361476997519,98.30127899032493
Sudan,15256,0.1867918475692327,98.48807083789417
Kyrgyzstan,15067,0.1844777639830643,98.67254860187724
Italy,10869,0.1330781719474299,98.80562677382467
Qatar,10426,0.1276541559227072,98.93328092974738
Armenia,6465,0.07915635124115689,99.01243728098854
Spain,5894,0.07216512516865874,99.08460240615719
Thailand,5750,0.07040201386491139,99.1550044200221
North Korea,5138,0.06290879082398516,99.21791321084608
South Africa,4533,0.05550127458254667,99.27341448542863
Russian Fed.,4283,0.05244031745798531,99.32585480288661
Tajikstan,3887,0.0475917613726801,99.3734465642593
Georgia,3886,0.04757951754418185,99.42102608180348
Australia,3451,0.04225345214744508,99.46327953395092
Azerbaijan,3129,0.03831093937101004,99.50159047332194
Kazakhstan,2919,0.0357397353863785,99.53733020870831
Netherlands,2841,0.03478471676351535,99.57211492547182
Morocco,2711,0.03319301905874344,99.60530794453057
Eritrea,2413,0.02954435816626629,99.63485230269683
South Korea,2297,0.02812407406046982,99.6629763767573
Somalia,2182,0.02671603378317159,99.68969241054047
Switzerland,2162,0.02647115721320668,99.71616356775368
Kenya,1859,0.02276127717823831,99.73892484493192
Poland,1766,0.02162260112790148,99.76054744605982
Canada,1449,0.01774130749395767,99.77828875355378
Romania,1421,0.0173984802960068,99.79568723384979
Bosnia-Herz.,1355,0.0165903876151226,99.81227762146492
Greece,1291,0.01580678259123489,99.82808440405616
Nigeria,1064,0.01302743352213317,99.8411118375783
Mexico,823,0.01007667085405601,99.85118850843236
Malaysia,767,0.009391016458154268,99.86057952489051
Hungary,620,0.007591173668912186,99.86817069855942
Vietnam,620,0.007591173668912186,99.87576187222834
Cyprus,611,0.007480979212427975,99.88324285144077
Tunisia,590,0.007223858813964821,99.89046671025473
Venezuela,573,0.007015713729494649,99.89748242398423
Ireland,568,0.00695449458700342,99.90443691857124
Ukraine,565,0.006917763101508684,99.91135468167275
Portugal,553,0.006770837159529739,99.91812551883228
Brazil,492,0.006023963621136766,99.92414948245342
Czech Republic,491,0.00601171979263852,99.93016120224605
Algeria,445,0.005448503681719229,99.93560970592777
Austria,380,0.004652654829333275,99.9402623607571
Slovakia,301,0.003685392377971883,99.94394775313508
Albania,279,0.003416028151010483,99.94736378128609
Montenegro,277,0.003391540494013992,99.9507553217801
Myanmar,256,0.003134420095550837,99.95388974187564
Senegal,251,0.00307320095305961,99.9569629428287
Serbia,209,0.002558960156133301,99.95952190298483
Lithuania,198,0.002424278042652601,99.96194618102749
Japan,184,0.002252864443677165,99.96419904547116
Bulgaria,176,0.002154913815691201,99.96635395928685
Belgium,169,0.002069207016203483,99.96842316630305
Latvia,142,0.001738623646750855,99.9701617899498
Sweden,141,0.00172637981825261,99.97188816976805
Argentina,139,0.001701892161256119,99.9735900619293
Mauritania,123,0.001505990905284192,99.97509605283459
Denmark,112,0.001371308791803492,99.97646736162639
Dominican Rep.,103,0.001261114335319282,99.97772847596171
Tokelau,95,0.001163163707333319,99.97889163966904
Croatia,94,0.001150919878835073,99.98004255954788
Jamaica,93,0.001138676050336828,99.98118123559821
North Macedonia,81,0.0009917501083578821,99.98217298570657
Belarus,80,0.0009795062798596368,99.98315249198643
Singapore,77,0.0009427747943649003,99.9840952667808
Cambodia,76,0.0009305309658666548,99.98502579774666
Taiwan,71,0.0008693118233754275,99.98589510957004
El Salvador,67,0.0008203365093824458,99.98671544607942
Other,67,0.0008203365093824458,99.9875357825888
Nicaragua,63,0.000771361195389464,99.98830714378418
Cuba,61,0.000746873538392973,99.98905401732257
Slovenia,60,0.0007346297098947275,99.98978864703247
Haiti,59,0.0007223858813964821,99.99051103291387
Colombia,59,0.0007223858813964821,99.99123341879528
Zimbabwe,58,0.0007101420528982367,99.99194356084817
Ghana,58,0.0007101420528982367,99.99265370290107
Norway,48,0.000587703767915782,99.99324140666899
New Zealand,48,0.000587703767915782,99.9938291104369
Finland,44,0.0005387284539228002,99.99436783889082
Guatemala,44,0.0005387284539228002,99.99490656734474
Kosovo,33,0.0004040463404421002,99.99531061368518
Cameroon,31,0.0003795586834456092,99.99569017236863
Ecuador,31,0.0003795586834456092,99.99606973105207
Libya,29,0.0003550710264491183,99.99642480207852
Mali,28,0.0003428271979508729,99.99676762927648
Honduras,27,0.0003305833694526274,99.99709821264592
Peru,25,0.0003060957124561365,99.99740430835838
Mauritius,25,0.0003060957124561365,99.99771040407084
Mongolia,25,0.0003060957124561365,99.9980164997833
Estonia,22,0.0002693642269614001,99.99828586401027
Congo,20,0.0002448765699649092,99.99853074058024
Ivory Coast,19,0.0002326327414666637,99.99876337332171
Guinea,11,0.0001346821134807001,99.99889805543519
Guyana,10,0.0001224382849824546,99.99902049372017
Madagascar,8,9.795062798596367e-05,99.99911844434816
"Trinidad,Tobago",8,9.795062798596367e-05,99.99921639497614
Laos,8,9.795062798596367e-05,99.99931434560413
Gambia,8,9.795062798596367e-05,99.99941229623212
Hong Kong,8,9.795062798596367e-05,99.99951024686011
Comoros,7,8.570679948771822e-05,99.9995959536596
Angola,6,7.346297098947275e-05,99.99966941663058
Israel,5,6.12191424912273e-05,99.99973063577308
Chile,4,4.897531399298183e-05,99.99977961108706
Bolivia,4,4.897531399298183e-05,99.99982858640105
Panama,4,4.897531399298183e-05,99.99987756171504
Costa Rica,3,3.673148549473638e-05,99.99991429320053
Liberia,2,2.448765699649092e-05,99.99993878085753
Luxembourg,1,1.224382849824546e-05,99.99995102468603
Moldova,1,1.224382849824546e-05,99.99996326851452
Uruguay,1,1.224382849824546e-05,99.99997551234301
Belize,1,1.224382849824546e-05,99.9999877561715
Barbados,1,1.224382849824546e-05,100.0
