Year,Product Category,Location,DF_Market,TMO,Brand Family,CR_BrandId,DF_Vol,Flavor,Taste,Thickness,Length,cum_volume,cum_pct
2024,Cigarettes,Kuwait,Kuwait,PMI,MARLBORO,123518,31284.0,Regular,Full Flavor,SLI,KS,31284.0,1.613111969751484
2024,Cigarettes,Kuwait,Kuwait,PMI,MARLBORO,123518,31284.0,Regular,Full Flavor,SLI,KS,62568.0,3.226223939502967
2024,Cigarettes,Kuwait,Kuwait,PMI,MARLBORO,123518,31284.0,Regular,Full Flavor,SLI,KS,93852.0,4.839335909254451
2024,Cigarettes,Kuwait,Kuwait,PMI,MARLBORO,123518,31284.0,Regular,Full Flavor,SLI,KS,125136.0,6.452447879005935
2024,Cigarettes,Kuwait,Kuwait,PMI,MARLBORO,123518,31284.0,Regular,Full Flavor,SLI,KS,156420.0,8.065559848757418
2024,Cigarettes,Kuwait,Kuwait,PMI,PHILIP MORRIS,90560,29376.4,Regular,Ultralights,STD,KS,185796.4,9.580309320315003
2024,Cigarettes,Kuwait,Kuwait,PMI,PHILIP MORRIS,90560,29376.4,Regular,Ultralights,STD,KS,215172.8,11.09505879187259
2024,Cigarettes,Kuwait,Kuwait,PMI,PHILIP MORRIS,90560,29376.4,Regular,Ultralights,STD,KS,244549.2,12.60980826343017
2024,Cigarettes,Kuwait,Kuwait,PMI,PHILIP MORRIS,90560,29376.4,Regular,Ultralights,STD,KS,273925.6,14.12455773498776
2024,Cigarettes,Kuwait,Kuwait,PMI,PHILIP MORRIS,90560,29376.4,Regular,Ultralights,STD,KS,303302.0,15.63930720654534
2024,Cigarettes,Kuwait,Kuwait,PMI,PHILIP MORRIS,90560,29376.4,Regular,Ultralights,STD,KS,332678.4,17.15405667810293
2024,Cigarettes,Kuwait,Kuwait,PMI,PHILIP MORRIS,90560,29376.4,Regular,Ultralights,STD,KS,362054.8,18.66880614966052
2024,Cigarettes,Kuwait,Kuwait,PMI,MARLBORO,96184,25803.6,Regular,Full Flavor,STD,KS,387858.4,19.99932961285829
2024,Cigarettes,Kuwait,Kuwait,PMI,MARLBORO,96184,25803.6,Regular,Full Flavor,STD,KS,413662.0,21.32985307605608
2024,Cigarettes,Kuwait,Kuwait,PMI,MARLBORO,96184,25803.6,Regular,Full Flavor,STD,KS,439465.6,22.66037653925385
2024,Cigarettes,Kuwait,Kuwait,PMI,MARLBORO,96184,25803.6,Regular,Full Flavor,STD,KS,465269.2,23.99090000245164
