Year,Product Category,Location,DF_Market,TMO,Brand Family,CR_BrandId,DF_Vol,Flavor,Taste,Thickness,Length,cum_volume,cum_pct
2024,Cigarettes,Jeju,South Korea,PMI,MARLBORO,122718,6872.8,Regular,Full Flavor,STD,KS,623782.9999999999,53.04021030276769
2024,Cigarettes,Jeju,South Korea,PMI,MARLBORO,122718,6872.8,Regular,Full Flavor,STD,KS,630655.7999999999,53.62460384566459
2024,Cigarettes,Jeju,South Korea,PMI,PARLIAMENT,121968,6589.2,Regular,Full Flavor,STD,KS,657817.7999999998,55.9341861719604
2024,Cigarettes,Jeju,South Korea,PMI,PARLIAMENT,121968,6589.2,Regular,Full Flavor,STD,KS,664406.9999999998,56.49446523331185
2024,Cigarettes,Jeju,South Korea,PMI,PARLIAMENT,121968,6589.2,Regular,Full Flavor,STD,KS,670996.1999999997,57.05474429466331
2024,Cigarettes,Jeju,South Korea,PMI,MARLBORO,95585,3777.0,Regular,Full Flavor,STD,KS,812071.7999999999,69.0503894029608
2024,Cigarettes,Jeju,South Korea,PMI,MARLBORO,95585,3777.0,Regular,Full Flavor,STD,KS,815848.7999999999,69.37154736063769
2024,Cigarettes,Jeju,South Korea,PMI,MARLBORO,95585,3777.0,Regular,Full Flavor,STD,KS,819625.7999999999,69.69270531831457
2024,Cigarettes,Jeju,South Korea,PMI,MARLBORO,125145,3691.6,NTD Caps,Full Flavor,STD,KS,834621.9999999998,70.96783080545089
2024,Cigarettes,Jeju,South Korea,PMI,MARLBORO,125145,3691.6,NTD Caps,Full Flavor,STD,KS,838313.5999999997,71.28172720909397
2024,Cigarettes,Jeju,South Korea,PMI,VIRGINIA SLIMS,121995,3687.4,Regular,Lights,SLI,KS,842000.9999999998,71.59526648712884
2024,Cigarettes,Jeju,South Korea,PMI,VIRGINIA SLIMS,121995,3687.4,Regular,Lights,SLI,KS,845688.3999999998,71.90880576516372
2024,Cigarettes,Jeju,South Korea,PMI,PARLIAMENT,121941,3094.4,Regular,Full Flavor,STD,KS,900145.1999999996,76.53926238936756
2024,Cigarettes,Jeju,South Korea,PMI,PARLIAMENT,121941,3094.4,Regular,Full Flavor,STD,KS,903239.5999999996,76.8023789327182
2024,Cigarettes,Jeju,South Korea,PMI,PARLIAMENT,121941,3094.4,Regular,Full Flavor,STD,KS,906333.9999999997,77.06549547606882
2024,Cigarettes,Jeju,South Korea,PMI,PARLIAMENT,121949,3035.8,NTD Caps,Full Flavor,STD,KS,909369.7999999997,77.32362926688575
2024,Cigarettes,Jeju,South Korea,PMI,PARLIAMENT,121949,3035.8,NTD Caps,Full Flavor,STD,KS,912405.5999999997,77.58176305770264
2024,Cigarettes,Jeju,South Korea,PMI,PARLIAMENT,121949,3035.8,NTD Caps,Full Flavor,STD,KS,915441.3999999998,77.83989684851956
2024,Cigarettes,Jeju,South Korea,PMI,MARLBORO,99408,2718.2,Regular,Full Flavor,STD,KS,959974.7999999998,81.62656769639017
2024,Cigarettes,Jeju,South Korea,PMI,MARLBORO,99408,2718.2,Regular,Full Flavor,STD,KS,962692.9999999998,81.85769598883319
2024,Cigarettes,Jeju,South Korea,PMI,MARLBORO,99408,2718.2,Regular,Full Flavor,STD,KS,965411.1999999997,82.0888242812762
2024,Cigarettes,Jeju,South Korea,PMI,MARLBORO,98188,2309.0,Menthol Caps,Full Flavor,STD,KS,1006428.8,85.57654698310488
2024,Cigarettes,Jeju,South Korea,PMI,MARLBORO,98188,2309.0,Menthol Caps,Full Flavor,STD,KS,1008737.8,85.77288103771856
2024,Cigarettes,Jeju,South Korea,PMI,MARLBORO,98188,2309.0,Menthol Caps,Full Flavor,STD,KS,1011046.8,85.96921509233225
