Category,Metric,Value
Market Share,PMI Share in Top 90% Products,8.81%
Market Share,PMI Products Count,24
Market Share,Competitor Products Count,151
Flavor Distribution,Under-represented Segments,3
Flavor Distribution,Over-represented Segments,0
Taste Distribution,Under-represented Segments,3
Taste Distribution,Over-represented Segments,0
Thickness Distribution,Under-represented Segments,2
Thickness Distribution,Over-represented Segments,0
Length Distribution,Under-represented Segments,3
Length Distribution,Over-represented Segments,0
