Location,Cat_C
Mazatlan,5.073507584
Bujumbura,4.100885088
Bydgoszcz,4.147110183
London Heathrow,4.417833767
Vilnius,5.168115304
Bariloche,3.08538179
Denizli Cardak Airport,2.646965161
Nice,7.748354972
Port-au-Prince (Haiti),4.232489498
London City,5.690808714
Marsa Aalam,6.592521831
Strasbourg,8.051367818
Cheongju,6.387476509
Ho Chi Minh,2.943239502
Sanya Fenghuang,0.903580324
Cardiff,5.39167043
Mandalay,1.945852698
Odessa,10
Asturias,6.399031363
Windhoek,1.620063215
Jeju,6.927354284
Cali,1.734622227
Jerez De La Frontera,6.528739303
Gibraltar,6.821275402
Soekarno Hatta,2.030870256
Alesund,10
Shymkent,10
Genoa,6.224956242
Yaounde,9.667811746
Santander,6.506244162
Duesseldorf,3.574087913
Kyiv - Zhulyany,10
Chambery,0.5288839927
Doha,2.758807867
Basel,2.490196858
Cayenne,8.923770899
Al Hoceima,0.320550299
Umea,0
Voronezh,7.099781738
Aktau,10
Salvador,3.536956696
Sihanoukville,3.025497907
Asturias,6.399031363
Rostov Don,7.099781738
Changchun Longjia,2.353433941
Krasnoyarsk,0.452290433
Fuzhou Changle,2.167434958
Dubrovnik,4.585996013
Chengdu Tianfu,1.478763517
Vienna,6.820216042
Jersey,6.494328276
Helsinki-Vantaa,4.653930315
Nis,5.331251156
Chubu,3.713589586
San Jose,6.880903498
Copenhagen,3.832688839
Murcia,1.061704907
Vigo,7.213451489
Fort-de-France,8.51585905
Tunis,3.054268868
Kalibo,7.134501085
Cologne,5.815969004
Shizuoka,5.927284035
Moi,10
Dushanbe,10
Aswan,5.168472557
Santorini,3.035836175
Ngurah Rai,3.731684041
Medellin Jose Maria Cordova,1.786727043
Vladivostok,10
Montpellier,8.464974061
Komatsu,8.323804201
Lanzarote,4.166483646
Haiphong,2.811025698
Gaziantep Airport,1.385310413
Tbilisi,6.917501924
Charleroi,4.73750603
Kuwait,3.928771287
Pula,10
Paderborn,5.652116953
Queenstown,6.073289294
Conakry,10
Split,4.868405623
Nanchang Changbei,2.000746375
Rotterdam,1.382873212
Harbin Taiping,2.206334515
Asyut,5.562524711
Krasnodar,7.099781738
Wellington,10
Kristiansand,10
Ulaanbaatar,1.089956983
Erbil International Airport,4.146551324
Mexico City,2.1989988
Jieyang Chaoshan,10
Marseille,8.097448954
Tenerife,0.02057955826
Salzburg,6.896007179
Pointe-a-Pitre,9.034181867
Mahon Airport,7.556994727
Rzeszow,3.029023281
Cozumel,3.779521212
Almeria,8.508220917
Pengsheng,4.433960542
Munster-Osnabruck,3.702316265
Netaji Subhash Chandra Bose Int. Airport,10
Auckland,5.127821465
Djibouti,7.833513368
Gerona,7.200222549
Baghdad,2.967754012
Bergamo,5.380577362
Konya Airport,3.256567273
Luxor,5.056737305
Vigo,7.213451489
Ibaraki,9.680939754
Singapore - Changi,3.379138486
Ramon,4.765914219
Jaipur,10
Muscat,3.806182133
Piarco,5.770694519
Kunming Wujiaba,3.691139336
Dnipropetrovsk,10
Kayseri Airport,3.952603033
Beijing,3.481790315
Rhodes,3.342953575
Panama Tocumen,2.041085807
Izmir Airport,2.238551096
Nantes,8.76839549
Southampton,4.898120309
Kinshasa,0.01752857651
