Location,Cat_A,Cat_B,Cat_C,Cat_D,Avg_Score,Market_Volume,PMI_Volume,Market_Share
Pula,0.000000000000,0,10,0,10,0,0,0
Vladivostok,0.000000000000,0,10,0,10,0,0,0
Alesund,0.000000000000,0,10,0,10,0,0,0
Tegucigalpa,0.000000000000,0,10,0,10,0,0,0
Budapest,0.000000000000,0,10,0,10,0,0,0
Karlsruhe Baden-Baden,0.000000000000,0,10,0,10,0,0,0
Zadar,0.000000000000,0,10,0,10,0,0,0
La Paz El Alto,0.000000000000,0,10,0,10,0,0,0
Conakry,0.000000000000,0,10,0,10,0,0,0
Dushanbe,0.000000000000,0,10,0,10,0,0,0
Kyiv - Zhulyany,0.000000000000,0,10,0,10,0,0,0
Moi,0.000000000000,0,10,0,10,0,0,0
Lviv,0.000000000000,0,10,0,10,0,0,0
Mombasa,0.000000000000,0,10,0,10,0,0,0
Kazan,0.000000000000,0,10,0,10,0,0,0
Trichy,0.000000000000,0,10,0,10,0,0,0
Kyiv,0.000000000000,0,10,0,10,0,0,0
Ufa,0.000000000000,0,10,0,10,0,0,0
Harare,0.000000000000,0,10,0,10,0,0,0
Samarkand,0.000000000000,0,10,0,10,0,0,0
Maputo,0.000000000000,0,10,0,10,0,0,0
Khabarovsk,0.000000000000,0,10,0,10,0,0,0
Lubumbashi,0.000000000000,0,10,0,10,0,0,0
Karipur,0.000000000000,0,10,0,10,0,0,0
Siem Reap,0.000000000000,0,10,0,10,0,0,0
Sardar Vallabh Bhai Patel,0.000000000000,0,10,0,10,0,0,0
Coolangatta,0.000000000000,0,10,0,10,0,0,0
Kharkiv,0.000000000000,0,10,0,10,0,0,0
Jieyang Chaoshan,0.000000000000,0,10,0,10,0,0,0
Jaipur,0.000000000000,0,10,0,10,0,0,0
Netaji Subhash Chandra Bose Int. Airport,0.000000000000,0,10,0,10,0,0,0
Wellington,0.000000000000,0,10,0,10,0,0,0
Memmingen,0.000000000000,0,10,0,10,0,0,0
Mangalore,0.000000000000,0,10,0,10,0,0,0
Yingsheng,0.000000000000,0,10,0,10,0,0,0
Aktau,0.000000000000,0,10,0,10,0,0,0
Lucknow,0.000000000000,0,10,0,10,0,0,0
Shenzhen Bao'an,0.000000000000,0,10,0,10,0,0,0
Zaporizhya,0.000000000000,0,10,0,10,0,0,0
Shymkent,0.000000000000,0,10,0,10,0,0,0
Santa Cruz Viru Viru,0.000000000000,0,10,0,10,0,0,0
Dnipropetrovsk,0.000000000000,0,10,0,10,0,0,0
Chisinau,0.000000000000,0,10,0,10,0,0,0
Odessa,0.000000000000,0,10,0,10,0,0,0
Anna,0.000000000000,0,10,0,10,0,0,0
Changzhou Benniu,0.000000000000,0,10,0,10,0,0,0
Amritsar,0.000000000000,0,10,0,10,0,0,0
Acapulco,0.000000000000,0,10,0,10,0,0,0
Kristiansand,0.000000000000,0,10,0,10,0,0,0
Goa,0.000000000000,0,10,0,10,0,0,0
Islamabad,0.000000000000,0,10,0,10,0,0,0
Beira,0.000000000000,0,10,0,10,0,0,0
Hrabrovo,0.000000000000,0,10,0,10,0,0,0
Providenciales (Turks and Caicos),0.000000000000,0,10,0,10,0,0,0
Mactan,0.000000000000,0,10,0,10,0,0,0
Bandaranaike,0.000000000000,0,10,0,10,0,0,0
Punta del Este,9.999900000000,0,0,0,9.9999,1600,1600,1
Yaounde,0.000000000000,0,9.667811746,0,9.667811746,0,0,0
Montpellier,6.363573030300,10,8.464974061,10,8.707136773,2580400,2580400,1
Naha,5.333280000000,10,9.215701555,10,8.637245389,14170971,2069600,0.1460450381
Quanzhou,7.499925000000,10,6.949728406,10,8.612413351,241600,241600,1
Chitose,5.733276000000,10,8.649297382,10,8.595643345,19712903,2921400,0.1481973507
Douala,7.499925000000,0,9.335623493,0,8.417774246,708240,595200,0.8403930871
Asuncion Silvio Petterossi,5.925867407400,10,7.649957632,10,8.39395626,695994,695994,1
Sendai,5.128155384600,10,8.36335571,10,8.372877774,1994296,292400,0.146618155
Alexandria,5.999940000000,10,6.592521831,10,8.148115458,5121945,3641559,0.7109719062
Cairns,8.333250000000,10,4.189814564,10,8.130766141,19384,13000,0.6706562113
Cayenne,4.871744615400,8.706004189,8.923770899,10,8.125379926,5373400,3358400,0.6250046525
Nanjing Lukou,5.416612500000,10,6.97372082,10,8.09758333,1082800,1082800,1
Djibouti,8.333250000000,0,7.833513368,0,8.083381684,189933,189933,1
Hiroshima,5.384562820500,10,6.818729855,10,8.050823169,1915351,282400,0.1474403386
Marsa Aalam,5.555501111100,10,6.592521831,10,8.037005735,29857705,11378619,0.3810948966
Togo,5.208281250000,10,6.497176663,10,7.926364478,7510986,4988997,0.6642266408
Liberia,8.333250000000,0,7.503067467,0,7.918158733,506542,365200,0.7209668695
Tulear,5.833275000000,0,10,0,7.9166375,1168001,1168001,1
Kingston,5.777718888900,10,5.764930634,10,7.885662381,1970689,719994,0.3653514076
Pointe-a-Pitre,3.888851111100,8.552096018,9.034181867,10,7.868782249,14020200,8056400,0.5746280367
St. Maarten Princess Juliana,5.909030909100,10,5.551706498,10,7.865184352,3590104,3590104,1
Marseille,4.285670476200,9.059826269,8.097448954,10,7.860736425,9131200,6324400,0.6926143333
Marseille,4.285670476200,9.059826269,8.097448954,10,7.860736425,9131200,6324400,0.6926143333
Bordeaux,4.444398888900,8.428927631,8.533725521,10,7.85176301,2351000,1287600,0.5476818375
Bordeaux,4.444398888900,8.428927631,8.533725521,10,7.85176301,2351000,1287600,0.5476818375
Niamey,5.714229523800,0,9.891316069,0,7.802772796,220314,141000,0.6399956426
Fort-de-France,3.611073888900,8.996846944,8.51585905,10,7.780944971,11826200,6583000,0.5566454144
Bamako,6.666600000000,0,8.816039015,0,7.741319507,5825572,5621200,0.9649181231
Luxor,5.888831111100,10,5.056737305,10,7.736392104,1601244,1242580,0.7760091529
Shizuoka,4.999950000000,10,5.927284035,10,7.731808509,976167,141800,0.14526203
Melbourne,5.666610000000,10,5.174697433,10,7.710326858,1115774,399601,0.3581379383
Bridgetown,5.797042029000,10,5.016660947,10,7.703425744,4762763,3434022,0.7210146715
Aswan,5.632127011500,10,5.168472557,10,7.700149892,2722009,2207188,0.8108672675
Ibaraki,5.714229523800,0,9.680939754,0,7.697584639,125329,19200,0.1531967861
Bujumbura,6.666600000000,10,4.100885088,10,7.691871272,224800,112400,0.5
Dalaman Airport,5.952320476200,10,4.729378041,10,7.670424629,72832056,14043000,0.1928134502
Brisbane,5.666610000000,10,4.991218102,10,7.664457025,1022624,375001,0.3667046735
Male,5.333280000000,10,5.235772962,10,7.64226324,21205559,7422146,0.350009448
Adelaide,6.666600000000,10,3.844588708,10,7.627797177,19384,13000,0.6706562113
Takamatsu,5.185134814800,10,5.304564589,10,7.622424851,847066,123800,0.1461515395
Port Louis,6.111048888900,0,9.109148425,0,7.610098657,31278800,31278800,1
Miyazaki,4.999950000000,10,7.80275239,0,7.600900797,49600,16400,0.3306451613
Nice,3.571394285700,9.077629456,7.748354972,10,7.599344679,7784200,4080000,0.5241386398
Karpathos,4.166625000000,8.928571429,9.667077682,0,7.587424703,25000,17800,0.712
Paramaribo,4.901910980400,10,5.32055773,10,7.555617178,5784863,4170994,0.7210186309
Pamandzi,7.083262500000,10,3.138198011,10,7.555365128,13659469,7513002,0.5500215272
Zia,5.714229523800,10,4.502660653,10,7.554222544,5597167,1959006,0.3499995623
Lyon Saint Exupery,3.095205714300,9.151260516,7.961423856,10,7.551972521,9985600,6543000,0.6552435507
Lyon Saint Exupery,3.095205714300,9.151260516,7.961423856,10,7.551972521,9985600,6543000,0.6552435507
Sierra Leone,5.416612500000,0,9.679543828,0,7.548078164,7984000,7984000,1
Auckland,4.999950000000,10,5.127821465,10,7.531942866,1111083,270000,0.2430061481
Nantes,2.777748888900,8.548210437,8.76839549,10,7.523588704,3138200,1559000,0.4967815945
Nantes,2.777748888900,8.548210437,8.76839549,10,7.523588704,3138200,1559000,0.4967815945
Muscat,6.274447254900,10,3.806182133,10,7.520157347,96194013,44828600,0.4660227659
Juba,4.999950000000,0,10,0,7.499975,1139434,670000,0.5880112407
Sydney,5.555501111100,10,4.420355207,10,7.49396408,1178237,228001,0.193510304
Lulea,6.666600000000,0,8.28735691,0,7.476978455,22600,22600,1
Hurgada,5.268763978500,10,4.404637067,10,7.418350261,59437978,30596906,0.5147703039
Sharm El Sheikh,5.698866344100,10,3.913918091,10,7.403196109,14424829,11283151,0.7822034493
Belize City,5.396772698400,10,4.134861471,10,7.382908542,2210712,1594013,0.7210405516
Sfax,5.757519090900,9.115774158,4.648460565,10,7.380438454,2572215,1875000,0.7289437314
Erbil International Airport,5.370316296300,10,4.146551324,10,7.379216905,15824037,12596000,0.7960042055
Hebei,4.848434848500,10,4.651501308,10,7.374984039,371300,371300,1
Toulouse,2.307670256400,8.796715021,8.244967275,10,7.337338138,4227400,2476200,0.5857501064
Entebbe,6.499935000000,10,2.745302523,10,7.311309381,6902384,3451205,0.5000018834
Singapore - Changi,5.833275000000,10,3.379138486,10,7.303103372,136641623,63494800,0.4646812487
Colombo,3.763402365600,8.129552467,10,0,7.297651611,34974033,11467197,0.327877457
Chattrapati Shivaji,5.362266376800,10,3.823877095,10,7.296535868,34841635,19981002,0.5734806073
Baghdad,6.212057878800,10,2.967754012,10,7.294952973,50653215,40320000,0.7960008067
Antigua,4.444398888900,10,4.724813066,10,7.292302989,549223,396003,0.7210240649
Nador,4.743542564100,7.651400219,6.771394032,10,7.291584204,9047200,7283000,0.8050004421
