FlagType,DF_Market,Location,TMO,Brand Family,CR_BrandId,SKU,Item per Bundle,Rule
Green,Serbia,Belgrade,PMI,MARLBORO,123652,MARLBORO - GOLD (3.5) KS RCB - SERBIA DF - IDM SERBIA,200,Top Volume
Green,Serbia,Belgrade,PMI,MARLBORO,125610,MARLBORO - RED 3.5 KS BOX WHITE - SERBIA DF - IDM SERBIA,200,Top Volume
Green,Belize,Belize City,PMI,MARLBORO,139305,MARLBORO - GOLD (3.5) KS RCB - GENERIC DF-ENG TXT - ALTERNATIVE,200,Top Volume
Green,Belize,Belize City,PMI,MARLBORO,125837,MARLBORO - RED 3.5 KS BOX - GENERIC DF-ENG TXT,200,Top Volume
Green,Brazil,Belo Horizonte,PMI,MARLBORO,142119,MARLBORO - GOLD (3.5) KS RCB 400 TRANSPARENT BUNDLE - GENERIC DF-ENG TXT - ALTERNATIVE,400,Top Volume
Green,Brazil,Belo Horizonte,PMI,MARLBORO,125841,MARLBORO - RED 3.5 KS BOX 400 - GENERIC DF-ENG TXT,400,Top Volume
Green,Brazil,Belo Horizonte,PMI,MARLBORO,139307,MARLBORO - GOLD (3.5) KS RCB 600 SPECIAL OUTER - GENERIC DF-ENG TXT - ALTERNATIVE,600,Top Volume
Green,Italy,Bergamo,PMI,MARLBORO,122500,MARLBORO - GOLD (3.5) KS RCB 400 TRANSPARENT BUNDLE - ITALY DF - IDM ITALY,400,Top Volume
Green,Italy,Bergamo,PMI,MARLBORO,122498,MARLBORO - GOLD (3.5) KS RCB - ITALY DF - IDM ITALY,200,Top Volume
Green,Norway,Bergen,PMI,MARLBORO,125033,MARLBORO - GOLD (2.0) KS BOX TRANSPARENT BUNDLE - NORWAY DF - IDM NORWAY,200,Top Volume
Green,Norway,Bergen,PMI,MARLBORO,121117,MARLBORO - RED 2.0 KS BOX - NORWAY DF - IDM NORWAY,200,Top Volume
Green,Germany,Berlin Brandenburg,PMI,MARLBORO,124179,MARLBORO - GOLD (3.5) KS BOX 400 TRANSPARENT BUNDLE - ENGLISH GHW TPD2 DF - IDM GERMANY,400,Top Volume
Green,Germany,Berlin Brandenburg,PMI,MARLBORO,123063,MARLBORO - GOLD (3.5) KS BOX - ENGLISH GHW TPD2 DF - IDM GERMANY,200,Top Volume
Green,Spain,Bilbao,PMI,MARLBORO,122496,MARLBORO - GOLD (3.5) KS RCB - SPAIN DF - IDM SPAIN,200,Top Volume
Green,Spain,Bilbao,PMI,MARLBORO,125679,MARLBORO - RED 3.5 KS BOX - SPAIN DF - IDM SPAIN,200,Top Volume
Green,Denmark,Billund,PMI,MARLBORO,125063,MARLBORO - ONE KS RCB 400 TRANSPARENT BUNDLE - DENMARK DF - IDM DENMARK,400,Top Volume
Green,Great Britain,Birmingham,PMI,MARLBORO,122749,MARLBORO - GOLD (2.0 ORIGINAL) KS RCB 400 TRANSPARENT BUNDLE - UNITED KINGDOM DF - IDM UNITED KINGDOM,400,Top Volume
Green,Great Britain,Birmingham,PMI,MARLBORO,125044,MARLBORO - GOLD (2.0 ORIGINAL) KS RCB TRANSPARENT BUNDLE - UNITED KINGDOM DF - IDM UNITED KINGDOM,200,Top Volume
Green,Turkey,Bodrum Airport,PMI,MARLBORO,113756,MARLBORO - (GOLD 3.0) KS RCB 600 SPECIAL OUTER - TURKEY DF,600,Top Volume
Green,Turkey,Bodrum Airport,PMI,MARLBORO,113638,MARLBORO - (GOLD 3.0) KS RCB 400 - TURKEY DF,400,Top Volume
Green,Turkey,Bodrum Airport,PMI,L&M,122596,L&M - RED LABEL (5.0 CWB) KS RCB 600 - TURKEY DF,600,Top Volume
Green,Turkey,Bodrum Airport,PMI,L&M,122591,L&M - BLUE LABEL (5.0 CWB) KS RCB 600 - TURKEY DF,600,Top Volume
Green,Turkey,Bodrum Airport,PMI,MARLBORO,125713,MARLBORO - RED 3.5 KS BOX 600 SPECIAL OUTER - TURKEY DF - BASE PRODUCT DF,600,Top Volume
Green,Turkey,Bodrum Airport,PMI,MARLBORO,146276,MARLBORO - RED 3.5 KS BOX 400 TRANSPARENT BUNDLE - TURKEY DF,400,Top Volume
Green,Turkey,Bodrum Airport,PMI,MARLBORO,113628,MARLBORO - (GOLD 3.0) KS RCB - TURKEY DF,200,Top Volume
Green,Turkey,Bodrum Airport,PMI,MARLBORO,118939,MARLBORO - DOUBLE FUSION PURPLE KS RCB 600 C SPECIAL OUTER WHITE - TURKEY DF,600,Top Volume
Green,Turkey,Bodrum Airport,PMI,MARLBORO,118916,MARLBORO - DOUBLE FUSION PURPLE KS RCB C WHITE - TURKEY DF,200,Top Volume
Green,Colombia,Bogota,PMI,MARLBORO,125840,MARLBORO - RED 3.5 KS BOX 600 SPECIAL OUTER - GENERIC DF-ENG TXT,600,Top Volume
Green,Colombia,Bogota,PMI,MARLBORO,125841,MARLBORO - RED 3.5 KS BOX 400 - GENERIC DF-ENG TXT,400,Top Volume
Green,Colombia,Bogota,PMI,MARLBORO,139307,MARLBORO - GOLD (3.5) KS RCB 600 SPECIAL OUTER - GENERIC DF-ENG TXT - ALTERNATIVE,600,Top Volume
Green,Colombia,Bogota,PMI,MARLBORO,142119,MARLBORO - GOLD (3.5) KS RCB 400 TRANSPARENT BUNDLE - GENERIC DF-ENG TXT - ALTERNATIVE,400,Top Volume
Green,Italy,Bologna,PMI,MARLBORO,122498,MARLBORO - GOLD (3.5) KS RCB - ITALY DF - IDM ITALY,200,Top Volume
Green,France,Bordeaux,PMI,MARLBORO,122766,MARLBORO - GOLD (2.0 ORIGINAL) KS BOX - FRANCE DF GHW-FR05 - IDM FRANCE,200,Top Volume
Green,France,Bordeaux,PMI,MARLBORO,123635,MARLBORO - GOLD (2.0 ORIGINAL) KS BOX 400 TRANSPARENT BUNDLE - FRANCE DF GHW-FR05 - IDM FRANCE,400,Top Volume
Green,Bulgaria,Bourgas,PMI,MARLBORO,122892,MARLBORO - GOLD (3.5) KS RCB - ENGLISH GHW TPD2 DF - IDM BULGARIA,200,Top Volume
Green,Bulgaria,Bourgas,PMI,MARLBORO,125437,MARLBORO - RED 3.5 KS BOX - ENGLISH GHW TPD2 DF - IDM BULGARIA,200,Top Volume
Green,Great Britain,Bournemouth,PMI,MARLBORO,122749,MARLBORO - GOLD (2.0 ORIGINAL) KS RCB 400 TRANSPARENT BUNDLE - UNITED KINGDOM DF - IDM UNITED KINGDOM,400,Top Volume
Green,Great Britain,Bournemouth,PMI,MARLBORO,125044,MARLBORO - GOLD (2.0 ORIGINAL) KS RCB TRANSPARENT BUNDLE - UNITED KINGDOM DF - IDM UNITED KINGDOM,200,Top Volume
Green,Brazil,Brasilia,PMI,MARLBORO,139307,MARLBORO - GOLD (3.5) KS RCB 600 SPECIAL OUTER - GENERIC DF-ENG TXT - ALTERNATIVE,600,Top Volume
Green,Brazil,Brasilia,PMI,MARLBORO,125840,MARLBORO - RED 3.5 KS BOX 600 SPECIAL OUTER - GENERIC DF-ENG TXT,600,Top Volume
Green,Brazil,Brasilia,PMI,MARLBORO,142119,MARLBORO - GOLD (3.5) KS RCB 400 TRANSPARENT BUNDLE - GENERIC DF-ENG TXT - ALTERNATIVE,400,Top Volume
Green,Germany,Bremen,PMI,MARLBORO,123063,MARLBORO - GOLD (3.5) KS BOX - ENGLISH GHW TPD2 DF - IDM GERMANY,200,Top Volume
