DF_Market,Location,Flavor,Taste,Thickness,Length,Comp_Seg_SKU,Comp_Total,SoM_Comp,PMI_Seg_SKU,PMI Total,SoM_PMI,$current_year Volume,SKU_Delta
China,Yantai Penglai,Regular,Full Flavor,STD,KS,56,73,76.712329000000,4,9,44.444444000000,2473721,-32.267885000000
Germany,Bremen,Regular,Lights,STD,KS,3,11,27.272727000000,0,0,0.000000000000,157400,-27.272727000000
China,Jinan Xiaoqiang,Menthol,Full Flavor,STD,KS,3,73,4.109589000000,2,12,16.666667000000,45831,12.557078000000
Colombia,Cali,Regular,Full Flavor,SLI,KS,0,0,0.000000000000,4,29,13.793103000000,2070484,13.793103000000
Tunisia,Enfidha,Menthol Caps,Full Flavor,SSL,100,1,50,2.000000000000,0,0,0.000000000000,4200,-2.000000000000
Great Britain,London Gatwick,Regular,Full Flavor,SLI,KS,0,0,0.000000000000,2,6,33.333333000000,21326000,33.333333000000
China,Hefei Xinqiao,NTD Caps,Full Flavor,SSL,100,1,73,1.369863000000,0,0,0.000000000000,14799,-1.369863000000
Guadalupe,Pointe-a-Pitre,Menthol,Full Flavor,SSL,KS,1,20,5.000000000000,0,0,0.000000000000,20000,-5.000000000000
China,Yinchuan Hedong,Menthol,Full Flavor,SLI,100,1,73,1.369863000000,0,0,0.000000000000,150,-1.369863000000
Panama,Panama Tocumen,NTD Caps,Full Flavor,STD,KS,3,20,15.000000000000,2,28,7.142857000000,1308200,-7.857143000000
Lebanon,Beirut - Rafik Hariri,NTD Caps,Full Flavor,STD,KS,0,0,0.000000000000,7,36,19.444444000000,5940400,19.444444000000
China,Wuxi Shuofang,Menthol Caps,Full Flavor,STD,KS,0,0,0.000000000000,4,9,44.444444000000,164600,44.444444000000
Turkey,Samsun Airport,Regular,Full Flavor,STD,LONGER THAN KS,2,70,2.857143000000,0,0,0.000000000000,7200,-2.857143000000
France,Montpellier,Regular,Lights,STD,KS,0,0,0.000000000000,1,11,9.090909000000,28000,9.090909000000
Indonesia,Ngurah Rai,Menthol,Full Flavor,STD,KS,1,73,1.369863000000,0,0,0.000000000000,5600,-1.369863000000
China,Xiamen Gaoqi,Menthol,Full Flavor,SSL,100,1,73,1.369863000000,0,0,0.000000000000,282246,-1.369863000000
Spain,Bilbao,Regular,Full Flavor,STD,KS,15,23,65.217391000000,5,7,71.428571000000,2405600,6.211180000000
Jamaica,Kingston,Menthol Caps,Full Flavor,STD,KS,0,0,0.000000000000,1,15,6.666667000000,69376,6.666667000000
Germany,Cologne,Regular,Full Flavor,SLI,KS,0,0,0.000000000000,3,8,37.500000000000,1928789,37.500000000000
Turkey,Kayseri Airport,Regular,Lights,STD,KS,4,47,8.510638000000,0,0,0.000000000000,331600,-8.510638000000
China,Xuzhou Guanyin,Regular,Full Flavor,STD,KS,54,70,77.142857000000,2,8,25.000000000000,81628,-52.142857000000
Kenya,Jomo Kenyatta,Regular,Lights,STD,KS,4,36,11.111111000000,0,0,0.000000000000,761800,-11.111111000000
Philippines,Manila - Ninoy Aquino,Menthol Caps,Full Flavor,STD,KS,0,0,0.000000000000,1,3,33.333333000000,846000,33.333333000000
Tunisia,Enfidha,Regular,Full Flavor,STD,100,3,50,6.000000000000,0,0,0.000000000000,13800,-6.000000000000
Morocco,Nador,Regular,Full Flavor,SLI,KS,0,0,0.000000000000,1,26,3.846154000000,45200,3.846154000000
Turkey,Antalya Gazipasa Airport,Menthol,Full Flavor,STD,KS,2,49,4.081633000000,0,0,0.000000000000,66400,-4.081633000000
Canary Islands,Fuerteventura,Regular,Full Flavor,SLI,KS,0,0,0.000000000000,3,8,37.500000000000,18963800,37.500000000000
Hong Kong,Hong Kong,Regular,Full Flavor,STD,LONGER THAN KS,1,42,2.380952000000,0,0,0.000000000000,41164000,-2.380952000000
Caribbean Other,Kralendijk (Bonaire),Regular,Full Flavor,SLI,KS,0,0,0.000000000000,3,11,27.272727000000,816944,27.272727000000
Italy,Palermo,Regular,Full Flavor,SLI,100,1,10,10.000000000000,0,0,0.000000000000,15800,-10.000000000000
Canary Islands,Fuerteventura,Regular,Full Flavor,SSL,100,2,42,4.761905000000,0,0,0.000000000000,119800,-4.761905000000
Brazil,Belo Horizonte,Regular,Full Flavor,SLI,KS,0,0,0.000000000000,4,20,20.000000000000,162400,20.000000000000
China,Wenzhou Longwan,NTD Caps,Full Flavor,STD,KS,1,73,1.369863000000,2,9,22.222222000000,152239,20.852359000000
China,Wuhan Tianhe,Menthol,Full Flavor,SSL,100,1,73,1.369863000000,0,0,0.000000000000,121314,-1.369863000000
Brazil,Sao Paulo - Guarulhos,Menthol,Full Flavor,STD,KS,1,39,2.564103000000,1,21,4.761905000000,2393800,2.197802000000
Norway,Oslo,Regular,Full Flavor,SSL,KS,1,18,5.555556000000,0,0,0.000000000000,1904400,-5.555556000000
Gibraltar,Gibraltar,Regular,Full Flavor,STD,KS,0,0,0.000000000000,7,8,87.500000000000,3609030,87.500000000000
Spain DP,Ibiza,Regular,Lights,STD,100,1,41,2.439024000000,0,0,0.000000000000,950800,-2.439024000000
Albania,Tirana,Regular,Full Flavor,SSL,100,13,81,16.049383000000,0,0,0.000000000000,14235400,-16.049383000000
Curazao,Curacao,Regular,Full Flavor,SLI,KS,0,0,0.000000000000,3,24,12.500000000000,7023520,12.500000000000
China,Xian Xianyang,Menthol,Full Flavor,STD,KS,3,73,4.109589000000,2,16,12.500000000000,438529,8.390411000000
Morocco,Nador,Menthol Caps,Full Flavor,STD,KS,0,0,0.000000000000,2,26,7.692308000000,136800,7.692308000000
France,Nice,Regular,Full Flavor,SLI,KS,0,0,0.000000000000,2,14,14.285714000000,7118000,14.285714000000
Spain DP,Gerona,Regular,Full Flavor,SLI,KS,0,0,0.000000000000,1,9,11.111111000000,91600,11.111111000000
Mongolia,Ulaanbaatar,Regular,Full Flavor,SSL,100,6,49,12.244898000000,0,0,0.000000000000,1084800,-12.244898000000
Oman,Muscat,Regular,Full Flavor,STD,KS,0,0,0.000000000000,22,34,64.705882000000,36656200,64.705882000000
Great Britain,Jersey,Regular,Full Flavor,STD,100,1,4,25.000000000000,0,0,0.000000000000,330400,-25.000000000000
Turkey,Denizli Cardak Airport,Regular,Full Flavor,STD,100,3,23,13.043478000000,0,0,0.000000000000,2400,-13.043478000000
Germany,Berlin Brandenburg,Regular,Full Flavor,STD,KS,19,24,79.166667000000,9,13,69.230769000000,18085400,-9.935898000000
Tunisia,Jerba,Regular,Full Flavor,STD,100,4,63,6.349206000000,0,0,0.000000000000,180000,-6.349206000000
Dominican Republic,Puerto Plata,Menthol,Full Flavor,SSL,100,1,27,3.703704000000,0,0,0.000000000000,251600,-3.703704000000
Canary Islands,Lanzarote,Regular,Full Flavor,STD,KS,29,42,69.047619000000,5,8,62.500000000000,54992600,-6.547619000000
Spain DP,Murcia,Regular,Lights,STD,KS,4,18,22.222222000000,0,0,0.000000000000,932000,-22.222222000000
France,Beauvais,Regular,Full Flavor,STD,KS,10,13,76.923077000000,6,8,75.000000000000,1550400,-1.923077000000
Great Britain,Cardiff,Regular,Full Flavor,STD,KS,11,21,52.380952000000,4,6,66.666667000000,1514800,14.285715000000
Nigeria,Lagos,Regular,Lights,STD,KS,3,29,10.344828000000,0,0,0.000000000000,125400,-10.344828000000
Ivory Coast,Abidjan,Regular,Lights,STD,KS,3,34,8.823529000000,0,0,0.000000000000,595400,-8.823529000000
Saudi Arabia,RIYADH,Regular,Full Flavor,SSL,KS,1,41,2.439024000000,0,0,0.000000000000,284800,-2.439024000000
China,Qingdao Liuting,Regular,Full Flavor,SSL,100,4,73,5.479452000000,0,0,0.000000000000,514025,-5.479452000000
Brazil,Salvador,Regular,Full Flavor,STD,KS,13,22,59.090909000000,9,15,60.000000000000,1110800,0.909091000000
Germany,Bremen,Regular,Full Flavor,SLI,KS,0,0,0.000000000000,1,4,25.000000000000,73800,25.000000000000
China,Shanghai Pudong,Regular,Full Flavor,STD,100,2,71,2.816901000000,0,0,0.000000000000,5072932,-2.816901000000
Spain DP,Bilbao,Regular,Ultralights,STD,KS,1,23,4.347826000000,0,0,0.000000000000,26800,-4.347826000000
Spain,Barcelona,Regular,Full Flavor,SLI,KS,0,0,0.000000000000,1,9,11.111111000000,25258000,11.111111000000
Saudi Arabia,RIYADH,NTD Caps,Full Flavor,STD,100,1,41,2.439024000000,0,0,0.000000000000,17155600,-2.439024000000
Dominican Republic,Santiago Cibao,Regular,Full Flavor,SLI,KS,0,0,0.000000000000,4,16,25.000000000000,4566000,25.000000000000
Tunisia,Enfidha,Regular,Lights,STD,100,1,50,2.000000000000,0,0,0.000000000000,5200,-2.000000000000
Iraq,Basrah,NTD Caps,Full Flavor,STD,KS,0,0,0.000000000000,5,20,25.000000000000,1200000,25.000000000000
Angola,Luanda,Regular,Full Flavor,STD,KS,0,0,0.000000000000,2,6,33.333333000000,210000,33.333333000000
Bosnia-Herzegovinia,Banja Luka,Regular,Full Flavor,SSL,KS,1,14,7.142857000000,0,0,0.000000000000,14440,-7.142857000000
