DF_Market,Location,Flavor,Taste,Thickness,Length,Comp_Seg_SKU,Comp Total,SoM_Comp
Great Britain,Southampton,Regular,Full Flavor,STD,100,1,27,3.703704000000
Mexico,Mazatlan,Menthol,Full Flavor,SSL,100,2,19,10.526316000000
Netherlands,Rotterdam,Regular,Lights,STD,KS,2,6,33.333333000000
Russia,Krasnoyarsk,Regular,Full Flavor,STD,KS,14,19,73.684211000000
Tunisia,Enfidha,Regular,Full Flavor,SSL,100,3,50,6.000000000000
Great Britain,Southampton,Regular,Lights,STD,KS,4,27,14.814815000000
Taiwan,Everrich Downtown Kinmen,Menthol,Full Flavor,SSL,100,3,27,11.111111000000
Japan,Chubu,NTD Caps,Full Flavor,STD,KS,8,106,7.547170000000
Kenya,Jomo Kenyatta,NTD Caps,Full Flavor,STD,KS,1,36,2.777778000000
South Korea,Daegu,Regular,Lights,SSL,100,1,80,1.250000000000
Saudi Arabia,DAMMAM,NTD Caps,Full Flavor,STD,KS,2,37,5.405405000000
Turkey,Cukurova Airport,Regular,Full Flavor,STD,KS,33,65,50.769231000000
China,Hohhot Baita,Regular,Full Flavor,STD,LONGER THAN KS,1,73,1.369863000000
Spain DP,Granada,Regular,Lights,STD,KS,2,7,28.571429000000
Saudi Arabia,Jeddah,Regular,Full Flavor,SSL,100,4,36,11.111111000000
China,Urumchi Diwobao,Regular,Lights,STD,KS,2,73,2.739726000000
Turkey,Istanbul Asia Airport,Regular,Full Flavor,STD,KS,49,102,48.039216000000
Morocco,Marrakech,Regular,Lights,STD,KS,6,84,7.142857000000
Great Britain,Leeds Bradford,Regular,Lights,STD,KS,3,23,13.043478000000
Indonesia,Soekarno Hatta,Regular,Full Flavor,SSL,100,2,19,10.526316000000
Spain,Palma De Mallorca,Regular,Lights,STD,KS,9,48,18.750000000000
Spain,Santiago De Compostela,Regular,Lights,STD,KS,4,23,17.391304000000
China,Kunming Wujiaba,NTD Caps,Full Flavor,STD,KS,1,73,1.369863000000
Taiwan,Kaohsiung,Menthol Caps,Full Flavor,STD,KS,1,27,3.703704000000
Japan,Chubu,Regular,Full Flavor,STD,100,1,106,0.943396000000
Great Britain,Manchester,Menthol,Full Flavor,STD,KS,2,30,6.666667000000
China,Chongqing Jiangbei,NTD Caps,Full Flavor,STD,KS,1,73,1.369863000000
Great Britain,London City,NTD Caps,Full Flavor,STD,KS,1,17,5.882353000000
Canary Islands,La Palma,Regular,Full Flavor,STD,KS,28,41,68.292683000000
China,Beijing,Regular,Lights,STD,KS,2,71,2.816901000000
Dominican Republic,Samana El Catey,NTD Caps,Full Flavor,STD,KS,2,13,15.384615000000
Mexico,Cozumel,Regular,Lights,STD,KS,2,29,6.896552000000
China,Nanning Wuxu,NTD Caps,Full Flavor,STD,KS,1,69,1.449275000000
Spain,Valencia,Regular,Lights,STD,KS,8,42,19.047619000000
Great Britain,Birmingham,Regular,Full Flavor,SSL,100,2,32,6.250000000000
Germany,Hannover,Regular,Lights,STD,KS,2,21,9.523810000000
China,Changsha Huanghua,Menthol,Full Flavor,SLI,100,1,73,1.369863000000
Greece,Thessaloniki,Regular,Lights,STD,100,2,36,5.555556000000
China,Shanghai Pudong,Regular,Lights,STD,KS,2,71,2.816901000000
Great Britain,Aberdeen,Regular,Full Flavor,STD,100,1,23,4.347826000000
Great Britain,London Heathrow,Regular,Lights,STD,KS,6,31,19.354839000000
Kuwait,Kuwait,Regular,Lights,STD,LONGER THAN KS,1,59,1.694915000000
Peru,Lima,Regular,Full Flavor,STD,KS,37,56,66.071429000000
France DP,Chambery,Regular,Full Flavor,SSL,100,1,6,16.666667000000
Poland,Elblag,Regular,Lights,STD,KS,3,7,42.857143000000
Greece,Zakynthos,Regular,Lights,STD,100,2,35,5.714286000000
Bulgaria,Sofia,Regular,Lights,STD,KS,7,32,21.875000000000
