Location,DF_Market,Flavor,Taste,Thickness,Length,DF_Vol,Real_So_Segment,Ideal_So_Segment,Delta_SoS
Reus,Spain,Regular,Full Flavor,SLI,LONGER THAN KS,0.000000,0.000000000000,0.001688440465,0.001688440465
Glasgow,Great Britain,Regular,Full Flavor,SSL,100,82.200000,0.002772736779,0.021644006556,0.018871269777
Weeze,Germany,Regular,Full Flavor,STD,LONG SIZE,0.000000,0.000000000000,0.007102240719,0.007102240719
Merida,Mexico,Menthol Caps,Lights,STD,100,0.000000,0.000000000000,0.075689628375,0.075689628375
Panama Tocumen,Panama,Menthol Caps,Lights,STD,100,0.000000,0.000000000000,0.010272157242,0.010272157242
Hamilton,Bermuda,Regular,1mg,STD,KS,0.000000,0.000000000000,0.004113992254,0.004113992254
Gerona,Spain,Regular,Lights,SLI,KS,0.000000,0.000000000000,0.011641211810,0.011641211810
Zaragoza,Spain,Regular,Full Flavor,SSL,LONGER THAN KS,0.000000,0.000000000000,0.023830379508,0.023830379508
DAMMAM,Saudi Arabia,Regular,Full Flavor,STD,REGULAR SIZE,0.000000,0.000000000000,0.069950146339,0.069950146339
Mahon Airport,Spain,Regular,Lights,STD,REGULAR SIZE,0.000000,0.000000000000,0.007969840672,0.007969840672
Oulu,Finland,Regular,Ultralights,SLI,KS,0.000000,0.000000000000,0.001152279059,0.001152279059
Liberia,Costa Rica,Regular,Ultralights,SLI,KS,0.000000,0.000000000000,0.003090308428,0.003090308428
Zaragoza,Spain,Regular,Lights,STD,LONGER THAN KS,0.000000,0.000000000000,0.002082648934,0.002082648934
Khabarovsk,Russia,Regular,Ultralights,SLI,KS,0.000000,0.000000000000,0.007488626922,0.007488626922
Bariloche,Argentina,Menthol Caps,Ultralights,STD,100,0.000000,0.000000000000,0.003951622786,0.003951622786
Komatsu,Japan,Menthol,Full Flavor,STD,100,0.000000,0.000000000000,0.003438970338,0.003438970338
Wenzhou Longwan,China,Menthol Caps,Lights,SLI,KS,0.000000,0.000000000000,0.001895363247,0.001895363247
Trondheim,Norway,Regular,Full Flavor,STD,KS,2240.600000,0.767381327488,0.460175480894,-0.307205846594
Saskatoon,Canada,Regular,Full Flavor,SSL,100,0.000000,0.000000000000,0.001571825278,0.001571825278
Victoria,Canada,Regular,Full Flavor,STD,100,0.000000,0.000000000000,0.009575468312,0.009575468312
Baghdad,Iraq,Regular,1mg,STD,KS,0.000000,0.000000000000,0.001232120338,0.001232120338
Trieste,Italy,Regular,1mg,STD,KS,0.000000,0.000000000000,0.004332639590,0.004332639590
Bodo,Norway,Regular,Full Flavor,STD,REGULAR SIZE,0.000000,0.000000000000,0.006580695215,0.006580695215
Memmingen,Germany,Regular,Full Flavor,STD,LONGER THAN KS,0.000000,0.000000000000,0.004686624540,0.004686624540
Juba (inactive),Sudan,Regular,Ultralights,STD,KS,0.000000,0.000000000000,0.007384928338,0.007384928338
Cordoba,Argentina,Menthol Caps,Full Flavor,STD,KS,0.000000,0.000000000000,0.140099073439,0.140099073439
Barranquilla,Colombia,Menthol Caps,Lights,STD,100,0.000000,0.000000000000,0.045971716367,0.045971716367
St. Petersburg Pulkovo,Russia,Menthol Caps,Lights,STD,KS,0.000000,0.000000000000,0.001100247723,0.001100247723
Los Cabos,Mexico,Regular,Lights,STD,REGULAR SIZE,0.000000,0.000000000000,0.001994697651,0.001994697651
Nanning Wuxu,China,Regular,Ultralights,SLI,KS,0.000000,0.000000000000,0.017416369033,0.017416369033
Merida,Mexico,Regular,Ultralights,SLI,KS,0.000000,0.000000000000,0.001162067783,0.001162067783
Fortaleza,Brazil,Menthol Caps,Ultralights,STD,KS,0.000000,0.000000000000,0.001446273516,0.001446273516
Juba (inactive),Sudan,Regular,Ultralights,SLI,KS,0.000000,0.000000000000,0.002824143817,0.002824143817
Changzhou Benniu,China,Menthol Caps,Lights,STD,KS,0.000000,0.000000000000,0.009399661534,0.009399661534
Hokkaido,Japan,NTD,Full Flavor,STD,100,0.000000,0.000000000000,0.001404289288,0.001404289288
Rome Fiumicino,Italy,Regular,Ultralights,STD,LONGER THAN KS,0.000000,0.000000000000,0.001282207260,0.001282207260
Larnaca,Cyprus,Regular,Full Flavor,SSL,100,0.000000,0.000000000000,0.078967807760,0.078967807760
Viracopos,Brazil,Regular,Full Flavor,SLI,KS,526.400000,0.269175700552,0.000501689829,-0.268674010723
Istanbul Asia Airport,Turkey,Regular,Ultralights,STD,100,0.000000,0.000000000000,0.002255451289,0.002255451289
Acapulco,Mexico,Regular,Full Flavor,STD,100,0.000000,0.000000000000,0.012823929461,0.012823929461
Barranquilla,Colombia,Menthol,Ultralights,STD,KS,0.000000,0.000000000000,0.026991094718,0.026991094718
Madrid Barajas,Spain,Regular,Lights,SSL,100,0.000000,0.000000000000,0.011729530283,0.011729530283
Dubrovnik,Croatia,Menthol Caps,Full Flavor,STD,KS,0.000000,0.000000000000,0.009488601364,0.009488601364
Douala,Cameroon,Menthol Caps,Full Flavor,STD,KS,0.000000,0.000000000000,0.004636582738,0.004636582738
Dushanbe,Tajikistan,Menthol Caps,Full Flavor,STD,REGULAR SIZE,0.000000,0.000000000000,0.004439108546,0.004439108546
Moscow - Sheremetyevo,Russia,Regular,Ultralights,STD,KS,0.000000,0.000000000000,0.023953956025,0.023953956025
Tokyo - Narita,Japan,Menthol,Ultralights,STD,100,0.000000,0.000000000000,0.002082714373,0.002082714373
George Town,Cayman Island,Regular,Lights,STD,REGULAR SIZE,0.000000,0.000000000000,0.002496861419,0.002496861419
Stockholm Arlanda,Sweden,Regular,Ultralights,SLI,KS,0.000000,0.000000000000,0.004169212247,0.004169212247
Hong Kong,Hong Kong,NTD,Full Flavor,SSL,100,0.000000,0.000000000000,0.008230191921,0.008230191921
Moscow - Domodedovo,Russia,Regular,1mg,SSL,100,0.000000,0.000000000000,0.001177157599,0.001177157599
Huangshan Tunxi,China,Menthol Caps,1mg,STD,KS,0.000000,0.000000000000,0.006949578066,0.006949578066
Kaohsiung,Taiwan,Regular,Ultralights,STD,100,0.000000,0.000000000000,0.002213837427,0.002213837427
Singapore - Changi,Singapore,Regular,Full Flavor,SLI,LONGER THAN KS,0.000000,0.000000000000,0.008579606578,0.008579606578
Chattrapati Shivaji,India,Regular,Full Flavor,SLI,LONGER THAN KS,0.000000,0.000000000000,0.001260802938,0.001260802938
Valencia,Spain,Regular,Full Flavor,SLI,100,0.000000,0.000000000000,0.002488705133,0.002488705133
Samara,Russia,Regular,Full Flavor,SSL,100,0.000000,0.000000000000,0.066397951626,0.066397951626
Baku,Azerbaijan,Regular,Full Flavor,STD,100,0.000000,0.000000000000,0.034569701327,0.034569701327
Warsaw,Poland,Regular,Ultralights,STD,100,0.000000,0.000000000000,0.001318072207,0.001318072207
Gothenburg,Sweden,Menthol,Full Flavor,STD,KS,0.000000,0.000000000000,0.002760388863,0.002760388863
Ras El Khaymah,United Arab Emirates,Regular,1mg,STD,KS,184.800000,0.012224162565,0.001498897858,-0.010725264707
Chisinau,Moldova,Regular,Lights,SSL,100,0.000000,0.000000000000,0.031304551671,0.031304551671
Burkina Faso,Burkina Faso,Regular,Full Flavor,SSL,KS,0.000000,0.000000000000,0.008021954827,0.008021954827
Xiamen Gaoqi,China,Regular,Lights,STD,100,0.000000,0.000000000000,0.001661723033,0.001661723033
Palermo,Italy,Menthol Caps,Lights,STD,KS,0.000000,0.000000000000,0.001336766430,0.001336766430
Merida,Mexico,Menthol,Full Flavor,STD,100,0.000000,0.000000000000,0.002304961449,0.002304961449
Kaohsiung,Taiwan,Regular,1mg,STD,KS,0.000000,0.000000000000,0.011841401736,0.011841401736
Oita,Japan,Regular,Lights,STD,KS,0.000000,0.000000000000,0.037351616141,0.037351616141
Bydgoszcz,Poland,Regular,Lights,STD,LONGER THAN KS,0.000000,0.000000000000,0.001433106058,0.001433106058
Copenhagen,Denmark,Regular,1mg,STD,100,0.000000,0.000000000000,0.001628211971,0.001628211971
Ningbo Lishe,China,Menthol Caps,1mg,STD,KS,0.000000,0.000000000000,0.009984406680,0.009984406680
Hiroshima,Japan,Regular,Ultralights,SLI,KS,0.000000,0.000000000000,0.009014889239,0.009014889239
Cozumel,Mexico,NTD,Ultralights,STD,100,0.000000,0.000000000000,0.012185790078,0.012185790078
Panama Tocumen,Panama,Regular,Lights,STD,KS,235.000000,0.016607304387,0.240719161187,0.224111856800
San Jose,Costa Rica,Menthol,Lights,STD,KS,0.000000,0.000000000000,0.011454577485,0.011454577485
Anna,India,Menthol,Lights,STD,KS,0.000000,0.000000000000,0.004471083620,0.004471083620
Paris Charles De Gaulle,France DP,Menthol,Full Flavor,STD,KS,0.000000,0.000000000000,0.002804702576,0.002804702576
Vigo,Spain,Regular,Full Flavor,SLI,KS,62.400000,0.089552238806,0.002139630523,-0.087412608283
Vigo,Spain DP,Regular,Full Flavor,SLI,KS,62.400000,0.089552238806,0.002139630523,-0.087412608283
Yinchuan Hedong,China,Regular,Full Flavor,STD,100,3.812000,0.004730367795,0.017796585853,0.013066218058
Jaipur,India,Regular,Lights,SLI,KS,0.000000,0.000000000000,0.031501305859,0.031501305859
Tirstrup,Denmark,Regular,Full Flavor,SSL,KS,0.000000,0.000000000000,0.001943630734,0.001943630734
Coimbatore,India,Regular,Full Flavor,SLI,KS,0.000000,0.000000000000,0.001502606403,0.001502606403
Ashgabat,Turkmenistan,Menthol Caps,Full Flavor,STD,REGULAR SIZE,0.000000,0.000000000000,0.001685415559,0.001685415559
Hyderabad,India,Menthol,Full Flavor,STD,100,0.000000,0.000000000000,0.008367947670,0.008367947670
Darwin,Australia,Regular,Full Flavor,SLI,LONGER THAN KS,0.000000,0.000000000000,0.011743446796,0.011743446796
Zhengzhou Xinzheng,China,Menthol Caps,Ultralights,STD,KS,0.000000,0.000000000000,0.002177544677,0.002177544677
Muscat,Oman,Menthol,Lights,STD,100,0.000000,0.000000000000,0.001387368049,0.001387368049
Zia,Bangladesh,Menthol,Lights,STD,100,0.000000,0.000000000000,0.001155923506,0.001155923506
Tripoli,Libya,Regular,1mg,STD,KS,0.000000,0.000000000000,0.001432395119,0.001432395119
Nanning Wuxu,China,Regular,Ultralights,STD,LONG SIZE,0.000000,0.000000000000,0.001481525009,0.001481525009
Yiwu,China,Menthol,Lights,SLI,KS,0.000000,0.000000000000,0.010003060018,0.010003060018
Zurich,Switzerland,Regular,Ultralights,STD,LONGER THAN KS,0.000000,0.000000000000,0.002400970592,0.002400970592
Oran,Algeria,Regular,Full Flavor,SSL,100,0.000000,0.000000000000,0.027754244247,0.027754244247
Jersey,Great Britain,Regular,Full Flavor,STD,100,330.400000,0.038388251150,0.061621125314,0.023232874164
Dushanbe,Tajikistan,Regular,Lights,STD,100,0.000000,0.000000000000,0.007973158517,0.007973158517
Vienna,Austria,Regular,Lights,STD,100,1681.200000,0.026395033740,0.046388725015,0.019993691275
Phnom Penh,Cambodia,Menthol Caps,Full Flavor,SLI,100,0.000000,0.000000000000,0.001825830322,0.001825830322
Fuzhou Changle,China,Regular,Lights,SLI,KS,0.000000,0.000000000000,0.018301177110,0.018301177110
Almeria,Spain DP,Regular,Lights,STD,LONGER THAN KS,0.000000,0.000000000000,0.001101425820,0.001101425820
Ushuaia,Argentina,Regular,1mg,STD,KS,0.000000,0.000000000000,0.008316381103,0.008316381103
Busan - Kimhae,South Korea,Menthol,Lights,SLI,KS,0.000000,0.000000000000,0.004560756308,0.004560756308
Qingdao Liuting,China,Regular,1mg,MAG,REGULAR SIZE,0.000000,0.000000000000,0.001176576278,0.001176576278
Kota Kinabalu,Malaysia,Regular,Lights,STD,LONG SIZE,0.000000,0.000000000000,0.010941097974,0.010941097974
Gabon,Gabon,Regular,Full Flavor,STD,KS,3385.400000,0.635397897898,0.428905946424,-0.206491951474
Kaunas,Lithuania,Regular,Ultralights,STD,LONGER THAN KS,0.000000,0.000000000000,0.019835706956,0.019835706956
Port-au-Prince (Haiti),Caribbean Other,Menthol,Lights,STD,KS,0.000000,0.000000000000,0.008073703780,0.008073703780
Almaty,Kazakhstan,Regular,Full Flavor,STD,100,0.000000,0.000000000000,0.015217606203,0.015217606203
Haugesund,Norway,Regular,1mg,STD,KS,0.000000,0.000000000000,0.005694497672,0.005694497672
Malaga,Spain DP,Regular,Lights,SLI,KS,0.000000,0.000000000000,0.012879669773,0.012879669773
Yingsheng,China,Regular,Lights,STD,100,0.000000,0.000000000000,0.004508488349,0.004508488349
Cartagena de Indias,Colombia,Menthol,Full Flavor,STD,100,0.000000,0.000000000000,0.007278955724,0.007278955724
Huangshan Tunxi,China,Menthol Caps,Lights,STD,KS,0.000000,0.000000000000,0.009982141047,0.009982141047
