SKU,Item per Bundle,CR_BrandId,DF_Market,Location,TMO
DUNHILL - (GOLD) KS BOX,600,50827,Jordan,Amman,BAT
L&M - RED LABEL (5.0 CWB) KS BOX 400 TRANSPARENT BUNDLE - ENGLISH GHW TPD2 DF - IDM GERMANY,400,124240,Germany,Frankfurt,PMI
MARLBORO - (GOLD 3.0) KS RCB WHITE - JAPAN DF,200,113865,Japan,Tokyo - Narita,PMI
PUEBLO - KS BOX,200,55812,Italy,Venice,POESCHL TABAK
RAISON - FRENCH BLACK KS BOX C,200,102693,South Korea,Incheon,KT & G
DAVIDOFF - (WHITE) KS BOX,600,70865,Turkey,Cukurova Airport,IMPERIAL BRANDS
PANDA - KS BOX,200,51675,South Korea,Incheon,CHINA NATIONAL
KARELIA - SLIMS (BLUE) 100's BOX SLIMS,200,53451,China,Hangzhou Xiaoshan,KARELIA TOBACCO
MARLBORO - RED 3.5 KS BOX 400 - GENERIC DF-ENG TXT,400,125841,Mexico,Cancun,PMI
MARLBORO - (RED FWD) KS BOX 400 - NORTH AFRICA DF,400,100605,Morocco,Rabat,PMI
MEVIUS - ONE 100's RCB,200,88920,Japan,Tokyo - Narita,JTI
WINSTON - BLUE 100's BOX SUPERSLIMS,200,54235,Turkey,Bodrum Airport,JTI
MARLBORO - SILVER BLUE (3.5) KS RCB WHITE - GENERIC DF-ENG TXT,200,139312,Colombia,Bogota,PMI
MARLBORO - BLOSSOM FUSION MENTHOL KS RCS C CHI WHITE - GENERIC DF-ENG TXT,200,125312,Morocco,Nador,PMI
ROTHMANS - (BLUE) KS BOX,200,46008,France,Toulouse,BAT
PHILIP MORRIS - KS BOX TRANSPARENT BUNDLE - SPAIN DF - IDM SPAIN,200,122429,Spain,Madrid Barajas,PMI
STERLING - DUAL KS BOX C,400,99392,Great Britain,London Heathrow,JTI
SOVEREIGN - KS BOX,400,44887,Great Britain,Leeds Bradford,JTI
RICHMOND - SUPERKINGS 100's BOX,400,44644,Great Britain,London Heathrow,IMPERIAL BRANDS
VOGUE - BLEU 100's BOX SLIMS,200,50530,Nigeria,Lagos,BAT
CAMEL - LIGHTS KS BOX,200,43025,South Africa,Johannesburg,JTI
DOUBLE HAPPINESS - (RED-GOLD) KS BOX,200,52061,China,Shenyang Taoxian,CHINA NATIONAL
PALL MALL - NEW ORLEANS KS BOX C,600,88041,Macedonia,Skopje,BAT
RICHMOND - KS BOX,200,44637,Portugal,Madeira,IMPERIAL BRANDS
L&M - RED LABEL (5.0 CWB) KS RCB - GENERIC DF-ENG TXT - ALTERNATIVE,200,139319,Egypt,Aswan,PMI
NATURAL AMERICAN SPIRIT - (ORANGE) KS BOX,200,92510,Mexico,Puerto Vallarta,JTI
L&M - BLUE LABEL KS RCB 600 TRANSPARENT BUNDLE WHITE - UAE DF,600,120054,United Arab Emirates,Sharjah,PMI
MARLBORO - (RED FWD) KS BOX 600 SPECIAL OUTER - FRANCE DF GHW-FR05 - IDM FRANCE,600,122774,France,Bordeaux,PMI
KARELIA - SLIMS (BLUE) 100's BOX SLIMS,200,53451,Greece,Santorini,KARELIA TOBACCO
CHESTERFIELD - ORIGINAL (4.0) KS BOX - ITALY DF - IDM ITALY,200,123372,Italy,Bergamo,PMI
LAMBERT & BUTLER - KS BOX,200,43912,Great Britain,London Heathrow,IMPERIAL BRANDS
MARLBORO - (RED FWD) KS BOS - SINGAPORE DF,200,122554,Singapore,Singapore - Changi,PMI
CAMEL - ACTIVATE (BLUE) KS CURVE PACK C,200,91604,Tunisia,Tunis,JTI
BENSON & HEDGES - GOLD KS BOX,400,42846,Gabon,Gabon,BAT
WINSTON - (RED) 100's BOX,200,56994,French Guyana,Cayenne,JTI
MARLBORO - (GOLD 3.0) 100's RCB WHITE - LA&CANADA DF-ENG TXT,200,113618,Guatemala,Guatemala City,PMI
LD - BLUE KS BOX,200,50139,Russia,Makhachkala,JTI
WINSTON - WHITE KS BOX,200,54580,Switzerland,Geneva,JTI
LAMBERT & BUTLER - KS BOX,400,43912,Bahrain,Manama,IMPERIAL BRANDS
MEVIUS - ORIGINAL 10 KS SOFT,200,106769,Japan,Fukuoka,JTI
MARLBORO - RED 3.5 KS BOX - ENGLISH GHW TPD2 DF - IDM GERMANY,200,125532,Germany,Munster-Osnabruck,PMI
CAMEL - (YELLOW) KS BOX,200,49844,Italy,Palermo,JTI
LAMBERT & BUTLER - BLUE KS BOX,600,96896,Great Britain,Exeter,IMPERIAL BRANDS
LUCKY STRIKE - ORIGINAL RED KS BOX,400,51260,Turkey,Kayseri Airport,BAT
DAVIDOFF - GOLD KS BOX,400,88458,Tunisia,Jerba,IMPERIAL BRANDS
GLAMOUR - MENTHOL 100's L-STICK BOX SUPERSLIMS,200,54225,Brazil,Viracopos,JTI
MARLBORO - GOLD (3.5) KS RCB 400 TRANSPARENT BUNDLE - ENGLISH GHW TPD2 DF - IDM POLAND,400,123059,Poland,Radom,PMI
MARLBORO - FUSION BLAST 5 MENTHOL KS BOX C WHITE - JAPAN DF,200,118652,Japan,Naha,PMI
DAVIDOFF - CLASSIC 90's OCTAGONAL PACK,400,43247,Greece,Zakynthos,IMPERIAL BRANDS
LUCKY STRIKE - ORIGINAL RED KS BOX,600,51260,Brazil,Salvador,BAT
MARLBORO - DOUBLE FUSION PURPLE MENTHOL KS RCB C WHITE - TURKEY DF,200,141714,Turkey,Diyarbakir Airport,PMI
MAYFAIR - SKY BLUE KS BOX,200,46686,Spain DP,Murcia,JTI
NATURAL AMERICAN SPIRIT - MENTHOL ONE MENTHOL KS BOX,200,95067,Brazil,Belo Horizonte,JTI
GAULOISES - FREI VON ZUSAETZEN (RED) KS BOX,200,86569,Germany,Hamburg,IMPERIAL BRANDS
MARLBORO - RED 3.5 KS BOX 600 SPECIAL OUTER - GENERIC DF-ENG TXT,600,125840,Colombia,Cali,PMI
UNDEFINED,0,0,Poland,Poznan-Lawica,BAT
STERLING - KS BOX,200,44904,Poland,Szczecin,JTI
GAULOISES - BLONDES (RED) KS BOX,200,45358,Turkey,Trabzon Airport,IMPERIAL BRANDS
PANDA - KS BOX,200,51675,China,Quanzhou,CHINA NATIONAL
VOGUE - LILAS 100's BOX SLIMS,200,50571,Turkey,Bodrum Airport,BAT
VOGUE - CLIC BLEUE 100's BOX C SUPERSLIMS,200,104076,Morocco,Fes,BAT
UNDEFINED,0,0,Poland,Bydgoszcz,BAT
MAYFAIR - SKY BLUE KS BOX,600,46686,Turkey,Bodrum Airport,JTI
THE KING - GOLD KS BOX,200,56651,Spain DP,Alicante,KING'S TOBACCO
MAYFAIR - KS BOX,200,44279,Spain,Alicante,JTI
ROTHMANS - (BLUE) KS BOX,200,46008,Jordan,Amman,BAT
L&M - RED LABEL (5.0 CWB) KS BOX - ENGLISH GHW TPD2 DF - IDM GERMANY,200,124245,Germany,Munster-Osnabruck,PMI
GAULOISES - BLONDES (BLUE) KS BOX,200,45969,Spain,Sevilla,IMPERIAL BRANDS
