DF_Market,Location,TMO,Brand Family,CR_BrandId,SKU,Item per Bundle,$theyearbefore Volume,$previous_year Volume,$current_year Volume,$theyearbefore Month,$previous_year Month,$current_year Month,$theyearbefore Revenue,$previous_year Revenue,$current_year Revenue,$theyearbefore MC,$previous_year MC,$current_year MC,$theyearbefore NOR,$previous_year NOR,$current_year NOR,LYRevenueAvg,CYRevenueAvg,Growth,Margin,Brand Family Margin,Margin Comparison,Status
Great Britain,London Stansted,PMI,MARLBORO,122747,MARLBORO - (RED FWD) KS RCB 400 TRANSPARENT BUNDLE - UNITED KINGDOM DF - IDM UNITED KINGDOM,400,424800,570000,546400,12,12,12,101952,138980.38,140474,22659.85,31585.32,33084.83,26355.18,37206.66,38731.93,11581.698333333,11706.166666667,0.01074698457,0.8542003974,0.857174797,0,Red
Egypt,Hurgada,PMI,L&M,123639,L&M - BLUE LABEL (5.0 CWB) KS RCB - GENERIC DF-ENG TXT,200,1119930,977701,994956,10,12,12,123192.3,108494.45,109632.465,38990.2,33546.24,35748.91,47473.67,41859.02,44439.68,9041.204166667,9136.03875,0.01048915405,0.8044367106,0.803482953,1,None
Turkey,Istanbul Airport,PMI,PARLIAMENT,70907,PARLIAMENT - AQUA BLUE KS RCB 600 WHITE - TURKEY DF,600,4789800,4777200,4446600,12,12,12,756817.5,783876.3,751155,225940.28,231507.5,237142.15,274140.04,286030.02,285826.44,65323.025,62596.25,-0.04174293827,0.8296718456,0.8397210777,0,Red
India,Indira Gandhi,PMI,MARLBORO,98261,MARLBORO - (RED FWD) KS BOX 400 - SOUTH ASIA DF,400,1833452,1132700,191970,9,7,2,15001880.495,172736.75,29275.425,107062.8,66521.26,11423.95,123012,77691.95,13407.96,24676.678571429,14637.7125,-0.4068199876,0.8520274523,0.8541238982,0,Red
Turkey,Izmir Airport,PMI,MARLBORO,138635,MARLBORO - EXOTIC FUSION KS RCT C PSW SLIMS WHITE - TURKEY DF,200,0,0,95000,0,0,5,0,0,19712.5,0,0,6899.75,0,0,7881.57,0,3942.5,0,0.8754283728,0.8568785512,1,Red
Morocco,Marrakech,PMI,MARLBORO,122897,MARLBORO - DOUBLE FUSION SUMMER MENTHOL KS RCS C WRG JUMBO RC WHITE - GENERIC DF-ENG TXT,200,15400,1097400,1350200,1,12,12,2849,198050,244107,817.49,56269.4,68981.48,951.46,67091.96,82935.84,16504.166666667,20342.25,0.2325523858,0.8317451177,0.8163550194,1,Red
El Salvador,San Salvador Comalapa,PMI,MARLBORO,125837,MARLBORO - RED 3.5 KS BOX - GENERIC DF-ENG TXT,200,0,148492,385800,0,8,12,0,21692.88,55378,0,7245.79,19107.38,0,8710.22,23094.69,2711.61,4614.833333333,0.7018794492,0.8273494903,0.7941149788,1,None
Japan,Tokyo - Narita,PMI,LARK,40827,LARK - KS BOX - JAPAN DF,200,298200,538000,623400,12,12,12,5635980,10168200,11835460,20558.79,33190.48,36493.98,22681.67,38893.87,41958.71,847350,986288.333333333,0.1639680573,0.869759342,0.8697168012,1,Red
United Arab Emirates,Dubai,PMI,PARLIAMENT,120066,PARLIAMENT - PLATINUM BLUE KS RCS 400 WHITE - UAE DF,400,5904000,5571600,6840400,12,12,12,983683.2,965540.94,1224903.34,430350.62,416072,527467.49,489762.57,479661.25,602361.21,80461.745,102075.278333333,0.2686187496,0.8756664295,0.8786501438,0,Red
Kenya,Jomo Kenyatta,PMI,MARLBORO,114698,MARLBORO - (GOLD 3.0) KS RCB - AFRICA DF-ENG TXT,200,1194691,1155740,1023042,12,12,12,171431.375,165473.44,149096.04,49668.16,49124.41,43722.6,60060.78,60522.32,54295.79,13789.453333333,12424.67,-0.09897298322,0.805266854,0.786693406,1,None
