Year,EBROMId,Volume
2024,60213281,172386
2024,60127557,8102
2024,60198689,29130
2024,50049991,5230
2024,60213322,300
2024,50070037,15809
2024,60210490,3981
2024,60209746,12301
2024,60097911,2675
2024,60232585,24117
2024,60075471,206
2024,60167090,688664
2024,60213271,1739
2024,60223324,83853
2024,60169832,9
2024,60213240,2333
2024,50004797,2829
2024,50072445,73521
2024,60188299,27786
2024,60167803,2454
2024,60064456,42317
2024,60231795,412
2024,60240359,4996
2024,60205989,6713
2024,50052182,1974
2024,60163930,1370
2024,60240617,39430
2024,60072044,3673
2024,60280551,299
2024,60198362,1537243
2024,50000060,142730
2024,50073699,36630
2024,50069084,68727
2024,60238461,41188
2024,60192304,586
2024,60040120,51670
2024,60050327,494
2024,60125881,509
2024,60169805,385
2024,60136706,13036
2024,60223350,38
2024,60126898,107
2024,60040536,353179
2024,60211208,6807
2024,60238505,4790
2024,60246928,16115
2024,60238779,5326
2024,60169891,212
2024,60077481,174229
2024,60040686,995364
2024,50074372,11572
2024,50043691,8542
2024,60259138,2454721
2024,60212107,47664
2024,60214267,124050
2024,60121278,473
2024,60207822,23630
2024,60124269,479
2024,60166347,7782
2024,60235772,387038
2024,60236519,15341
2024,60164528,488149
2024,60212186,150
2024,50048583,35205
2024,50071451,6880
2024,50021139,294678
2024,60163020,31458
2024,60233239,1251
2024,50073859,865
2024,50013721,1795
2024,50063586,9154
2024,60197196,28
2024,60199137,3388575
2024,60205271,25
2024,50012092,5985012
2024,50026348,14405
2024,60062326,1902
2024,60040535,13
2024,60242924,29604
2024,60242022,90779
2024,60209271,13968
2024,50051087,3147076
2024,50054349,310208
2024,60207357,115
2024,60199131,5414
2024,60166260,2815
2024,60198840,15245
2024,60126615,349298
2024,50071673,4854
2024,60048259,1251
2024,60206047,5505
2024,50005978,1382349
2024,50002553,18367
2024,50014968,16921
2024,60192629,24136
2024,60062981,2
2024,60197524,134
2024,60237325,1069
2024,50050092,2772
2024,60195728,53071
2024,60193814,12290
2024,60240768,6849
2024,60167980,60385
2024,50000576,1304
2024,60210626,75653
2024,60232225,18
2024,60235068,52351
2024,60074191,3645
2024,60276036,12543
2024,60046017,7428
2024,60205347,330564
2024,50064308,321103
2024,60037358,2680
2024,60126751,868
2024,50071460,444
2024,60211792,435
2024,60232589,15291
2024,60162541,163906
2024,60205622,23844
2024,60077026,27
2024,60194456,7079
2024,60056134,66754
2024,60038665,25002
2024,60276094,71840
2024,50080565,603032
2024,50050443,20405
2024,60121261,328972
2024,60236889,590
2024,50062240,1218
2024,60123708,1747543
2024,60241400,29
2024,60040156,52280
2024,60164978,11832
2024,50071476,2393
2024,60232018,145292
2024,60136004,75606
2024,50042253,7410
2024,60230087,252960
2024,50011090,870012
2024,60041228,20942
2024,60207599,1302
2024,50042344,11119
2024,60122416,1716
2024,50054786,4558
2024,60040115,47303
2024,60073855,7392
2024,60208116,18417
2024,60080008,71463
2024,60277088,11530
2024,60053446,16538
2024,60167802,3
2024,60256464,2248
2024,60210432,292653
2024,50023361,6013
2024,60206019,238733
2024,60205537,1413797
2024,50069707,24201
2024,60206088,15166
2024,60162363,23
2024,60169924,77
2024,60241324,21741
2024,60209219,1192
2024,60271657,168846
2024,60257024,84125
2024,60167788,95049
2024,60123017,8156
2024,60238500,12540
2024,60232987,20311
2024,60195789,626881
2024,60049932,239
2024,60120182,79
2024,60077661,107
2024,50036998,8611
2024,60207350,849630
2024,50019893,31374
2024,60239158,2838
2024,60125497,63320
2024,60057991,12716
2024,50052271,19408
2024,60131456,54769
2024,60241162,147
2024,60061699,14988
2024,60212914,1779
2024,50063642,75464
2024,60241405,79
2024,60058364,28978
2024,60127604,129547
2024,60247008,541
2024,60210305,4242
2024,60234738,16222
2024,50019031,1338
2024,60131489,14817
2024,60241414,63
2024,60210397,5011
2024,50052535,86624
2024,60207404,20352
2024,60061542,120363
2024,60136150,90791
2024,60240070,1228
2024,60206860,1
2024,60075607,26749
2024,60184887,9147
2024,60167017,69897
2024,60185852,114126
2024,60232062,28008
2024,60168912,158
2024,60127176,408
2024,60199107,2806665
2024,60208860,12721
2024,60123975,109112
2024,60235741,20163
2024,60118417,221
2024,60118712,733263
2024,60039836,41534
2024,60078178,232402
2024,50009403,19181
2024,50046354,39207
2024,60130298,770
2024,60256403,45810
2024,60064656,10914
2024,50071523,11121
2024,50052761,9731
2024,60075600,13621
2024,60207084,1788
2024,60196793,27166
2024,60278576,1104
2024,60230050,17334
2024,60124671,759
2024,60237996,28348
2024,60231719,787
2024,50072377,4393
2024,60196419,13004
2024,50009385,11367
2024,60231931,136634
2024,60230979,688918
2024,60118406,311048
2024,60049894,2757
2024,60243134,9185
2024,50049053,696
2024,60164008,3524
2024,50046912,448
2024,60193867,784
2024,60237883,33566
2024,60167485,11874
2024,60096199,36404
2024,60230224,11
2024,60095753,137466
2024,50073319,80117362
2024,60098822,6116
2024,60183006,39909
2024,60194073,9335
2024,60238258,56204
2024,60209316,89429
2024,50002457,5750
2024,50001079,7699
2024,60196163,156360
2024,60242393,8236
2024,60063915,3589
2024,60236983,636904
2024,60165225,6746
2024,60209583,9334
2024,60196796,221044
2024,60053961,136139
2024,60233411,85882
2024,60168537,27543
2024,60124332,133606
2024,60055222,391908
2024,60188873,27134
2024,60238306,391622
2024,60185388,114048
2024,60211673,1360
2024,50073707,5470
2024,60207383,23
2024,50078819,12304
2024,60207405,24718
2024,60127140,3077
2024,60135170,2553
2024,60232986,9816
2024,60195548,34402
2024,60256598,45
2024,60128353,2201
2024,60275837,3603
2024,60247029,41050
2024,60127836,4406
2024,50043188,367
2024,60210505,75051
2024,50060400,34297
2024,60238449,24454
2024,60207294,266011
2024,60137673,291
2024,60040266,51348
2024,60234740,275
2024,60257302,1325697
2024,60279282,6482
2024,50070971,8494
2024,60130954,5
2024,60257807,130
2024,60240236,1994
2024,60271656,56038
2024,60192206,12197
2024,60209395,22324
2024,60233410,150308
2024,60199198,706
2024,50008703,51520
2024,60136643,325706
2024,60136707,11703
2024,60232204,9401
2024,60205913,29527
2024,60131463,74262
2024,60214232,2150
2024,50005297,301
2024,60193569,136
2024,60209368,91
2024,60214225,56827
2024,50000379,46372
2024,60199033,31311
2024,60256769,4956
2024,50071875,17361
2024,60123101,34175
2024,50016386,18842
2024,60236525,548361
2024,60214071,14682
2024,60199342,31783
2024,60171626,22216
2024,50080866,259297
2024,60062727,577330
2024,60118655,14255
2024,60050751,5498
2024,60212200,176691
2024,60205957,22
2024,60137622,71743
2024,60051322,19096
2024,60196334,189080
2024,60130192,48677
2024,60211984,22641
2024,50072480,2380
2024,60077789,35930
2024,60213905,2917
2024,60212552,40041
2024,60205471,1183
2024,60233769,38194
2024,60193109,3087
2024,60209757,33815
2024,60207461,36217
2024,60237890,8662
2024,60161974,201535
2024,50058329,3228
2024,60036919,345718
2024,60130788,6011
2024,60195900,44443
2024,60232427,34945
2024,60162503,15925
2024,60039835,785089
2024,60063560,23803
2024,60124825,45850
2024,60123636,1440
2024,60053968,184
2024,60129346,7
2024,60162490,1827775
2024,60127059,33439
2024,60232505,3398
2024,60207804,64878
2024,60193530,5104
2024,50056165,835
2024,60130840,420
2024,60169120,213053
2024,60169952,683
2024,60194666,3379
2024,60192415,113132
2024,60238563,656890
2024,60135886,6129182
2024,60211764,1030
2024,60166433,336
2024,50045873,275378
2024,60232412,67806
2024,60240325,423848
2024,60193976,64677
2024,60135864,85706
2024,60194072,75182
2024,60131002,272423
2024,50050632,16617
2024,50067064,5540
2024,50072216,100824
2024,60258530,5135
2024,60238405,9058
2024,60135320,672
2024,60075356,529818
2024,60230287,8952
2024,60240141,111938
2024,60258972,2604
2024,60135642,33748
2024,60232842,12100
2024,50047676,2413
2024,60239614,45033
2024,60231466,1695169
2024,50076231,490
2024,60169442,24766
2024,60166012,7140
2024,50080573,10314
2024,50061749,4042
2024,50039465,53477
2024,60061775,4134
2024,60167163,12560
2024,60198912,12197
2024,60238070,1878
2024,50034506,695
2024,50042282,57480
2024,60037571,41059
2024,60062432,99256
2024,60137376,16770
2024,60098774,18344
2024,60123156,5380
2024,60233578,2
2024,50041705,659
2024,60162195,25681
2024,60237100,60769
2024,60194516,153976
2024,60119457,4063
2024,60127462,116258
2024,60078908,92306
2024,60127157,2878
2024,50042235,15451
2024,60257138,14004
2024,60258117,33912
2024,60123361,56
2024,50043155,14190
2024,60168207,25063
2024,60123673,26988
2024,60258531,5290
2024,60238268,2614
2024,60127048,65646
2024,60182746,434
2024,60242997,14071
2024,60238762,65051
2024,60258184,1334
2024,60196594,192848
2024,60165862,2409
2024,60164937,4041
2024,60120243,63
2024,60065396,182200
2024,50022587,37930
2024,60074329,55849
2024,60212704,63
2024,60185391,2322674
2024,60195953,1157997
2024,60137919,5384
2024,50079043,55731
2024,60256886,360
2024,60232570,13915
2024,60188555,68083
2024,60165259,71487
2024,60185664,4929
2024,60163634,49180
2024,50049176,14473
2024,60167544,13434
2024,60072836,22704
2024,60257908,2709
2024,50031328,56985
2024,60240108,24693
2024,60171628,12713
2024,60205702,1509
2024,60207727,113926
2024,60196308,404635
2024,60095295,20601
2024,60185156,1916
2024,60211662,279100
2024,60121148,99807
