IATA,PORT_CODE_ID,Airport,LOCATION_ID,Location,DF_Market
VIL,1102,Dakhla Airport,3100,Dakhla,Morocco
GOT,354,Goteborg Landvetter Airport,383,Gothenburg,Sweden
TAE,1171,Daegu Intl Airport,3056,Daegu,South Korea
ISU,4234,Sulaimaniyah Intl Airport,3479,Suleymania Airport,Iraq
IXE,1112,Mangalore Airport,439,Mangalore,India
SLC,867,Salt Lake City Intl Airport,4418,Salt Lake City,United States
LLW,544,Lilongwe Intl Airport (Kamuzu Intl),2774,Lilongwe,Malawi
EAS,275,San Sebastian Airport,4426,San Sebastian,Spain
FDH,309,Friedrichshafen Airport (Bodensee Airport),2702,Friedrichshafen,Germany
VTE,1616,Wattay Intl Airport,757,Vientiane,Laos
OER,680,ornskoldsvik Airport,525,Onskoldsvik,Sweden
GRU,361,Sao Paulo-Guarulhos Intl Airport,625,Sao Paulo - Guarulhos,Brazil
ASW,62,Aswan Intl Airport,55,Aswan,Egypt
DAR,240,Julius Nyerere Intl Airport,190,Dar Es Salaam,Tanzania
PVR,772,Lic. Gustavo Diaz Ordaz Intl Airport,579,Puerto Vallarta,Mexico
BZG,1128,Bydgoszcz Ignacy Jan Paderewski Airport,2741,Bydgoszcz,Poland
MID,603,Manuel Crescencio Rejon Intl Airport,454,Merida,Mexico
BLQ,122,Bologna Guglielmo Marconi Airport,106,Bologna,Italy
CCU,171,Netaji Subhas Chandra Bose Intl Airport,495,Netaji Subhash Chandra Bose International Airport,India
RYG,1136,"Moss Airport, Rygge / Rygge Air Station",2825,Rygge,Norway
HET,1218,Hohhot Baita Intl Airport,291,Hohhot Baita,China
SFT,846,Skelleftea Airport,673,Skelleftea,Sweden
LPA,550,Gran Canaria Airport,259,Gran Canaria,Canary Islands
NAP,655,Naples Airport,489,Naples,Italy
WDH,1015,Windhoek Hosea Kutako Intl Airport,772,Windhoek,Namibia
VCP,992,Viracopos-Campinas Intl Airport,759,Viracopos,Brazil
EZE,301,Ministro Pistarini Intl Airport,222,Buenos Aires - Ezeiza,Argentina
AGA,29,Agadir-Al Massira Airport,18,Agadir,Morocco
UME,982,Umea City Airport,746,Umea,Sweden
BJM,114,Bujumbura Intl Airport,3162,Bujumbura,Burundi
XCR,1103,Vatry Intl Airport,3746,Paris Vatry ,France
KNO,4628,Kualanamu Intl Airport,3799,Kualanamu,Indonesia
TIP,1611,Tripoli Intl Airport,737,Tripoli,Libya
CUN,228,Cancun Intl Airport,136,Cancun,Mexico
SOF,877,Sofia Airport,678,Sofia,Bulgaria
BHX,106,Birmingham Airport,101,Birmingham,Great Britain
LIL,535,Lille Airport (Lille-Lesquin Airport),395,Lille,France DP
MAH,572,Mahon Airport,424,Mahon Airport,Spain
ZTH,1054,"Zakynthos Intl Airport, ""Dionysios Solomos""",787,Zakynthos,Greece
OKA,683,Naha Airport,482,Naha,Japan
DUR,271,King Shaka Intl Airport,206,Durban,South Africa
LXR,565,Luxor Intl Airport,413,Luxor,Egypt
YYZ,1047,Toronto Pearson Intl Airport,2699,Toronto,Canada
LOS,549,Murtala Muhammed Intl Airport,381,Lagos,Nigeria
GLA,347,Glasgow Airport,255,Glasgow,Great Britain
