Location,CategoryAScores_Score_A,CategoryAScores_ScaledScore_A,CategoryBScores_Cat_B,CategoryBScores_NumPMI_SKU,CategoryBScores_NumComp_SKU,CategoryBScores_PMI_Volume,CategoryBScores_Comp_Volume,CategoryCScores_Cat_C,CategoryDScores_Cat_D,FinalScores_Avg_Score,score_range
Danang,-38.4615,5.3845628205,10.0,13.0,6.0,26366.4,94324.8,0.7036280857,1.25,4.334547727,0.0
Glasgow Prestwick,-150.0,1.66665,,2.0,7.0,66.8,3866.0,1.07175786,3.0,1.434601965,0.0
East Midlands,-200.0,0.0,10.0,6.0,11.0,1492.0,19524.8,1.034490353,4.0,3.758622588,0.0
Sharm El Sheikh,-25.8065,5.8063919355,,31.0,,89999.736,0.0,0.8294087293,1.75,2.096450166,0.0
Lublin,-58.3333,4.7221761111,,12.0,,45886.68,0.0,0.2895384295,4.0,2.252928635,0.0
Hyderabad,-54.1667,4.8610613889,,24.0,,19542.0,0.0,0.754349557,3.0,2.153852736,0.0
Bariloche,0.0,6.6666,,3.0,,58.0,0.0,0.3533976658,1.0,2.004999416,0.0
London City,-250.0,-1.66665,,4.0,10.0,854.6,1122.4,1.757892944,5.0,1.272810736,0.0
Hanoi,-53.8462,4.8717446154,10.0,13.0,7.0,158290.4,574646.44,0.5826547729,1.25,4.176099847,0.0
Taiyuan Wusu,-140.0,1.99998,10.0,5.0,20.0,743.4,4387.737,0.5227483975,4.666667,4.297348849,0.0
Kinshasa,-20.0,5.99994,,5.0,,6360.0,0.0,0.06951241337,0.0,1.517363103,0.0
Bologna,-100.0,3.3333,10.0,10.0,2.0,6592.0,1874.4,0.5230382679,5.5,4.839084567,0.0
Xuzhou Guanyin,-250.0,-1.66665,2.787830422,8.0,20.0,57.6,366.92,0.03894118441,5.0,1.540030402,0.0
Kuwait,-129.5455,2.3484598485,6.982444071,44.0,22.0,6817255.2,2229656.436,0.6916591686,0.0,2.505640772,0.0
London Luton,-260.0,-1.99998,,5.0,11.0,4565.8,21079.8,0.2610016897,4.0,0.5652554224,0.0
Managua,-33.3333,5.5555011111,3.424657433,18.0,4.0,15455.0,1885.0,0.1579204092,0.0,2.284519738,0.0
Samana El Catey,-154.5455,1.5151348485,10.0,11.0,10.0,739.2,534.4,0.4964626818,2.5,3.627899383,0.0
Naha,-36.0,5.466612,,25.0,,9121.6,0.0,2.266347811,5.25,3.245739953,0.0
Manas,-258.3333,-1.9444238889,10.0,12.0,22.0,5432.4,9062.8,0.02822289202,0.0,2.020949751,0.0
Ulaanbaatar,-150.0,1.66665,,4.0,12.0,650.6,4420.2,0.0888879898,0.0,0.4388844975,0.0
Bergen,-140.0,1.99998,10.0,15.0,11.0,20442.4,25922.4,1.532450171,1.5,3.758107543,0.0
Samara,-60.0,4.66662,,5.0,,13.2,0.0,0.2272419343,6.0,2.723465484,0.0
Fort-de-France,-191.6667,0.2777738889,10.0,12.0,8.0,19749.0,15729.6,1.963475807,0.0,3.060312424,0.0
Addis Ababa,-221.0526,-0.7017463158,9.993219219,19.0,25.0,506287.0,66516.0,2.65541043,0.0,2.986720833,0.0
Komatsu,-80.0,3.99996,,5.0,,194.0,0.0,0.6085472169,6.5,2.777126804,0.0
Skiathos,-171.4286,0.9523704762,10.0,7.0,6.0,874.4,2735.2,0.1971237264,8.5,4.912373551,0.0
Fukuoka,-203.7037,-0.1234554321,7.009610677,27.0,59.0,74057.6,264804.24,1.057981884,5.5,3.361034282,0.0
Chambery,-233.3333,-1.1110988889,0.0,3.0,5.0,1792.0,2066.0,0.1470416862,5.666667,1.175652449,0.0
Vienna,-250.0,-1.66665,10.0,6.0,7.0,76276.8,51110.8,0.7438231123,1.0,2.519293278,0.0
Iwate,-100.0,3.3333,,1.0,,1.0,0.0,1.504518752,9.0,3.459454688,0.0
Abidjan,-244.4444,-1.4814651852,10.0,9.0,15.0,34294.4,26940.8,0.8973644823,0.0,2.353974824,0.0
Rosario,-71.4286,4.2856704762,,7.0,,179.2,0.0,0.3607408295,1.5,1.536602826,0.0
Manila - Ninoy Aquino,-33.3333,5.5555011111,,3.0,,30470.4,0.0,0.975410108,0.5,1.757727805,0.0
Vigo,-114.2857,2.8571147619,,7.0,5.0,1452.0,638.4,1.276988473,4.5,2.158525809,0.0
Elblag,-111.1111,2.9629337037,10.0,9.0,6.0,1271.2,3740.0,0.00187086801,3.5,4.116201143,0.0
Male,-46.6667,5.1110588889,,30.0,,32758.647,0.0,1.414723419,0.0,1.631445577,0.0
Karpathos,-125.0,2.499975,10.0,4.0,3.0,35.6,14.4,0.2241663825,8.5,5.306035346,0.0
Tirana,-128.5714,2.3809295238,10.0,7.0,32.0,114063.2,146424.4,0.1402701332,0.0,3.130299914,0.0
Antalya Gazipasa Airport,-119.6429,2.6785432143,9.277938196,56.0,17.0,22583.2,16167.2,1.439675576,9.5,5.724039247,0.0
Gran Canaria,-250.0,-1.66665,10.0,8.0,16.0,214910.8,330176.4,1.107682936,1.0,2.610258234,0.0
Medellin Jose Maria Cordova,-55.1724,4.8275383908,,29.0,,11135.03,0.0,0.142664783,1.6,1.642550793,0.0
Dublin,-225.0,-0.833325,10.0,4.0,5.0,133180.4,650858.0,1.253246349,1.5,2.979980337,0.0
Asyut,6.6667,6.8888211111,,30.0,,4551.1,0.0,1.735771085,1.75,2.593648049,0.0
Munich,-233.3333,-1.1110988889,10.0,12.0,9.0,145078.8,138424.4,1.068368833,5.5,3.864317486,0.0
Hiroshima,-53.8462,4.8717446154,,13.0,,1129.6,0.0,1.299474856,5.5,2.917804868,0.0
Nis,-216.6667,-0.5555511111,10.0,6.0,6.0,2306.4,5650.8,0.4979557953,1.0,2.735601171,0.0
Oita,-33.3333,5.5555011111,10.0,3.0,1.0,35.2,16.4,0.8375748374,7.5,5.973268987,0.0
Istanbul Airport,-22.0779,5.9306773593,,77.0,,15305993.6,0.0,0.4784132085,9.75,4.039772642,0.0
Macau,-271.4286,-2.3809295238,,7.0,10.0,83004.0,338572.7,0.6771237964,0.0,-0.4259514319,0.0
Santander,-150.0,1.66665,,4.0,4.0,13046.4,9783.6,1.342271939,4.0,1.752230485,0.0
Ixtapa Zihuatanejo,-135.7143,2.1428352381,9.959305574,14.0,12.0,341.6,212.8,1.588907381,2.75,4.110262048,0.0
Hamburg,-241.6667,-1.3888761111,10.0,12.0,8.0,15648.4,12378.4,0.887846306,5.5,3.749742549,0.0
Ho Chi Minh,-90.9091,3.6363269697,10.0,11.0,7.0,55760.52,90490.648,0.6233491385,1.0,3.814919027,0.0
Bogota,-137.931,2.068945977,9.865444103,29.0,20.0,262867.44,133575.0,0.2134989269,1.0,3.286972252,0.0
Taichung,-153.3333,1.5555411111,10.0,15.0,8.0,7693.02,84340.105,1.465973917,1.0,3.505378757,0.0
Johannesburg,-144.4444,1.8518348148,10.0,9.0,8.0,51176.8,60193.6,2.228560047,1.0,3.770098715,0.0
Basel,-250.0,-1.66665,10.0,12.0,21.0,170454.0,187708.2,0.3654691801,1.333333,2.508038045,0.0
Hurgada,-22.5806,5.9139208602,,31.0,,323466.44,0.0,1.173536848,1.75,2.209364427,0.0
Yantai Penglai,-188.8889,0.3703662963,8.750361585,9.0,20.0,1660.8,9774.1,0.6511585868,5.0,3.692971617,0.0
Niamey,-85.7143,3.8094852381,,7.0,,282.0,0.0,3.424224714,0.0,1.808427488,0.0
Varna,-225.0,-0.833325,10.0,4.0,9.0,1192.4,4176.812,0.3041775657,1.5,2.742713141,0.0
Medina,-246.6667,-1.5555411111,10.0,15.0,16.0,37480.8,37559.4,0.4718848719,2.333333,2.81241919,0.0
Minsk,-100.0,3.3333,,2.0,,131.8,0.0,0.6267039784,0.0,0.9900009946,0.0
Shenyang Taoxian,-242.8571,-1.4285557143,2.262903426,14.0,20.0,7621.6,48136.572,0.7488870891,5.0,1.6458087,0.0
Krasnoyarsk,-154.5455,1.5151348485,10.0,11.0,13.0,1610.4,741.6,0.006658729922,3.333333,3.713781645,0.0
St. George's Point Saline,-126.6667,2.4444188889,9.913621501,15.0,11.0,1962.0,2112.0,1.379249372,0.0,3.434322441,0.0
Cukurova Airport,-90.9091,3.6363269697,0.5803104813,66.0,26.0,7808.0,3555.2,0.4159634835,9.5,3.533150234,0.0
Paderborn,-242.8571,-1.4285557143,10.0,7.0,4.0,501.8,494.8,1.027319984,5.0,3.649691067,0.0
Montpellier,-9.0909,6.3635730303,,11.0,,8793.0,0.0,1.991550362,3.666667,3.005447598,0.0
Monastir,-219.2308,-0.6410202564,8.189992281,26.0,27.0,187426.0,143599.645,0.8121312867,2.2,2.640275828,0.0
Alicante,-188.8889,0.3703662963,10.0,9.0,19.0,697370.4,1514478.0,1.548582844,4.5,4.104737285,0.0
Xiamen Gaoqi,-253.8462,-1.7948553846,8.750361479,13.0,20.0,12631.76,79960.668,0.8525528574,5.0,3.202014738,0.0
Moscow - Vnukovo,-136.3636,2.1211921212,10.0,11.0,12.0,23570.4,30718.8,0.1127165655,3.333333,3.891810422,0.0
Nanjing Lukou,-87.5,3.7499625,,8.0,,3248.4,0.0,1.146524089,5.666667,2.640788397,0.0
Frankfurt,-230.7692,-1.0256297436,10.0,13.0,12.0,443701.6,425263.2,1.091206578,5.5,3.891394209,0.0
Nairobi,-128.5714,2.3809295238,,7.0,,506.4,0.0,1.164334088,1.0,1.136315903,0.0
Konya Airport,-72.973,4.234190991,9.95494052,37.0,21.0,3981.0,1276.0,0.7540959865,7.8,5.685806874,0.0
Istanbul Asia Airport,-131.1111,2.2962737037,0.2538436032,90.0,31.0,3139420.8,1484254.4,0.465385837,9.75,3.191375786,0.0
Bari,-100.0,3.3333,10.0,10.0,2.0,1586.0,359.2,0.5248511261,5.5,4.839537782,0.0
Berlin Brandenburg,-200.0,0.0,10.0,13.0,8.0,32332.0,26448.8,0.9748644432,5.5,4.118716111,0.0
Santorini,-141.6667,1.9444238889,10.0,12.0,10.0,2879.2,4849.6,0.4936934051,8.5,5.234529323,0.0
Strasbourg,-100.0,3.3333,3.388131721e-28,6.0,4.0,883.0,440.0,1.33174758,5.333333,2.499595145,0.0
Kunming Wujiaba,-231.25,-1.04165625,4.529947201,16.0,20.0,6173.6,39032.688,1.457378636,5.0,2.486417397,0.0
Jinan Xiaoqiang,-241.6667,-1.3888761111,2.262903426,12.0,20.0,1366.32,8600.948,0.5518407191,5.0,1.606467008,0.0
Haiphong,-25.0,5.833275,,4.0,,268.6,0.0,0.04461411336,1.0,1.719472278,0.0
Shizuoka,-16.6667,6.1110488889,,6.0,,425.4,0.0,0.6459389842,6.0,3.189246968,0.0
Puerto Vallarta,-214.2857,-0.4761852381,9.126706401,21.0,16.0,96594.0,55736.0,1.169519741,2.8,3.155010226,0.0
Florianopolis,-129.4118,2.3529164706,10.0,17.0,14.0,3756.0,4277.0,0.8043012565,2.6,3.939304432,0.0
La Romana,-88.8889,3.7036662963,9.911533419,18.0,9.0,4740.0,3237.0,0.4366087021,2.8,4.212952104,0.0
DAMMAM,-246.6667,-1.5555411111,10.0,15.0,16.0,104881.2,219841.2,1.084739211,2.333333,2.965632775,0.0
Bremen,-275.0,-2.499975,10.0,4.0,5.0,424.4,1036.8,1.68904769,5.0,3.547268173,0.0
Denizli Cardak Airport,-75.0,4.166625,0.1574348647,30.0,8.0,329.6,160.0,0.169333494,9.0,3.37334834,0.0
Madrid Barajas,-188.8889,0.3703662963,10.0,9.0,19.0,5095821.6,4204540.8,1.366341702,4.5,4.059176999,0.0
Rabat,-203.7037,-0.1234554321,7.843164893,27.0,25.0,268152.0,161036.055,3.207918598,2.8,3.431907015,0.0
Cayenne,-169.2308,1.0256297436,10.0,13.0,7.0,13400.4,6045.0,1.979790974,0.0,3.251355179,0.0
