Nationality,Nationalities,Country,Countries
Guinea,Guinea,Guinea,Guinea
Turks & Caicos,Turks & Caicos,Turks & Caicos,Turks & Caicos
Swaziland,Swaziland,Swaziland,Swaziland
Libya,Libya,Libya,Libya
Curaçao,Curaçao,Curaçao,Curaçao
Italy,Italy,Italy,Italy
Mali,Mali,Mali,Mali
Andorra,Andorra,Andorra,Andorra
Jordan,Jordan,Jordan,Jordan
Antigua/Barbuda,Antigua/Barbuda,Antigua/Barbuda,Antigua/Barbuda
Syria,Syria,Syria,Syria
Turkmenistan,Turkmenistan,Turkmenistan,Turkmenistan
Botswana,Botswana,Botswana,Botswana
Belize,Belize,Belize,Belize
Georgia,Georgia,Georgia,Georgia
West Samoa,West Samoa,West Samoa,West Samoa
Saint Martin,Saint Martin,Saint Martin,Saint Martin
Guam,Guam,Guam,Guam
Cayman Islands,Cayman Islands,Cayman Islands,Cayman Islands
Chad,Chad,Chad,Chad
Falkland Is.,Falkland Is.,Falkland Is.,Falkland Is.
Barbados,Barbados,Barbados,Barbados
Hong Kong,Hong Kong,Hong Kong,Hong Kong
Congo,Congo,Congo,Congo
South Sudan,South Sudan,South Sudan,South Sudan
North Macedonia,North Macedonia,North Macedonia,North Macedonia
USA,USA,USA,USA
Indonesia,Indonesia,Indonesia,Indonesia
Tanzania,Tanzania,Tanzania,Tanzania
Macau,Macau,Macau,Macau
Nicaragua,Nicaragua,Nicaragua,Nicaragua
Liberia,Liberia,Liberia,Liberia
Philippines,Philippines,Philippines,Philippines
Kenya,Kenya,Kenya,Kenya
Bangladesh,Bangladesh,Bangladesh,Bangladesh
"St.Pier,Miquel.","St.Pier,Miquel.","St.Pier,Miquel.","St.Pier,Miquel."
Grenada,Grenada,Grenada,Grenada
Madagascar,Madagascar,Madagascar,Madagascar
Guinea-Bissau,Guinea-Bissau,Guinea-Bissau,Guinea-Bissau
Thailand,Thailand,Thailand,Thailand
Norway,Norway,Norway,Norway
Norfolk Island,Norfolk Island,Norfolk Island,Norfolk Island
Afghanistan,Afghanistan,Afghanistan,Afghanistan
Tonga,Tonga,Tonga,Tonga
Cyprus,Cyprus,Cyprus,Cyprus
Christmas Is.,Christmas Is.,Christmas Is.,Christmas Is.
Sint Maarten,Sint Maarten,Sint Maarten,Sint Maarten
Puerto Rico,Puerto Rico,Puerto Rico,Puerto Rico
Haiti,Haiti,Haiti,Haiti
Tajikstan,Tajikstan,Tajikstan,Tajikstan
Seychelles,Seychelles,Seychelles,Seychelles
Pitcairn,Pitcairn,Pitcairn,Pitcairn
Laos,Laos,Laos,Laos
Reunion,Reunion,Reunion,Reunion
South Africa,South Africa,South Africa,South Africa
Luxembourg,Luxembourg,Luxembourg,Luxembourg
Ethiopia,Ethiopia,Ethiopia,Ethiopia
Israel,Israel,Israel,Israel
Bosnia-Herz.,Bosnia-Herz.,Bosnia-Herz.,Bosnia-Herz.
New Zealand,New Zealand,New Zealand,New Zealand
Ukraine,Ukraine,Ukraine,Ukraine
Martinique,Martinique,Martinique,Martinique
China,China,China,China
Amer.Virgin Is.,Amer.Virgin Is.,Amer.Virgin Is.,Amer.Virgin Is.
Other,Other,Other,Other
Greece,Greece,Greece,Greece
American Samoa,American Samoa,American Samoa,American Samoa
Hungary,Hungary,Hungary,Hungary
Lithuania,Lithuania,Lithuania,Lithuania
Denmark,Denmark,Denmark,Denmark
St. Vincent,St. Vincent,St. Vincent,St. Vincent
Dominica,Dominica,Dominica,Dominica
Peru,Peru,Peru,Peru
Costa Rica,Costa Rica,Costa Rica,Costa Rica
"S.Tome,Principe","S.Tome,Principe","S.Tome,Principe","S.Tome,Principe"
Monaco,Monaco,Monaco,Monaco
France,France,France,France
Eritrea,Eritrea,Eritrea,Eritrea
Sudan,Sudan,Sudan,Sudan
Gambia,Gambia,Gambia,Gambia
Kiribati,Kiribati,Kiribati,Kiribati
Kuwait,Kuwait,Kuwait,Kuwait
"Wallis,Futuna","Wallis,Futuna","Wallis,Futuna","Wallis,Futuna"
Solomon Islands,Solomon Islands,Solomon Islands,Solomon Islands
Faroe Islands,Faroe Islands,Faroe Islands,Faroe Islands
Jamaica,Jamaica,Jamaica,Jamaica
UAE,UAE,UAE,UAE
Lesotho,Lesotho,Lesotho,Lesotho
US Min Outl.Is.,US Min Outl.Is.,US Min Outl.Is.,US Min Outl.Is.
Slovakia,Slovakia,Slovakia,Slovakia
Cameroon,Cameroon,Cameroon,Cameroon
Aruba,Aruba,Aruba,Aruba
Turkey,Turkey,Turkey,Turkey
Palestine,Palestine,Palestine,Palestine
Guyana,Guyana,Guyana,Guyana
Uruguay,Uruguay,Uruguay,Uruguay
Ecuador,Ecuador,Ecuador,Ecuador
United Kingdom,United Kingdom,United Kingdom,United Kingdom
Belgium,Belgium,Belgium,Belgium
Singapore,Singapore,Singapore,Singapore
Kyrgyzstan,Kyrgyzstan,Kyrgyzstan,Kyrgyzstan
Mexico,Mexico,Mexico,Mexico
Azerbaijan,Azerbaijan,Azerbaijan,Azerbaijan
Somalia,Somalia,Somalia,Somalia
"Bonaire, Saba","Bonaire, Saba","Bonaire, Saba","Bonaire, Saba"
Brit.Virgin Is.,Brit.Virgin Is.,Brit.Virgin Is.,Brit.Virgin Is.
Morocco,Morocco,Morocco,Morocco
"Trinidad,Tobago","Trinidad,Tobago","Trinidad,Tobago","Trinidad,Tobago"
Japan,Japan,Japan,Japan
