IATA,Cluster1,Score1,Cluster2,Score2,Cluster3,Score3,Cluster4,Score4
ALC,RIX,0.701493,DUB,0.681159,AMS,0.648649,GDN,0.637500
LHR,DUB,0.588235,RIX,0.571429,AMS,0.535714,GDN,0.532258
DOH,AMS,0.676471,GIB,0.614035,MAN,0.564706,KUL,0.564706
GMP,KUL,0.666667,MAN,0.640523,LHR,0.636364,TPE,0.635220
JED,AMS,0.662500,DUB,0.626667,KUL,0.597938,GDN,0.593023
MAD,RIX,0.708333,DUB,0.689189,GDN,0.658824,AMS,0.658228
RAK,MAN,0.671141,KUL,0.671141,LHR,0.666667,TPE,0.664516
CDG,RIX,0.654545,DUB,0.649123,GDN,0.602941,GIB,0.588235
CUN,KUL,0.652542,AMS,0.643564,MAN,0.635593,LHR,0.630252
AYT,MAN,0.760870,LHR,0.757576,KUL,0.752174,RUH,0.726190
TUN,MAN,0.646154,LHR,0.641221,TPE,0.639706,KUL,0.630769
PUS,KUL,0.664474,MAN,0.638158,LHR,0.633987,TPE,0.632911
PVG,HND,0.660870,AMS,0.660377,KUL,0.658537,TLV,0.657658
KWI,AMS,0.713115,MAN,0.705036,LHR,0.700000,KUL,0.676259
KIX,KUL,0.734597,TPE,0.714286,HND,0.704433,MAN,0.687204
WAW,DUB,0.653061,RIX,0.638298,GIB,0.627907,GDN,0.583333
NRT,HND,0.722222,KUL,0.703947,TPE,0.683544,MAN,0.651316
ORY,RIX,0.634615,DUB,0.629630,GDN,0.584615,GIB,0.583333
KUL,HND,0.484375,TLV,0.466667,AMS,0.454545,TPE,0.435897
SAW,MAN,0.758772,LHR,0.755459,KUL,0.750000,RUH,0.724000
AUH,AMS,0.635514,MAN,0.629032,LHR,0.624000,TLV,0.616071
DXB,MAN,0.679348,LHR,0.675676,KUL,0.641304,TFN,0.606061
BCN,RIX,0.704225,DUB,0.684932,GDN,0.654762,AMS,0.653846
SHJ,MAN,0.646154,LHR,0.641221,KUL,0.623077,AMS,0.592920
CMN,MAN,0.683871,LHR,0.679487,KUL,0.677419,TPE,0.670807
TLV,GIB,0.562500,RIX,0.555556,DUB,0.526316,AMS,0.511628
TFN,DUB,0.656250,RIX,0.645161,GIB,0.637931,AMS,0.623188
AMS,GIB,0.592593,DUB,0.545455,GDN,0.409091,RIX,0.387097
TPE,RIX,0.500000,TLV,0.500000,AMS,0.491803,DUB,0.482143
CJU,KUL,0.660000,MAN,0.633333,LHR,0.629139,TPE,0.628205
PEK,HND,0.660870,AMS,0.660377,KUL,0.658537,TLV,0.657658
GIB,DUB,0.363636,RIX,0.350000,AMS,0.296296,GDN,0.242424
ICN,KUL,0.668831,MAN,0.642857,LHR,0.638710,TPE,0.637500
DUB,RIX,0.461538,GIB,0.409091,AMS,0.393939,GDN,0.358974
AGP,RIX,0.700000,DUB,0.680556,GDN,0.650602,AMS,0.649351
GVA,AMS,0.676471,MAN,0.647059,LHR,0.641667,KUL,0.630252
CAI,AMS,0.662338,GIB,0.621212,DUB,0.611111,KUL,0.606383
RUH,DUB,0.625000,AMS,0.623377,GDN,0.590361,KUL,0.574468
IST,AMS,0.750000,TLV,0.683168,KUL,0.681416,HND,0.657143
ZRH,MAN,0.650407,LHR,0.645161,KUL,0.626016,AMS,0.613208
GDN,DUB,0.589744,GIB,0.575758,RIX,0.567568,AMS,0.500000
HKG,HND,0.546512,MAN,0.521277,KUL,0.521277,LHR,0.515789
PMI,RIX,0.695652,DUB,0.676056,GDN,0.646341,AMS,0.644737
MEX,AMS,0.663265,KUL,0.652174,MAN,0.634783,LHR,0.629310
HND,TLV,0.442308,KUL,0.437500,AMS,0.404255,TPE,0.400000
NGO,KUL,0.721893,HND,0.714286,TPE,0.697143,TLV,0.668790
MAN,DUB,0.580000,RIX,0.562500,AMS,0.527273,GDN,0.524590
FRA,GIB,0.745455,DUB,0.737705,AMS,0.696970,RIX,0.694915
AMM,AMS,0.700787,MAN,0.680556,LHR,0.675862,KUL,0.659722
RIX,DUB,0.423077,GIB,0.400000,AMS,0.354839,GDN,0.324324
